subscription_id,id,billing_thresholds_reset_billing_cycle_anchor,billing_thresholds_amount_gte,created,metadata,plan_id,_fivetran_synced,quantity,current_period_end,current_period_start
sub_K3VoyeTxMl3ktO,si_K3Voa2fq8ZPWzJ,,,2021-08-17 09:40:59+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:15:50.955000+00:00,1,,
sub_K3UBP91WSdSxoy,si_K3UBvIy233R8RM,,,2021-08-17 07:59:41+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:25:03.194000+00:00,1,,
sub_1Jxy3tFCPJnn9IgIvoAXp1tn,si_KdEW3TEZiGFqwo,,,2021-11-20 18:13:18+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 07:49:02.766000+00:00,2,,
sub_K3Vg6pOsXcuQzt,si_K3VgD29shh7aKf,,,2021-08-17 09:32:52+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:16:36.902000+00:00,1,,
sub_1K6OdLFCPJnn9IgIxGxZzz8Q,si_KlwWLeDFPc9mza,,,2021-12-14 00:12:43+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 07:44:43.726000+00:00,2,,
sub_K3UKrtbMr1Bguc,si_K3UKFqvdOJaZB4,,,2021-08-17 08:08:49+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:24:22.673000+00:00,2,,
sub_1JhPbKFCPJnn9IgI8P5UKu6r,si_KM7rVLgj43FjUW,,,2021-10-06 02:11:23+00:00,{},price_1J8rYYFCPJnn9IgI7ezmCKAP,2022-06-14 07:54:44.571000+00:00,1,,
sub_1JoT3dFCPJnn9IgIiIHcak5s,si_KTPtxgSQsGCQnU,,,2021-10-25 13:17:45+00:00,{},price_1JNNT8FCPJnn9IgIUF8DldJW,2022-06-14 07:52:49.762000+00:00,1,,
sub_K3UV2DdjNoaF7a,si_K3UVUfRQA8FSTz,,,2021-08-17 08:19:22+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:23:26.936000+00:00,1,,
sub_K6AFBBBVP3oFGi,si_K6AFRWgLCmn5IN,,,2021-08-24 11:36:12+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 08:07:47.176000+00:00,2,,
sub_K75YDieNaofjbM,si_K75Y6QI6fEJHf2,,,2021-08-26 22:48:40+00:00,{},price_1JNNUKFCPJnn9IgIPg468R9U,2022-06-14 07:58:04.965000+00:00,1,,
sub_K3UluC5rHciXj7,si_K3Ul6nNGvsCVpd,,,2021-08-17 08:35:23+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:22:03.713000+00:00,1,,
sub_K6AgBGhR0toynC,si_K6AgPZ3A0HDXWE,,,2021-08-24 12:03:19+00:00,{},price_1J8rYYFCPJnn9IgI7ezmCKAP,2022-06-14 08:04:00.832000+00:00,1,,
sub_K3T4PETt9Kb9IA,si_K3T4fmusok9zp1,,,2021-08-17 06:50:47+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:26:25.186000+00:00,1,,
sub_1KCVnwFCPJnn9IgIFcduS796,si_KsGKQABcuAK5kC,,,2021-12-30 21:04:56+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 07:42:15.176000+00:00,1,,
sub_K6A90SavzRO5Ix,si_K6A97WwZ5IzT4s,,,2021-08-24 11:29:56+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 08:08:41.041000+00:00,1,,
sub_K69ZW9ouKiEcai,si_K69ZwedMAD1Xmm,,,2021-08-24 10:53:45+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 08:12:45.413000+00:00,2,,
sub_K3UpKbF2ecxPET,si_K3UpYtUivUpV5R,,,2021-08-17 08:39:36+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:21:35.733000+00:00,1,,
sub_1JgrXeFCPJnn9IgIUsyzbb9d,si_KLYeCH3iy492GZ,,,2021-10-04 13:49:19+00:00,{},price_1J8rYYFCPJnn9IgI7ezmCKAP,2022-06-14 07:55:07.440000+00:00,1,,
sub_K3VxfgFJMNMe0p,si_K3Vx3lAhEN9gs6,,,2021-08-17 09:50:13+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:15:01.486000+00:00,2,,
sub_K3U8AZMt0ekSJm,si_K3U8k3GuqHLdxe,,,2021-08-17 07:57:15+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:25:12.223000+00:00,1,,
sub_K3CQ4h7vHU65ZN,si_K3CQOXETirvoIx,,,2021-08-16 13:38:28+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:27:43.530000+00:00,1,,
sub_K3V9ZRVrdJYR1O,si_K3V9LzsUSlmd2F,,,2021-08-17 08:59:26+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:19:46.907000+00:00,1,,
sub_K69mX0twX6yPNQ,si_K69mBDeOpiGZEE,,,2021-08-24 11:07:18+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 08:11:14.889000+00:00,1,,
sub_K3ViU4ULz5U3ge,si_K3VimcIQccCsOL,,,2021-08-17 09:34:44+00:00,{},price_1J8rYYFCPJnn9IgI7ezmCKAP,2022-06-14 08:16:28.988000+00:00,1,,
sub_K3VPBzCmhckAv3,si_K3VP03QHFfiZcU,,,2021-08-17 09:15:36+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:18:15.567000+00:00,1,,
sub_K3VGMmI6Weop8C,si_K3VG5HGHx2Mrfz,,,2021-08-17 09:06:47+00:00,{},price_1J8rYYFCPJnn9IgI7ezmCKAP,2022-06-14 08:19:05.646000+00:00,1,,
sub_K3VEeMTgHRGG6t,si_K3VEDgzT2YfsXp,,,2021-08-17 09:04:23+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:19:17.649000+00:00,1,,
sub_K3V0fFWJoYHNZy,si_K3V0FIffAcjxQU,,,2021-08-17 08:50:31+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:20:34.287000+00:00,1,,
sub_K3CTaPoimS1OyP,si_K3CTUQjjOL8lNE,,,2021-08-16 13:41:26+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:27:43.355000+00:00,1,,
sub_K3VB6wENhK8VxU,si_K3VBf2qc4Pv4su,,,2021-08-17 09:01:45+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:19:36.414000+00:00,1,,
sub_1Jzin5FCPJnn9IgIbWWQPp9C,si_Kf2sRrdTlAn4Xr,,,2021-11-25 14:19:12+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 07:49:17.422000+00:00,1,,
sub_1KDdEBFCPJnn9IgIghtzpJw5,si_KtQ4hhYE6Yzx7B,,,2022-01-02 23:12:39+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 07:42:01.478000+00:00,1,,
sub_K3UxJbFwHH4n0y,si_K3UxhZsP7HQYV5,,,2021-08-17 08:47:26+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:20:49.693000+00:00,1,,
sub_1L82mrFCPJnn9IgInvORfGRL,si_LpiDDTijbO9pFC,,,2022-06-07 13:49:37+00:00,{},price_1J8rYYFCPJnn9IgI7ezmCKAP,2022-06-14 07:28:40.727000+00:00,1,,
sub_1K3msLFCPJnn9IgIEE1qpm62,si_KjFNp0ebg0DVey,,,2021-12-06 19:29:25+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 07:45:46.256000+00:00,1,,
sub_K3VrlbwvGIwSTl,si_K3Vrd0DS7SqVGI,,,2021-08-17 09:44:17+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:15:35.157000+00:00,1,,
sub_1KZRNiFCPJnn9IgIt1MRF6AT,si_LFxIg7GGEZMxKu,,,2022-03-04 03:00:39+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 07:37:36.900000+00:00,1,,
sub_K69VhECig9jjRs,si_K69VJbdgpYLAmV,,,2021-08-24 10:49:36+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 08:13:09.107000+00:00,1,,
sub_K3WC6o3CEVXPG1,si_K3WCPJdaFNkWoV,,,2021-08-17 10:05:18+00:00,{},price_1J8rYYFCPJnn9IgI7ezmCKAP,2022-06-14 08:13:43.098000+00:00,1,,
sub_K3WCn08MIGuy0p,si_K3WCMa643nDFqN,,,2021-08-17 10:04:24+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:13:47.770000+00:00,1,,
sub_K3Vq0A1tfrXNEj,si_K3VqDDLBTYUSbH,,,2021-08-17 09:43:01+00:00,{},price_1J8rYYFCPJnn9IgI7ezmCKAP,2022-06-14 08:15:41.225000+00:00,1,,
sub_K3W5WCiahP1Nm6,si_K3W541SkWv6peu,,,2021-08-17 09:57:37+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:14:25.961000+00:00,1,,
sub_K3Uz1jadAkM6a9,si_K3UzJCWp2gZRW7,,,2021-08-17 08:49:38+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:20:38.288000+00:00,1,,
sub_1K90ciFCPJnn9IgIOdghCHJv,si_KoduGftbqOcuSi,,,2021-12-21 05:10:52+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 07:42:46.445000+00:00,1,,
sub_1JjnNQFCPJnn9IgIZKMHMw9O,si_KOaYP5gQ03qWZr,,,2021-10-12 15:58:53+00:00,{},price_1JNNT8FCPJnn9IgIUF8DldJW,2022-06-14 07:54:34.948000+00:00,1,,
sub_K3VuEQTgfCFTbo,si_K3VuhZhtsRNqcq,,,2021-08-17 09:47:01+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:15:22.589000+00:00,1,,
sub_K3UfUlKjbw2E22,si_K3UfBJVPj23jfu,,,2021-08-17 08:29:30+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:22:33.986000+00:00,2,,
sub_K3U6AFeGOQMt9y,si_K3U6YlbkybEInt,,,2021-08-17 07:55:07+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:25:20.155000+00:00,1,,
sub_K3VZWAhhhrO50B,si_K3VZMMCajs5mPf,,,2021-08-17 09:26:11+00:00,{},price_1J8rYYFCPJnn9IgI7ezmCKAP,2022-06-14 08:17:14.693000+00:00,2,,
sub_K3VXdqC9xHM2t3,si_K3VXfLSsW6VSWC,,,2021-08-17 09:23:32+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:17:28.001000+00:00,1,,
sub_K3WDuL732d3Fae,si_K3WDerOMmLE6UM,,,2021-08-17 10:05:29+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:13:41.732000+00:00,1,,
sub_K3VdSYHYfKts8C,si_K3VdJjmEECgxzi,,,2021-08-17 09:30:03+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:16:55.239000+00:00,1,,
sub_K3VKX5pihK5hLW,si_K3VKIxi0IrJovU,,,2021-08-17 09:11:12+00:00,{},price_1J8rYYFCPJnn9IgI7ezmCKAP,2022-06-14 08:18:42.829000+00:00,1,,
sub_K9JkbgmBxJUNB9,si_K9JkydRFAfnWRn,,,2021-09-01 21:36:27+00:00,{},price_1JNNUKFCPJnn9IgIPg468R9U,2022-06-14 07:57:30.279000+00:00,1,,
sub_1KKNGHFCPJnn9IgIyLILA148,si_L0O2vwsQOOZ9Bu,,,2022-01-21 13:34:41+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 07:40:52.398000+00:00,1,,
sub_KCKDObB51bV4VJ,si_KCKDXORaxUCX6v,,,2021-09-09 22:17:30+00:00,{},price_1JNNT8FCPJnn9IgIUF8DldJW,2022-06-14 07:56:54.573000+00:00,1,,
sub_K3UznVhlryJtBd,si_K3UzwpfxRQywTj,,,2021-08-17 08:49:35+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:20:38.628000+00:00,1,,
sub_K3ULOU5B7V0CZp,si_K3ULqyYKDqTaRe,,,2021-08-17 08:10:19+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:24:08.140000+00:00,1,,
sub_K6A7iazPtB3VQO,si_K6A74tMYcvFOuU,,,2021-08-24 11:27:49+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 08:08:57.189000+00:00,1,,
sub_K3T328bJNwo1SM,si_K3T3PnCzBwssEN,,,2021-08-17 06:49:49+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:26:31.950000+00:00,2,,
sub_K3VVoPHFRjHDr0,si_K3VVUwDipUT31V,,,2021-08-17 09:21:23+00:00,{},price_1J8rYYFCPJnn9IgI7ezmCKAP,2022-06-14 08:17:45.987000+00:00,1,,
sub_K3Vz8PyACtZKGR,si_K3Vzf1rmsQS4Cm,,,2021-08-17 09:51:35+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:14:55.320000+00:00,1,,
sub_K3Vzlyql9MxDSx,si_K3Vz0GoJ34ISr2,,,2021-08-17 09:51:24+00:00,{},price_1J8rYYFCPJnn9IgI7ezmCKAP,2022-06-14 08:14:56.201000+00:00,1,,
sub_K74JLvfsa7c7Jh,si_K74JdvIYE7Ul7r,,,2021-08-26 21:31:57+00:00,{},price_1JNNT8FCPJnn9IgIUF8DldJW,2022-06-14 07:58:12.133000+00:00,1,,
sub_K6B7acmBHrWgwx,si_K6B7pC6XTtpjkJ,,,2021-08-24 12:29:34+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 08:00:17.739000+00:00,1,,
sub_K3TvpUCj0ogF0o,si_K3TvBkc03DRrGx,,,2021-08-17 07:43:57+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:26:06.153000+00:00,1,,
sub_1K7VIqFCPJnn9IgISNkz6fJ1,si_Kn5TF27nQpmqYl,,,2021-12-17 01:32:08+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 07:43:37.692000+00:00,1,,
sub_1JtzvAFCPJnn9IgI3yqL7CRO,si_KZ8BiO6ON6hIHA,,,2021-11-09 19:23:52+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 07:51:41.248000+00:00,1,,
sub_K3UULF0fCNQQI3,si_K3UUSjVvu6wxMw,,,2021-08-17 08:18:44+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:23:36.736000+00:00,1,,
sub_K3VMEIS6Hlzzbi,si_K3VMgWqdDvygMQ,,,2021-08-17 09:12:54+00:00,{},price_1J8rYYFCPJnn9IgI7ezmCKAP,2022-06-14 08:18:34.473000+00:00,1,,
sub_1K049vFCPJnn9IgIbZ52Hmc1,si_KfOxBXpIUyuciO,,,2021-11-26 13:08:11+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 07:48:12.739000+00:00,1,,
sub_1KCGUkFCPJnn9IgIJxAXvnxK,si_Ks0VW7CqLmYyn8,,,2021-12-30 04:44:06+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 07:42:00.447000+00:00,1,,
sub_1KddGJFCPJnn9IgIvZZhQ2wn,si_LKHpuPvPd2ILnA,,,2022-03-15 16:30:20+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 07:37:16.082000+00:00,1,,
sub_K3VhVE95ZNtL0c,si_K3Vh3ciitqgcdT,,,2021-08-17 09:33:32+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:16:34.384000+00:00,1,,
sub_1L1YsEFCPJnn9IgIddgHaN3w,si_Lj0ue5mnOa1JHu,,,2022-05-20 16:40:23+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 07:31:24.764000+00:00,2,,
sub_1KIJsAFCPJnn9IgIE5a3zslQ,si_KyGOd3E702SmfR,,,2022-01-15 21:33:18+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 07:41:09.453000+00:00,1,,
sub_K3VOJQ8VZrCebi,si_K3VOTeG41vBaIc,,,2021-08-17 09:14:38+00:00,{},price_1J8rYYFCPJnn9IgI7ezmCKAP,2022-06-14 08:18:19.883000+00:00,1,,
sub_1Js8FaFCPJnn9IgIDQCBDWFP,si_KXCelF8JoC5Mhl,,,2021-11-04 15:53:14+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 07:51:53.733000+00:00,1,,
sub_K3U89DEpu1XBpG,si_K3U8514t8zEmsa,,,2021-08-17 07:57:18+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:25:12.051000+00:00,1,,
sub_K3UIQ4FGd9vRkN,si_K3UIOcLT5OZNjR,,,2021-08-17 08:07:15+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:24:28.722000+00:00,1,,
sub_1JpJ8YFCPJnn9IgIoDitvrUB,si_KUHhqTmyBQkjHH,,,2021-10-27 20:54:19+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 07:52:33.335000+00:00,1,,
sub_K3UkvbqL4mlCAc,si_K3Ukb2qmdyqgP0,,,2021-08-17 08:35:02+00:00,{},price_1J8rYYFCPJnn9IgI7ezmCKAP,2022-06-14 08:22:05.790000+00:00,2,,
sub_K6BHHPg5Vwxatg,si_K6BHnFxk4mQ95O,,,2021-08-24 12:39:54+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 07:58:53.660000+00:00,1,,
sub_K3UUejhUxkHZYB,si_K3UUE3QBNXE4Hw,,,2021-08-17 08:18:49+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:23:36.383000+00:00,1,,
sub_K3UjxwMTBMbZLB,si_K3UjSkjvZTNEaj,,,2021-08-17 08:34:02+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:22:10.496000+00:00,1,,
sub_K3V9DHHib1Y6IA,si_K3V9kO3dDuGSAw,,,2021-08-17 08:59:39+00:00,{},price_1J8rYYFCPJnn9IgI7ezmCKAP,2022-06-14 08:19:46.056000+00:00,1,,
sub_K6Ak52KAoqQIsB,si_K6AkRfwRP5o7bE,,,2021-08-24 12:06:56+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 08:03:25.669000+00:00,2,,
sub_K3VD6FzqQyWGli,si_K3VDsj4RaYgoFi,,,2021-08-17 09:04:01+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:19:26.230000+00:00,1,,
sub_K3VR9tzzsMlQdO,si_K3VRdyvayltnBz,,,2021-08-17 09:18:20+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:18:01.643000+00:00,2,,
sub_K3UoLD4Q2dXymK,si_K3UoSFdjT2iRMh,,,2021-08-17 08:39:00+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:21:38.670000+00:00,1,,
sub_1JsHyyFCPJnn9IgIUr43SjLV,si_KXMieGcF0Be7vf,,,2021-11-05 02:16:44+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 07:51:15.036000+00:00,1,,
sub_K6A1uFvJx1dIkJ,si_K6A1TLkBwd8JZn,,,2021-08-24 11:21:39+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 08:09:42.967000+00:00,1,,
sub_K3VConIkbpuqb5,si_K3VCtFyMRE6Gre,,,2021-08-17 09:02:56+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:19:31.333000+00:00,1,,
sub_K69pIzeiCDssfc,si_K69p2Zh9FZ8RZ4,,,2021-08-24 11:09:59+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 08:10:59.775000+00:00,2,,
sub_K3UIdufjDwQdZN,si_K3UINWneBYDmkm,,,2021-08-17 08:06:50+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:24:30.468000+00:00,1,,
sub_K6B3uEke94ao9j,si_K6B3nBAYszeAhr,,,2021-08-24 12:26:15+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 08:00:42.835000+00:00,1,,
sub_1K1xtJFCPJnn9IgIQl8fymDL,si_KhMcNFLzbnHPtw,,,2021-12-01 18:50:53+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 07:47:23.114000+00:00,1,,
sub_K3VY7AkU0XcQxS,si_K3VYoFx53E1dBh,,,2021-08-17 09:24:42+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:17:21.839000+00:00,1,,
sub_K3VCxCIDqmhtEQ,si_K3VCKZ0JLbA6qK,,,2021-08-17 09:02:51+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:19:31.853000+00:00,1,,
sub_1JxaUkFCPJnn9IgI0vOKDzhX,si_KcqBSi8DTsEx2B,,,2021-11-19 17:03:27+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 07:49:04.140000+00:00,1,,
sub_K69Tqx6oHUPU6s,si_K69TK4CAT6i5GO,,,2021-08-24 10:48:12+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 08:13:16.925000+00:00,1,,
sub_K3UAkoNJpDKO8y,si_K3UASEu31Syi8L,,,2021-08-17 07:59:17+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:25:04.571000+00:00,1,,
sub_K3UET45qXT9Dpw,si_K3UEZrYgsu8Ain,,,2021-08-17 08:03:08+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:24:44.466000+00:00,2,,
sub_K69tohkYZY10kT,si_K69tUrnK87u2m5,,,2021-08-24 11:13:30+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 08:10:34.733000+00:00,1,,
sub_K6AB8v3LzQ8Dj1,si_K6ABZokoW7zlBE,,,2021-08-24 11:31:34+00:00,{},price_1J8rYYFCPJnn9IgI7ezmCKAP,2022-06-14 08:08:24.355000+00:00,2,,
