amazon_order_id,order_item_id,asin,seller_sku,title,quantity_ordered,quantity_shipped,product_info_detail_number_of_items,points_granted_points_number,points_granted_monetary_currency_code,points_granted_monetary_amount,item_price_currency_code,item_price_amount,shipping_price_currency_code,shipping_price_amount,item_tax_currency_code,item_tax_amount,shipping_tax_currency_code,shipping_tax_amount,shipping_discount_currency_code,shipping_discount_amount,shipping_discount_tax_currency_code,shipping_discount_tax_amount,promotion_discount_currency_code,promotion_discount_amount,promotion_discount_tax_currency_code,promotion_discount_tax_amount,is_gift,condition_note,condition_id,condition_subtype_id,scheduled_delivery_start_date,scheduled_delivery_end_date,price_designation,tax_collection_model,tax_collection_responsible_party,serial_number_required,is_transparency,ioss_number,store_chain_store_id,deemed_reseller_category,buyer_requested_cancel_is_buyer_requested_cancel,buyer_requested_cancel_buyer_cancel_reason,item_approval_context_approval_type,item_approval_context_approval_status,_fivetran_synced
114-8839111-6205815,76881613037121,B0BKR3VM44,plus2-black-3mo,Pinwheel Plus 2 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,1,1,1,,,,USD,369.00,,,USD,22.14,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:29:32.263000+00:00
111-1948339-1383406,21198783476554,B0BKR4YKB2,slim5-blue-3mo,"Pinwheel Slim 5 Smartphone for Kids + 3 mo Caregiver Portal Subscription (Parental Controls Software) - Includes Case, Screen Protector",3,3,1,,,,USD,731.97,USD,6.52,USD,51.24,USD,0.00,USD,6.52,USD,0.00,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:24:55.119000+00:00
113-5411842-4081027,76933909140801,B0BKR3VM44,plus2-black-3mo,Pinwheel Plus 2 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,1,1,1,,,,USD,369.00,,,USD,27.68,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:29:32.399000+00:00
112-0999445-4233059,77651395062601,B0BKRXGT52,slim5-blue-12mo,Pinwheel Slim 5 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,1,1,1,,,,USD,359.00,,,USD,26.03,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:30:05.464000+00:00
113-5977018-7699465,70543523600161,B0BKRXGT52,slim5-blue-12mo,"Pinwheel Slim 5 Smartphone for Kids + 12 mo Caregiver Portal Subscription (Parental Controls Software) - Includes Case, Screen Protector",1,1,1,,,,USD,363.99,,,USD,21.84,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:26:07.824000+00:00
111-8468633-9100240,77319988890001,B0BKR4YKB2,slim5-blue-3mo,Pinwheel Slim 5 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,1,1,1,,,,USD,239.00,,,USD,16.73,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:29:33.698000+00:00
112-2848196-9894642,73724119234001,B0BKR4XZGJ,plus2-black-12mo,"Pinwheel Plus 2 Smartphone for Kids + 12 mo Caregiver Portal Subscription (Parental Controls Software) - Includes Case, Screen Protector",1,1,1,,,,USD,489.00,,,USD,50.12,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:26:40.588000+00:00
114-3864214-2641843,18249761087162,B0BKR3VM44,plus2-black-3mo,"Pinwheel Plus 2 Smartphone for Kids + 3 mo Caregiver Portal Subscription (Parental Controls Software) - Includes Case, Screen Protector",1,1,1,,,,USD,373.99,,,USD,22.44,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:24:54.523000+00:00
112-0699177-9315469,15279931945386,B0BKR3VM44,plus2-black-3mo,"Pinwheel Plus 2 Smartphone for Kids + 3 mo Caregiver Portal Subscription (Parental Controls Software) - Includes Case, Screen Protector",1,1,1,,,,USD,373.99,,,USD,30.85,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:24:53.581000+00:00
111-6438308-8092207,77791801702801,B0BKR4YKB2,slim5-blue-3mo,Pinwheel Slim 5 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,1,1,1,,,,USD,239.00,,,USD,19.72,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:30:05.832000+00:00
111-9801105-4360257,75781984700121,B0BKR4XZGJ,plus2-black-12mo,Pinwheel Plus 2 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,2,2,1,,,,USD,978.00,,,USD,81.90,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:28:49.030000+00:00
112-2881228-3796245,74615644869441,B0BKR3VM44,plus2-black-3mo,"Pinwheel Plus 2 Smartphone for Kids + 3 mo Caregiver Portal Subscription (Parental Controls Software) - Includes Case, Screen Protector",2,2,1,,,,USD,738.00,,,USD,51.66,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:27:25.911000+00:00
112-0608885-2794625,06169947054706,B0BKRXGT52,slim5-blue-12mo,"Pinwheel Slim 5 Smartphone for Kids + 12 mo Caregiver Portal Subscription (Parental Controls Software) - Includes Case, Screen Protector",0,0,1,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,2023-05-10 17:24:55.358000+00:00
112-8626152-4664203,47741356472202,B0BKR3VM44,plus2-black-3mo,"Pinwheel Plus 2 Smartphone for Kids + 3 mo Caregiver Portal Subscription (Parental Controls Software) - Includes Case, Screen Protector",1,1,1,,,,USD,373.99,,,USD,26.22,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:24:52.737000+00:00
114-7654277-0421016,71604243174761,B0BKRXGT52,slim5-blue-12mo,"Pinwheel Slim 5 Smartphone for Kids + 12 mo Caregiver Portal Subscription (Parental Controls Software) - Includes Case, Screen Protector",1,1,1,,,,USD,363.99,,,USD,28.21,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:26:08.558000+00:00
112-6897338-7777057,31030985681490,B0BKR4XZGJ,plus2-black-12mo,"Pinwheel Plus 2 Smartphone for Kids + 12 mo Caregiver Portal Subscription (Parental Controls Software) - Includes Case, Screen Protector",1,1,1,,,,USD,493.99,,,USD,34.58,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:24:53.264000+00:00
114-3994243-2295464,39069592383018,B0BKR4XZGJ,plus2-black-12mo,"Pinwheel Plus 2 Smartphone for Kids + 12 mo Caregiver Portal Subscription (Parental Controls Software) - Includes Case, Screen Protector",2,2,1,,,,USD,987.98,,,USD,69.16,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:24:55.227000+00:00
111-7751947-1372235,76212423885801,B0BKR4YKB2,slim5-blue-3mo,Pinwheel Slim 5 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,1,1,1,,,,USD,239.00,,,USD,16.37,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:28:50.101000+00:00
114-8834949-8984235,03334099771506,B0BKR4YKB2,slim5-blue-3mo,"Pinwheel Slim 5 Smartphone for Kids + 3 mo Caregiver Portal Subscription (Parental Controls Software) - Includes Case, Screen Protector",1,1,1,,,,USD,243.99,,,USD,17.08,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:24:55.452000+00:00
112-8852464-8444266,45435129137506,B0BKR4YKB2,slim5-blue-3mo,"Pinwheel Slim 5 Smartphone for Kids + 3 mo Caregiver Portal Subscription (Parental Controls Software) - Includes Case, Screen Protector",1,1,1,,,,USD,243.99,,,USD,16.16,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:24:53.369000+00:00
114-0626304-1359458,77750743183401,B0BKR3VM44,plus2-black-3mo,Pinwheel Plus 2 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,1,1,1,,,,USD,369.00,,,USD,24.45,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:30:05.644000+00:00
112-2067678-0929018,75737721055721,B0BKR4YKB2,slim5-blue-3mo,Pinwheel Slim 5 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,1,1,1,,,,USD,239.00,,,USD,14.34,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:28:48.937000+00:00
114-2819439-9416257,77830954435841,B0BKR4YKB2,slim5-blue-3mo,Pinwheel Slim 5 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,0,0,1,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,False,,,,,,,,2023-05-11 02:30:07.654000+00:00
114-8959470-7302630,78024357082201,B0BKR4YKB2,slim5-blue-3mo,Pinwheel Slim 5 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,1,1,1,,,,USD,239.00,,,USD,18.52,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-16 14:30:36.404000+00:00
111-1242018-0100246,78215227872201,B0BKR4YKB2,slim5-blue-3mo,Pinwheel Slim 5 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,1,1,1,,,,USD,239.00,,,USD,21.21,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-19 20:30:23.493000+00:00
113-9419899-9054606,78418481567961,B0BKRXGT52,slim5-blue-12mo,Pinwheel Slim 5 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,1,1,1,,,,USD,359.00,USD,7.71,USD,33.21,USD,0.00,USD,7.71,USD,0.00,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-24 14:31:13.239000+00:00
114-5127185-8383409,78548206412161,B0BKR4YKB2,slim5-blue-3mo,Pinwheel Slim 5 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Media or Web Browser | Unlocked for Any Cell Carrier,0,0,1,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,2023-05-25 08:31:39.763000+00:00
112-0751843-9516255,78772901703681,B0BKR3VM44,plus2-black-3mo,Pinwheel Plus 2 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Media or Web Browser | Unlocked for Any Cell Carrier,0,0,1,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,2023-05-30 20:30:33.825000+00:00
113-2793495-5919449,78834829189241,B0BKR3VM44,plus2-black-3mo,Pinwheel Plus 2 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,1,1,1,,,,USD,369.00,,,USD,24.45,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-06-02 02:30:31.352000+00:00
111-4407769-6091466,79228094885321,B0BKR4XZGJ,plus2-black-12mo,Pinwheel Plus 2 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,1,1,1,,,,USD,489.00,,,USD,36.06,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-06-08 20:30:58.611000+00:00
114-2861204-8072240,79697953914921,B0BKR4YKB2,slim5-blue-3mo,Pinwheel Slim 5 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,1,1,1,,,,USD,239.00,,,USD,15.83,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-06-16 14:30:41.155000+00:00
111-8296065-8854615,79980566681761,B0BKR4YKB2,slim5-blue-3mo,Pinwheel Slim 5 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,1,1,1,,,,USD,239.00,,,USD,21.03,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-06-19 14:31:30.667000+00:00
112-4172046-2797842,80380689905281,B0BKR4YKB2,slim5-blue-3mo,Pinwheel Slim 5 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,1,1,1,,,,USD,239.00,,,USD,11.95,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-06-28 08:31:46.692000+00:00
113-2992128-4518666,73838711339281,B0BKR3VM44,plus2-black-3mo,"Pinwheel Plus 2 Smartphone for Kids + 3 mo Caregiver Portal Subscription (Parental Controls Software) - Includes Case, Screen Protector",0,0,1,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,2023-05-10 17:26:40.819000+00:00
111-2488928-3022655,75476494904081,B0BKR4XZGJ,plus2-black-12mo,Pinwheel Plus 2 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,1,1,1,,,,USD,489.00,,,USD,42.79,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:27:37.983000+00:00
112-6021407-0598658,77234357993161,B0BKR3VM44,plus2-black-3mo,Pinwheel Plus 2 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,1,1,1,,,,USD,369.00,,,USD,30.44,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:29:33.311000+00:00
113-0284007-7300247,75649658951121,B0BKR4YKB2,slim5-blue-3mo,Pinwheel Slim 5 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,1,1,1,,,,USD,239.00,,,USD,16.73,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:28:48.847000+00:00
114-5403265-3029026,71763845969361,B0BKR3VM44,plus2-black-3mo,"Pinwheel Plus 2 Smartphone for Kids + 3 mo Caregiver Portal Subscription (Parental Controls Software) - Includes Case, Screen Protector",1,1,1,,,,USD,373.99,USD,5.99,USD,35.53,USD,0.57,USD,0.00,USD,0.00,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:26:08.766000+00:00
114-6965476-3589822,74767999095561,B0BKR4YKB2,slim5-blue-3mo,"Pinwheel Slim 5 Smartphone for Kids + 3 mo Caregiver Portal Subscription (Parental Controls Software) - Includes Case, Screen Protector",1,1,1,,,,USD,239.00,,,USD,14.82,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:27:36.366000+00:00
113-2655454-8625807,75033669698001,B0BKR4YKB2,slim5-blue-3mo,Pinwheel Slim 5 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,1,1,1,,,,,,,,,,,,,,,,,,,,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:27:37.180000+00:00
114-6099277-1741010,71555788056281,B0BKR4YKB2,slim5-blue-3mo,"Pinwheel Slim 5 Smartphone for Kids + 3 mo Caregiver Portal Subscription (Parental Controls Software) - Includes Case, Screen Protector",1,1,1,,,,USD,243.99,,,USD,20.98,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:26:08.344000+00:00
114-9122516-5064242,34683055113210,B0BKR4YKB2,slim5-blue-3mo,"Pinwheel Slim 5 Smartphone for Kids + 3 mo Caregiver Portal Subscription (Parental Controls Software) - Includes Case, Screen Protector",1,1,1,,,,USD,243.99,,,USD,0.00,,,,,,,USD,0.00,USD,0.00,False,,,,,,,,,,False,,,,,,,,2023-05-10 17:24:55.978000+00:00
111-1875421-5983438,53581080045642,B0BKR3VM44,plus2-black-3mo,"Pinwheel Plus 2 Smartphone for Kids + 3 mo Caregiver Portal Subscription (Parental Controls Software) - Includes Case, Screen Protector",1,1,1,,,,USD,373.99,,,USD,28.05,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:24:54.005000+00:00
112-4842798-8944269,77677218834561,B0BKR3VM44,plus2-black-3mo,Pinwheel Plus 2 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,1,1,1,,,,USD,369.00,,,USD,30.44,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:30:05.167000+00:00
113-5797867-6566612,76199789784881,B0BKR4XZGJ,plus2-black-12mo,Pinwheel Plus 2 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,1,1,1,,,,USD,489.00,,,USD,49.88,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:28:50.011000+00:00
113-2329245-8918639,77603566126761,B0BKR4YKB2,slim5-blue-3mo,Pinwheel Slim 5 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,1,1,1,,,,USD,239.00,,,USD,21.75,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:30:04.682000+00:00
