subscription_id,id,end,start,promotion_code,checkout_session,coupon_id,invoice_item_id,customer_id,invoice_id,_fivetran_synced
sub_1MGBnIFCPJnn9IgIF5ituD13,di_1MGBnIFCPJnn9IgIwfMxEcxj,2023-12-18 01:36:00+00:00,2022-12-18 01:36:00+00:00,,,HLgpCeXS,,cus_Mt4uV10mER3kKh,,2023-08-18 02:31:15.252000+00:00
sub_1NqIHXFCPJnn9IgIRZmU4hFs,di_1NqIHXFCPJnn9IgIzK49LyhI,2023-12-14 16:20:43+00:00,2023-09-14 16:20:43+00:00,,,iVickyzU,,cus_OdZPA2IH3oxyPR,,2023-09-14 20:30:34.392000+00:00
sub_1NoV8lFCPJnn9IgI9v9CaanM,di_1NoV8lFCPJnn9IgIOqcAzYuN,,2023-09-09 17:40:15+00:00,promo_1NJJj6FCPJnn9IgI554xxgU2,,m1EgFVng,,cus_ObiZD2QyHK7zH1,,2023-10-12 02:30:02.887000+00:00
sub_1MsA2gFCPJnn9IgIrhEDL2Y5,di_1MsA2gFCPJnn9IgInQdjrMVg,2024-04-01 19:24:49+00:00,2023-04-01 19:24:49+00:00,,,HLgpCeXS,,cus_NamTawyKUeVcuA,,2023-10-17 02:29:53.550000+00:00
sub_1NpDtcFCPJnn9IgIBO7sNe8j,di_1NpDtcFCPJnn9IgIRZF0fd3Y,,2023-09-11 17:27:36+00:00,promo_1NJJjAFCPJnn9IgInxmQ5uhp,,m1EgFVng,,cus_OQ6dcPRdDHK7CQ,,2023-11-01 02:30:13.160000+00:00
sub_1Nmr4tFCPJnn9IgIa6uNCa9P,di_1Nmr4tFCPJnn9IgIkIGTOJVU,,2023-09-05 04:41:27+00:00,promo_1MN43WFCPJnn9IgIzNhUY5Xv,,uTF41ghy,,cus_Oa17RlGHJfyeik,,2023-11-01 02:30:14.197000+00:00
sub_1N2xtUFCPJnn9IgIyJezi9EC,di_1N2xtUFCPJnn9IgI0N6lHrFK,,2023-05-01 14:40:00+00:00,promo_1MMyXUFCPJnn9IgIpRouqq36,,m1EgFVng,,cus_Nob5b2WOHXfDLf,,2023-11-01 02:30:13.163000+00:00
sub_1NyeidFCPJnn9IgIaEfs5hkt,di_1NyeidFCPJnn9IgIRJ4QMbJB,,2023-10-07 17:55:15+00:00,promo_1MMyZ2FCPJnn9IgIRFxuNQg2,,uTF41ghy,,cus_OmD8lFzdKIJlqQ,,2023-11-01 02:30:14.197000+00:00
sub_1MiMTAFCPJnn9IgI1fhj8PzL,di_1MiMTAFCPJnn9IgIEZccem8W,2024-03-05 18:39:40+00:00,2023-03-05 18:39:40+00:00,,,HLgpCeXS,,cus_NR330OmYjD6XgG,,2023-11-08 20:30:15.046000+00:00
sub_1MJ1jGFCPJnn9IgIBTnlbTJq,di_1MJ1jGFCPJnn9IgIAPfsnzjs,2023-12-25 21:27:34+00:00,2022-12-25 21:27:34+00:00,,,HLgpCeXS,,cus_MxDmPtPcxkYwqv,,2023-11-20 20:30:02.441000+00:00
sub_1NYx6uFCPJnn9IgIEXkVqxhE,di_1NYx6uFCPJnn9IgI1gUQ0AqH,2024-07-28 20:18:04+00:00,2023-07-28 20:18:04+00:00,,,HLgpCeXS,,cus_OGp4M7akiSJtCV,,2023-11-30 20:31:38.797000+00:00
sub_1OManwFCPJnn9IgIXWRUofER,di_1OManwFCPJnn9IgIjZn1qCce,,2023-12-12 18:35:40+00:00,promo_1OMXshFCPJnn9IgIIfWIawGY,,IrIeOYlS,,cus_PAwhQ9mRxAojTz,,2023-12-12 20:32:03.129000+00:00
sub_1MHe3xFCPJnn9IgINHLBfErI,di_1MHe3xFCPJnn9IgIjH6RVIaw,2023-12-22 01:59:13+00:00,2022-12-22 01:59:13+00:00,,,HLgpCeXS,,cus_N1hSswQdnl2Htd,,2023-12-21 08:30:48.515000+00:00
sub_1MOYY1FCPJnn9IgI5e25ARz2,di_1MOYY1FCPJnn9IgIfH0Zu7v7,2024-01-10 03:30:48+00:00,2023-01-10 03:30:48+00:00,,,HLgpCeXS,,cus_MrwqUJkK6uBspG,,2024-01-09 08:30:16.260000+00:00
sub_1O0qchFCPJnn9IgIWMlaS2DZ,di_1O0qchFCPJnn9IgIGCkCsBw6,2024-10-13 19:02:11+00:00,2023-10-13 19:02:11+00:00,,,HLgpCeXS,,cus_On59apYUeVWRru,,2024-02-23 02:29:47.166000+00:00
sub_1N077cFCPJnn9IgI92pwVJxU,di_1N077cFCPJnn9IgI5T661FRg,2024-04-23 17:54:48+00:00,2023-04-23 17:54:48+00:00,,,HLgpCeXS,,cus_NjOKnLCxMYU0ZU,,2024-04-24 00:04:21.366000+00:00
sub_1NNxExFCPJnn9IgILsfTQHeO,di_1NNxExFCPJnn9IgIOmfunt6k,2024-06-27 05:00:00+00:00,2023-06-27 05:00:00+00:00,,,HLgpCeXS,,cus_Na1NQLtiyg29M4,,2024-04-29 00:03:18.155000+00:00
sub_1PC5wvFCPJnn9IgIBaWd7j09,di_1PC5wvFCPJnn9IgI1BRfPaYD,2025-05-02 20:09:49+00:00,2024-05-02 20:09:49+00:00,,,HLgpCeXS,,cus_Q1gb0HoZpb2lgQ,,2024-05-22 20:17:33.805000+00:00
sub_1P7kiqFCPJnn9IgIrrQv8MsQ,di_1P7kiqFCPJnn9IgI5I81VpTD,2024-07-20 20:41:20+00:00,2024-04-20 20:41:20+00:00,,,iVickyzU,,cus_Pxg2HohiSolWcm,,2024-05-22 20:32:24.274000+00:00
sub_1NcuxUFCPJnn9IgIGiD0erFH,di_1NcuxUFCPJnn9IgIE3q35UAi,2024-08-08 18:48:44+00:00,2023-08-08 18:48:44+00:00,,,HLgpCeXS,,cus_OLxhsVWwPQ07rj,,2024-06-09 00:04:36.700000+00:00
sub_1PTUAEFCPJnn9IgIGg4Xr6Hp,di_1PTUAEFCPJnn9IgIui44vjb2,,2024-06-19 19:27:25+00:00,,,1jxr2ccq,,cus_QJoayPeOM06mfT,,2024-06-20 00:07:28.975000+00:00
sub_1PUT4iFCPJnn9IgIISNRET83,di_1PUT4iFCPJnn9IgIogvQPIXv,,2024-06-22 12:29:48+00:00,,,1jxr2ccq,,cus_QL9MZBbSH4YRII,,2024-06-25 00:06:50.306000+00:00
sub_1PUT2SFCPJnn9IgINuhTVdEE,di_1PUT2SFCPJnn9IgIvgYf1Oe8,,2024-06-22 12:27:28+00:00,,,1jxr2ccq,,cus_QL9K82q9N0XZqK,,2024-06-25 00:06:49.966000+00:00
sub_1PX6QnFCPJnn9IgIyT1i0gai,di_1PX6QnFCPJnn9IgIuH26OT5A,,2024-06-29 18:55:29+00:00,,,1jxr2ccq,,cus_QMrURDW9ZBpwnn,,2024-06-30 00:06:41.937000+00:00
sub_1NYBOCFCPJnn9IgI3tusITNt,di_1NYBwDFCPJnn9IgIN2tZkYvO,2024-07-26 17:55:52+00:00,2023-07-26 17:55:52+00:00,,,HLgpCeXS,,cus_Nwsl3fc8uST3XI,,2024-07-06 00:04:49.026000+00:00
sub_1OtNSKFCPJnn9IgI47MP929G,di_1OtNSKFCPJnn9IgIf5ICLCGm,2025-03-12 05:00:00+00:00,2024-03-12 05:00:00+00:00,,,HLgpCeXS,,cus_PYBk1gC668FsT1,,2024-07-16 00:02:59.184000+00:00
sub_1NZNcQFCPJnn9IgIT0nUFQVc,di_1NZNcQFCPJnn9IgIgJuo42Tq,2024-07-30 00:36:22+00:00,2023-07-30 00:36:22+00:00,,,HLgpCeXS,,cus_OJPS6ZhFy5Gz86,,2024-07-30 00:03:20.541000+00:00
sub_1PMwkiFCPJnn9IgIrQv1k8sO,di_1PMwkiFCPJnn9IgINi8vdduB,2025-06-01 18:34:04+00:00,2024-06-01 18:34:04+00:00,,,HLgpCeXS,,cus_QBXI8y32mUUeqw,,2024-08-16 00:06:18.577000+00:00
sub_1Nk5sCFCPJnn9IgIJ79d89rW,di_1Nk5sCFCPJnn9IgIJMDg9BwX,2024-08-28 13:52:55+00:00,2023-08-28 13:52:55+00:00,,,HLgpCeXS,,cus_ORgO7KiKse1KU3,,2024-08-17 21:20:22.700000+00:00
sub_1PrNX9FCPJnn9IgIG5rVlHDy,di_1PrNX9FCPJnn9IgIxPkIBbIp,2025-08-24 17:13:51+00:00,2024-08-24 17:13:51+00:00,,,HLgpCeXS,,cus_QgXj6dTtmJQIom,,2024-09-07 00:09:52.966000+00:00
sub_1Q47tXFCPJnn9IgIlpHwgydF,di_1Q47tXFCPJnn9IgIFt4pwShh,2024-10-28 21:09:39+00:00,2024-09-28 21:09:39+00:00,,,GCMclVZ5,,cus_QvzrDU6g3zu2VV,,2024-10-22 17:47:01.516000+00:00
sub_1NsPu9FCPJnn9IgINHC9yWko,di_1NsPu9FCPJnn9IgIw1Q01oWz,,2023-09-20 12:53:21+00:00,promo_1NdfnQFCPJnn9IgIQxi3eP7k,,I6nApyXN,,cus_OflRC280Dt7qqQ,,2024-10-22 17:39:22.297000+00:00
sub_1NxDyWFCPJnn9IgIW6iD4XMV,di_1Q5uPYFCPJnn9IgIo7jPtSLk,2025-10-03 19:09:44+00:00,2024-10-03 19:09:44+00:00,,,HLgpCeXS,,cus_Oiq2V5B3SJsPwY,,2024-10-22 17:34:22.783000+00:00
sub_1OxjASFCPJnn9IgIegiM7XKA,di_1OxjASFCPJnn9IgIL1GfQ7Pm,,2024-03-24 05:00:00+00:00,,,IrIeOYlS,,cus_NYfgLX9fKSc9ni,,2024-10-25 20:34:47.942000+00:00
sub_1QNQvyFCPJnn9IgInaKQiySP,di_1QNQvyFCPJnn9IgII5VWgFLd,2025-11-21 03:19:57+00:00,2024-11-21 03:19:57+00:00,,,HLgpCeXS,,cus_RCCJqsb544XQA5,,2024-12-05 00:30:19.442000+00:00
sub_1OKRmPFCPJnn9IgIp2Y9rTBg,di_1OKRmPFCPJnn9IgIvGCTMoUt,2024-12-06 20:33:13+00:00,2023-12-06 20:33:13+00:00,,,HLgpCeXS,,cus_P5m2PkTJuq5vYe,,2024-12-07 00:30:23.554000+00:00
sub_1P4UwFFCPJnn9IgIPpiGH14x,di_1P4UwFFCPJnn9IgIfGpNKGj3,2025-04-11 21:13:43+00:00,2024-04-11 21:13:43+00:00,,,HLgpCeXS,,cus_MH6h6gR7I3fzig,,2024-12-11 00:30:27+00:00
sub_1L2zEEFCPJnn9IgIz0u2msWL,di_1L2zEEFCPJnn9IgIQ8vgLgKd,,2022-05-24 15:00:58+00:00,,,JWotNU6T,,cus_LkUCTTiSeQfLge,,2022-06-14 07:30:34.879000+00:00
sub_1M7RjGFCPJnn9IgIozjqCcf0,di_1M7RjGFCPJnn9IgIG27XbcpH,,2022-11-23 22:47:42+00:00,,,xFOZR803,,cus_KvKYOfBjMHH1LN,,2022-12-01 08:35:22.396000+00:00
sub_1MIuosFCPJnn9IgIZLVWJacJ,di_1MIuosFCPJnn9IgIqFuLA1A8,2023-12-25 14:04:54+00:00,2022-12-25 14:04:54+00:00,,,HLgpCeXS,,cus_MsaCc6vNesVk11,,2023-01-25 14:29:58.233000+00:00
sub_1KyewKFCPJnn9IgIFb8K3OKi,di_1MinqLFCPJnn9IgINjZNkLvT,2024-03-06 23:53:25+00:00,2023-03-06 23:53:25+00:00,,,HLgpCeXS,,cus_Lg0xl7KSw8TQkS,,2023-03-07 02:30:29.924000+00:00
sub_1MUF72FCPJnn9IgIjolJgOZo,di_1MUF72FCPJnn9IgIpilXLJxw,,2023-01-25 19:58:28+00:00,,,1jxr2ccq,,cus_NEiXIQzWhk3DEy,,2023-03-31 08:30:58.661000+00:00
sub_1Mja5fFCPJnn9IgIrqD3b5WP,di_1Mja5fFCPJnn9IgIhERSnXa7,2023-06-09 03:24:27+00:00,2023-03-09 03:24:27+00:00,,,iVickyzU,,cus_NUZ7rel5UeI4NP,,2023-04-09 08:30:39.080000+00:00
sub_1L0cPfFCPJnn9IgImu7of5VS,di_1L0cPfFCPJnn9IgIa4qBvq0E,,2022-05-18 02:14:59+00:00,,,xFOZR803,,cus_Li2EVkZSRrTqAd,,2022-06-14 07:30:56.708000+00:00
sub_1MGZVeFCPJnn9IgILAq40uqW,di_1MGZVeFCPJnn9IgIPAXv4tov,2023-12-19 02:55:22+00:00,2022-12-19 02:55:22+00:00,,,HLgpCeXS,,cus_Msv0nfB4yZ98ta,,2023-02-19 08:29:53.704000+00:00
sub_1N3KgeFCPJnn9IgIPKp4TCic,di_1N3KgeFCPJnn9IgIJPO6UrYq,,2023-05-02 15:00:16+00:00,promo_1MN43WFCPJnn9IgIDx1eKHId,,uTF41ghy,,cus_NWpBdf83w8s4ZI,,2023-05-03 02:30:17.102000+00:00
sub_1NNPPPFCPJnn9IgIeDZbY6V7,di_1NNPPPFCPJnn9IgI74dNgTYx,,2023-06-27 00:05:27+00:00,promo_1MMyZ2FCPJnn9IgIcRSU2thT,,uTF41ghy,,cus_O9iroGnxxVaiFY,,2023-06-27 02:34:03.101000+00:00
sub_1NVInNFCPJnn9IgIOVpnZJwQ,di_1NVInNFCPJnn9IgIsrGdmh7n,,2023-07-18 18:38:48+00:00,promo_1MN43WFCPJnn9IgIkouemq3y,,uTF41ghy,,cus_OHsYsliHJ33cWx,,2023-07-18 20:33:00.740000+00:00
sub_1N8F8QFCPJnn9IgIkAoLqpUX,di_1N8F8QFCPJnn9IgIw3GDMkdT,2024-05-16 04:05:14+00:00,2023-05-16 04:05:14+00:00,,,HLgpCeXS,,cus_NpwHU2ypoBZVAn,,2023-07-26 20:31:49.651000+00:00
sub_1NXqjvFCPJnn9IgIn6ZncLxN,di_1NXqjvFCPJnn9IgIJL8pKpeC,,2023-07-25 19:17:47+00:00,promo_1NJJhPFCPJnn9IgIfeyckO6t,,m1EgFVng,,cus_OKVl45XUNqsAP1,,2023-08-03 02:30:37.772000+00:00
sub_1NM61nFCPJnn9IgIYnDj7d1X,di_1NXtw0FCPJnn9IgItG3oAdp0,2023-10-25 22:42:28+00:00,2023-07-25 22:42:28+00:00,,,iVickyzU,,cus_O8Ml37Jlc2P2Fm,,2023-08-11 20:30:15.168000+00:00
sub_1Na5lLFCPJnn9IgIs0OgpvOF,di_1Na5lLFCPJnn9IgIIcLEHSb9,,2023-07-31 23:44:31+00:00,promo_1NJJiIFCPJnn9IgImrAGDZK4,,m1EgFVng,,cus_OMpQkOJL8eEvrj,,2023-08-17 02:30:18.316000+00:00
sub_1NfsOXFCPJnn9IgIOUq2OsaH,di_1NfsOXFCPJnn9IgIOWOll11H,,2023-08-16 22:40:53+00:00,promo_1MgWsYFCPJnn9IgICUrGIwnj,,Ny4UFMqR,,cus_OSo0wNPY8Dv2eo,,2023-08-18 02:30:43.860000+00:00
sub_1NkmzQFCPJnn9IgIt0YiQrhN,di_1NkmzQFCPJnn9IgIW7VMoqs4,2023-11-30 11:55:16+00:00,2023-08-30 11:55:16+00:00,,,iVickyzU,,cus_OVKDsj5txqKAsi,,2023-08-30 20:29:55.759000+00:00
sub_1NnE2pFCPJnn9IgInxXD2z5J,di_1NnE2pFCPJnn9IgI6WXxCUuN,2023-12-06 05:12:51+00:00,2023-09-06 05:12:51+00:00,,,iVickyzU,,cus_OaOonko8clZWoO,,2023-09-06 20:30:27.204000+00:00
sub_1NoUsaFCPJnn9IgIMAJNk6FF,di_1NoUsaFCPJnn9IgIvKu8Oq2v,2024-09-09 17:23:32+00:00,2023-09-09 17:23:32+00:00,,,HLgpCeXS,,cus_OV8ZUgOu4tqwiq,,2023-09-11 20:29:46.886000+00:00
sub_1Ns6BYFCPJnn9IgIhAPX9MHc,di_1Ns6BYFCPJnn9IgIlqBWPXW9,,2023-09-19 15:50:00+00:00,promo_1MMyYQFCPJnn9IgIsbbU9TXo,,wYkr6VDt,,cus_OfR37YOwxaLCen,,2023-09-19 20:30:27.038000+00:00
sub_1MMcHsFCPJnn9IgIA1T82mjs,di_1MaRY8FCPJnn9IgIVh639HyF,2024-02-11 22:28:04+00:00,2023-02-11 22:28:04+00:00,,,HLgpCeXS,,cus_N2NDEL55KE6mxA,,2023-10-04 20:30:17.930000+00:00
sub_1NOo9VFCPJnn9IgIj5F5F8Yk,di_1NOo9VFCPJnn9IgIIqGldnfy,,2023-06-30 20:42:49+00:00,promo_1NJJhWFCPJnn9IgIxib32Nx0,,m1EgFVng,,cus_OBAUrtdT5jcAQ7,,2023-10-12 02:30:02.887000+00:00
sub_1Nr5iWFCPJnn9IgI7DP5t1wQ,di_1Nr5iWFCPJnn9IgI0bI0CvZQ,2024-09-16 21:07:52+00:00,2023-09-16 21:07:52+00:00,,,HLgpCeXS,,cus_OVRInx7s0e76c8,,2023-10-12 20:29:48.586000+00:00
sub_1Npw6yFCPJnn9IgIyPoaXMQ3,di_1Npw6yFCPJnn9IgIBskW1jha,2024-09-13 16:40:20+00:00,2023-09-13 16:40:20+00:00,,,HLgpCeXS,,cus_JeByO0Gu9hiBwO,,2023-10-13 20:29:57.080000+00:00
sub_1NwuaFFCPJnn9IgI0R1Gx6bw,di_1NwuaFFCPJnn9IgIFjmIjgAh,2024-10-02 22:27:23+00:00,2023-10-02 22:27:23+00:00,,,HLgpCeXS,,cus_Oi3kLIu7UeNwR3,,2023-10-31 02:30:02.768000+00:00
sub_1NJeTIFCPJnn9IgIkRnFUXsb,di_1NJeTIFCPJnn9IgI8W0xhMsP,,2023-06-16 15:21:56+00:00,promo_1NJJgdFCPJnn9IgI8GX90z9L,,m1EgFVng,,cus_O5q9X3zp8m5wU8,,2023-11-01 02:30:13.160000+00:00
sub_1NiKvrFCPJnn9IgIrqZuJPiZ,di_1NiKvrFCPJnn9IgIdGX5OA5t,,2023-08-23 17:33:27+00:00,promo_1MN43WFCPJnn9IgIJQxRi0YG,,uTF41ghy,,cus_OVLdzRmO3oAuIw,,2023-11-01 02:30:15.572000+00:00
sub_1NdLcbFCPJnn9IgIVXpR9lXS,di_1NdLcbFCPJnn9IgIke2rYgkU,,2023-08-09 23:16:57+00:00,promo_1MN43WFCPJnn9IgI9BIEI6vZ,,uTF41ghy,,cus_OQC0dtDJrVO7v2,,2023-11-01 02:30:13.785000+00:00
sub_1NRHRKFCPJnn9IgIRJqUmtn4,di_1NRHRKFCPJnn9IgIIo4oEKdw,,2023-07-07 16:23:26+00:00,promo_1NJJfoFCPJnn9IgITRW5lniL,,m1EgFVng,,cus_ODityfKP2IU3DI,,2023-11-01 02:30:13.160000+00:00
sub_1O2HVZFCPJnn9IgIl3GQv7pj,di_1O2HVZFCPJnn9IgItmTLt3S8,,2023-10-17 17:56:45+00:00,promo_1NJJjsFCPJnn9IgI3lgeEhVL,,m1EgFVng,,cus_OpxQJvw7LiHXcC,,2023-11-01 02:30:11.689000+00:00
sub_1NwpPsFCPJnn9IgIgmaP4jCd,di_1NwpPsFCPJnn9IgIPpi9jwOr,,2023-10-02 16:56:20+00:00,promo_1MMyZ2FCPJnn9IgIRXqygZhx,,uTF41ghy,,cus_OkK3S7xtqZlwMC,,2023-11-01 02:30:14.197000+00:00
sub_1NiKRLFCPJnn9IgIdjUAq2vc,di_1NiKRLFCPJnn9IgIkqGcNKnZ,,2023-08-23 17:01:55+00:00,promo_1NahxQFCPJnn9IgIEtHcSgxJ,,uTF41ghy,,cus_OVL76XDkyoSM2a,,2023-11-01 02:30:15.571000+00:00
sub_1MiMJSFCPJnn9IgIqAc6Bd2n,di_1MiMJSFCPJnn9IgIUrPYOddn,2024-03-05 18:29:38+00:00,2023-03-05 18:29:38+00:00,,,HLgpCeXS,,cus_NR330OmYjD6XgG,,2023-11-08 20:30:15.046000+00:00
sub_1Nv3HeFCPJnn9IgI3Y18DYWV,di_1Nv3HeFCPJnn9IgI5ybKZIRp,,2023-09-27 19:20:30+00:00,,,1jxr2ccq,,cus_LysWdePavHXGWZ,,2023-11-13 02:30:26.312000+00:00
sub_1MPvKUFCPJnn9IgIiiV4I93k,di_1MPvKUFCPJnn9IgIJ6Of7T72,2024-01-13 22:02:30+00:00,2023-01-13 22:02:30+00:00,,,HLgpCeXS,,cus_N52XsXb9Ap0aB2,,2023-11-14 02:29:57.792000+00:00
sub_1NdIBqFCPJnn9IgIoYLfg5um,di_1NdIBqFCPJnn9IgImkDTjLqq,2024-08-09 19:37:06+00:00,2023-08-09 19:37:06+00:00,,,HLgpCeXS,,cus_OKyeUZrggfzo8L,,2023-11-15 02:29:59.601000+00:00
sub_1OICWeFCPJnn9IgId6oONLF8,di_1OICWeFCPJnn9IgIFD3u8SLU,2024-11-30 15:51:40+00:00,2023-11-30 15:51:40+00:00,,,HLgpCeXS,,cus_P1VmeH6jAK94IV,,2023-11-30 20:32:04.070000+00:00
sub_1MIQzZFCPJnn9IgICvXi64qS,di_1MIQzZFCPJnn9IgIcgix7rBx,2023-12-24 06:13:57+00:00,2022-12-24 06:13:57+00:00,,,HLgpCeXS,,cus_MzMGiWLrgyivOx,,2023-12-02 00:02:23.963000+00:00
sub_1OB16RFCPJnn9IgIlsVxTx8P,di_1OB16RFCPJnn9IgIUAX2cS1W,2024-11-10 20:14:55+00:00,2023-11-10 20:14:55+00:00,,,HLgpCeXS,,cus_OwAaB17sN5tkUN,,2023-12-08 20:30:44.562000+00:00
sub_1OLYvfFCPJnn9IgIhEivXVhQ,di_1OLYvfFCPJnn9IgIinb9uCwE,2024-12-09 22:23:23+00:00,2023-12-09 22:23:23+00:00,,,HLgpCeXS,,cus_Kz1G1AgzMs4z5Z,,2023-12-13 00:02:55.341000+00:00
sub_1OOLQTFCPJnn9IgItNUdPYEf,di_1OOLQTFCPJnn9IgIcv14LgWd,,2023-12-17 14:34:41+00:00,promo_1O7O2BFCPJnn9IgIGEaSxko5,,7AXdPJmr,,cus_PCkwF1770ANAvr,,2023-12-28 00:02:43.501000+00:00
sub_K6Ay1qu2j3p0oq,di_1MUdj4FCPJnn9IgIUY3SN9dk,2024-01-26 22:15:22+00:00,2023-01-26 22:15:22+00:00,,,HLgpCeXS,,cus_JwyXVJGEUzZaBS,,2024-01-06 00:02:07.236000+00:00
sub_1McEG4FCPJnn9IgI62spjzmJ,di_1McEG4FCPJnn9IgIR2yfny4X,2024-02-16 20:40:48+00:00,2023-02-16 20:40:48+00:00,,,HLgpCeXS,,cus_NLV2jSqsPa33dS,,2024-01-10 14:29:48.816000+00:00
sub_1On3CtFCPJnn9IgI5FeR2yu0,di_1On3CtFCPJnn9IgIO6l1n2mE,2025-02-23 18:10:47+00:00,2024-02-23 18:10:47+00:00,,,HLgpCeXS,,cus_PYBk1gC668FsT1,,2024-02-23 20:31:43.166000+00:00
sub_1MDCjdFCPJnn9IgIGAwmGhSZ,di_1MfFjSFCPJnn9IgIxx5rc3ii,2024-02-25 04:51:36+00:00,2023-02-25 04:51:36+00:00,,,HLgpCeXS,,cus_Mx6xnhN0NjhG2z,,2024-02-24 08:30:29.912000+00:00
sub_1Mp9y2FCPJnn9IgIj0tAHSSI,di_1Mp9y2FCPJnn9IgIEdxJ68Dh,2024-03-24 12:43:38+00:00,2023-03-24 12:43:38+00:00,,,HLgpCeXS,,cus_NYfgLX9fKSc9ni,,2024-03-24 08:30:24.454000+00:00
sub_1NjEepFCPJnn9IgIHdC71nPI,di_1NjEepFCPJnn9IgIf81Ha3fW,2024-08-26 05:00:00+00:00,2023-08-26 05:00:00+00:00,,,HLgpCeXS,,cus_NJCtX28MW484oD,,2024-03-26 08:30:37.911000+00:00
sub_1NRUXoFCPJnn9IgIU3CQqczr,di_1NRUXoFCPJnn9IgI31xEkWAh,,2023-07-08 06:23:00+00:00,promo_1MpElmFCPJnn9IgIuDSEAuXr,,h6PUZMBH,,cus_ODwQaecGpzkTKf,,2024-04-06 00:05:12.408000+00:00
sub_1P5EOeFCPJnn9IgIDW3cd24B,di_1P5EOeFCPJnn9IgIwTdAcD4l,2025-04-13 21:46:04+00:00,2024-04-13 21:46:04+00:00,,,HLgpCeXS,,cus_Pokv5axK2ExQZN,,2024-04-16 00:04:18.697000+00:00
sub_1MtwozFCPJnn9IgIQaNMmrNJ,di_1P47vsFCPJnn9IgIxRdsdpsU,2025-04-10 20:39:48+00:00,2024-04-10 20:39:48+00:00,,,HLgpCeXS,,cus_NdNDXWeGxoyN96,,2024-05-07 00:06:05.971000+00:00
sub_1OuhAhFCPJnn9IgI2ASYPv4o,di_1OuhAhFCPJnn9IgIIrVGcBVC,2025-03-15 20:16:07+00:00,2024-03-15 20:16:07+00:00,,,HLgpCeXS,,cus_PiGtS3A6pSUL7N,,2024-05-07 00:07:02.488000+00:00
