payment_method_id,description,brand,fingerprint,funding,three_d_secure_authentication_flow,three_d_secure_result,three_d_secure_result_reason,three_d_secure_version,type,charge_id,wallet_type,_fivetran_synced,three_d_secure_usage_supported
pm_1Pg6teFCPJnn9IgIngsJmzTa,,amex,N0VBtHXMKZCOCy3z,credit,,,,,,,,2024-08-14 01:49:54.620000+00:00,True
pm_1PgBeKFCPJnn9IgIp0xc7ENe,,visa,scpa12NaONosPGiW,credit,,,,,,,link,2024-08-14 01:40:39.371000+00:00,True
pm_1PgCVDFCPJnn9IgIeC26C7Th,,visa,sWIjNp4Td96KAYLv,credit,,,,,,,,2024-08-14 01:40:39.536000+00:00,True
pm_1PgEISFCPJnn9IgIO5mW3kSQ,,amex,lPaKZ3lzjFvwuxUl,credit,,,,,,,,2024-08-14 01:40:39.319000+00:00,True
pm_1PgGmLFCPJnn9IgIaV5DBJJf,,visa,Qt6t1RpwpbCOzS4H,credit,,,,,,,,2024-08-14 01:40:40.823000+00:00,True
pm_1PgSaOFCPJnn9IgIjosJGLcw,,discover,M6vo7bXYYEDoZNvn,prepaid,,,,,,,google_pay,2024-08-14 01:31:31.102000+00:00,True
pm_1PgbJZFCPJnn9IgIl0YJ6Aek,,visa,pznutYBMWGibNRfj,credit,,,,,,,link,2024-08-14 01:50:02.881000+00:00,True
pm_1PgprvFCPJnn9IgI3M4RdGjQ,,visa,048snYhddiDvw60g,credit,,,,,,,,2024-08-14 01:40:57.306000+00:00,True
pm_1PgritFCPJnn9IgIFw6i7kvy,,mastercard,ylfde5RAeVVc6OzO,debit,,,,,,,link,2024-08-14 01:50:07.927000+00:00,True
pm_1PgtZ1FCPJnn9IgIBM6jiHa7,,visa,r5rT58YnISWjTYmU,debit,,,,,,,,2024-08-14 01:40:59.519000+00:00,True
pm_1PhDgXFCPJnn9IgI8YCOfucq,,visa,Gt5b5jUKzGgXq9VL,credit,,,,,,,,2024-08-14 01:41:03.612000+00:00,True
pm_1PhGkIFCPJnn9IgIQuhzSA4L,,visa,KdLs2GT0S2oSeIxH,credit,,,,,,,link,2024-08-14 01:41:06.184000+00:00,True
pm_1PhZFvFCPJnn9IgIFYWwBEvr,,visa,GKrNqGvmXdQxn9o5,credit,,,,,,,,2024-08-14 01:41:10.083000+00:00,True
pm_1PhbksFCPJnn9IgI3YtPkMQK,,visa,FqsxhjP0lEYEIXah,credit,,,,,,,apple_pay,2024-08-14 01:41:11.998000+00:00,True
pm_1PhcVmFCPJnn9IgIlQbFG6jZ,,visa,Tm6dkpIYO80ocKqu,credit,,,,,,,,2024-08-14 01:41:12.215000+00:00,True
pm_1PheMvFCPJnn9IgIAXnNKzEm,,visa,GH73cvdplE31D5Mz,credit,,,,,,,,2024-08-14 01:41:13.016000+00:00,True
pm_1PheP3FCPJnn9IgIsAvF0cSP,,visa,GH73cvdplE31D5Mz,credit,,,,,,,,2024-08-14 01:41:13.016000+00:00,True
pm_1PheneFCPJnn9IgIlet1n9TL,,visa,qQ5dz1QnXQ5BWOBV,credit,,,,,,,,2024-08-14 01:41:13.016000+00:00,True
pm_1PhewcFCPJnn9IgIoRMVi8l3,,visa,HQoDmAMVtm14I7Co,credit,,,,,,,,2024-08-14 01:41:11.684000+00:00,True
pm_1PhfeYFCPJnn9IgIXa0fEOPk,,visa,CuEaaEZLZUxtmtdp,debit,,,,,,,,2024-08-14 01:41:11.684000+00:00,True
pm_1PhgGhFCPJnn9IgIKDIz7UQr,,visa,w0M9HDVZrykMlRrN,debit,,,,,,,,2024-08-14 01:50:21.557000+00:00,True
pm_1PhiLfFCPJnn9IgI629SRyB3,,amex,LtEw8C7gWcZ8iD7t,credit,,,,,,,link,2024-08-14 01:50:24.192000+00:00,True
pm_1PhkfxFCPJnn9IgIyyy3TNfm,,visa,8pBvpytupQWyWqmF,credit,,,,,,,,2024-08-14 01:32:22.203000+00:00,True
pm_1Phy8kFCPJnn9IgIXlkL057s,,visa,x0NDBeKKWU3Hq0de,debit,,,,,,,,2024-08-14 01:41:19+00:00,True
pm_1Phz8UFCPJnn9IgIMIH9f2EH,,amex,b8yk1lFzh9MKY5Tm,credit,,,,,,,,2024-08-14 01:41:18.975000+00:00,True
pm_1Pi4QEFCPJnn9IgIS2aNER1k,,amex,mTtkKBLbS9s1Zub5,credit,,,,,,,,2024-08-14 01:41:29.178000+00:00,True
pm_1Pi6l3FCPJnn9IgIBjp4CZOl,,discover,ZzNQ9wqN10hkF1eZ,credit,,,,,,,link,2024-08-14 01:32:36.321000+00:00,True
pm_1Pi71WFCPJnn9IgIIeKnm6Ab,,visa,rGg4C5EedRkNZZmV,debit,,,,,,,,2024-08-14 01:50:33.726000+00:00,True
pm_1PiHSjFCPJnn9IgImf2dKULu,,visa,apjY3Bj2Cmk2DeQf,credit,,,,,,,,2024-08-14 01:41:30.627000+00:00,True
pm_1PiIOcFCPJnn9IgIvEtg6K7U,,mastercard,uWsoURYzUSKZ7TvL,credit,,,,,,,link,2024-08-14 01:41:31.182000+00:00,True
pm_1PiLhYFCPJnn9IgIpRvAsx7f,,visa,KN2IKROudv6XpaCT,credit,,,,,,,,2024-08-14 01:41:32.988000+00:00,True
pm_1PiMbGFCPJnn9IgIc4K69vKu,,visa,jWDlDFFtTDYZ5HjH,credit,,,,,,,apple_pay,2024-08-14 01:41:32.962000+00:00,True
pm_1PiQwBFCPJnn9IgIp8laV9hQ,,visa,T0m11C3ewekklh3i,credit,,,,,,,,2024-08-14 01:41:35.531000+00:00,True
pm_1PiRfvFCPJnn9IgIiSFp7Vmz,,visa,CugpV7l5DEBJS9E1,credit,,,,,,,link,2024-08-14 01:41:35.188000+00:00,True
pm_1PiRkQFCPJnn9IgII1eEnhyJ,,visa,aJQS5a9k7ehhCB2v,debit,,,,,,,,2024-08-14 01:41:35.188000+00:00,True
pm_1PiST6FCPJnn9IgIQsY28WfJ,,mastercard,Oc9ZxvLJXFTAAffg,debit,,,,,,,apple_pay,2024-08-14 01:41:35.188000+00:00,True
pm_1PidKUFCPJnn9IgIMuINp18E,,visa,j3ZYgSMieFEYKyVD,debit,,,,,,,link,2024-08-14 01:41:37.948000+00:00,True
pm_1PijDvFCPJnn9IgIbDyoCOxM,,visa,vGXFvZ8WadKSQ84f,credit,,,,,,,link,2024-08-14 01:41:40.656000+00:00,True
pm_1Pil0EFCPJnn9IgIm3oWyVII,,visa,LaCtGpFeO3oPmnro,credit,,,,,,,link,2024-08-14 01:41:41.098000+00:00,True
pm_1Pin70FCPJnn9IgIjsqTFGbx,,mastercard,0D7FnQ0equjNpCav,debit,,,,,,,apple_pay,2024-08-14 01:50:50.052000+00:00,True
pm_1PiqBPFCPJnn9IgI728P7JFQ,,visa,hXLHeM3VNEoT1zxJ,debit,,,,,,,,2024-08-14 01:41:42.583000+00:00,True
pm_1Pj3fcFCPJnn9IgI4ql71Hlk,,visa,TLYdWlCGKSlATZ6m,credit,,,,,,,link,2024-08-14 01:41:54.576000+00:00,True
pm_1Pj77dFCPJnn9IgIEky0IinO,,visa,Xb9wVhG2QTNx8B7S,credit,,,,,,,,2024-08-14 01:41:50.497000+00:00,True
pm_1Pj7kxFCPJnn9IgIsMLsIBUi,,mastercard,xeN9xSaFAEw4dIuT,debit,,,,,,,link,2024-08-14 01:41:50.176000+00:00,True
pm_1PjLgKFCPJnn9IgIijwwhaDC,,mastercard,6hpLFAILU5VV3wIG,credit,,,,,,,,2024-08-14 01:51:01.279000+00:00,True
pm_1PjOPVFCPJnn9IgIKNAiVCjx,,visa,llCA9HNlnL30vvQW,debit,,,,,,,link,2024-08-14 01:42:33.983000+00:00,True
pm_1PjV1MFCPJnn9IgIMxhbo63d,,visa,jSKg3E7xwrVxMgca,debit,,,,,,,link,2024-08-14 01:42:35.661000+00:00,True
pm_1PjWlwFCPJnn9IgIxNwwiiHb,,visa,01CURD5If07c1ceM,credit,,,,,,,link,2024-08-14 01:42:39.353000+00:00,True
pm_1PjjSVFCPJnn9IgIbHUAep3U,,mastercard,EFEEVcxyEHoRqVYc,credit,,,,,,,apple_pay,2024-08-14 01:42:41.678000+00:00,True
pm_1PjtfGFCPJnn9IgIa8qQb1lx,,visa,omRVVNwSGH4W7Px4,debit,,,,,,,link,2024-08-14 01:51:12.702000+00:00,True
pm_1PjtsBFCPJnn9IgIPSXnxpsq,,visa,6Pwa2tKrcd70T876,credit,,,,,,,,2024-08-14 01:42:46.134000+00:00,True
pm_1PjvMEFCPJnn9IgIcLzfLa9w,,visa,wOQIaq12E5nKfuZN,credit,,,,,,,,2024-08-14 01:51:12.180000+00:00,True
pm_1PjwiyFCPJnn9IgImr21eUAT,,visa,wj8HBskvymiYuSmI,credit,,,,,,,,2024-08-14 01:42:46.040000+00:00,True
pm_1Pk4xeFCPJnn9IgIV5Th5kmU,,mastercard,ytApaZ0MnE7xxnFC,debit,,,,,,,,2024-08-14 01:43:02.588000+00:00,True
pm_1PkAmPFCPJnn9IgImna3rJzR,,visa,oGzUax65mKU76Iq4,debit,,,,,,,link,2024-08-14 01:51:18.790000+00:00,True
pm_1PkT4tFCPJnn9IgInMtM1FTW,,mastercard,XVrLpMYT45FIS6ue,credit,,,,,,,,2024-08-14 01:43:13.658000+00:00,True
pm_1PkU9DFCPJnn9IgI8Llkj0iR,,mastercard,cgL4qEBQl0uhud4Y,credit,,,,,,,link,2024-08-14 01:43:14.103000+00:00,True
pm_1PkVaJFCPJnn9IgIYQYBg8QW,,mastercard,wnCIOkDarflHrfIp,debit,,,,,,,,2024-08-14 01:43:16.259000+00:00,True
pm_1PkVhKFCPJnn9IgICVQC3tV7,,discover,ZN5ATXGxUS3OTyQI,credit,,,,,,,link,2024-08-14 01:51:25.873000+00:00,True
pm_1PkW5aFCPJnn9IgI32RK0ySU,,mastercard,BcPXFRaOw34vEfwP,credit,,,,,,,,2024-08-14 01:43:15.839000+00:00,True
pm_1PlAasFCPJnn9IgI17Q3nXTd,,visa,C070KbZgrmrSzEI5,credit,,,,,,,,2024-08-14 01:51:39.048000+00:00,True
pm_1PlC5hFCPJnn9IgIIx31xkYz,,visa,oM1Eiq3gN0a6tXoY,credit,,,,,,,apple_pay,2024-08-14 01:43:45.083000+00:00,True
pm_1PlDDMFCPJnn9IgIvWSBVUBM,,visa,nbgT3JQTLHqLYqbs,credit,,,,,,,,2024-08-14 01:43:45.435000+00:00,True
pm_1PlE69FCPJnn9IgIjtxaZ7l1,,visa,Yky8fpiXSp1Ezfru,debit,,,,,,,link,2024-08-14 01:43:47.488000+00:00,True
pm_1PlIjWFCPJnn9IgI0LuSge5C,,visa,76e9N9Tf8TQsaxlY,credit,,,,,,,link,2024-08-14 01:43:47.459000+00:00,True
pm_1PlKhSFCPJnn9IgITvla9Ap9,,mastercard,qZBOHIytqArtJLDC,debit,,,,,,,link,2024-08-14 01:43:49.953000+00:00,True
pm_1PlKxGFCPJnn9IgIIQlt3wwY,,visa,IwO1MXGDY53tIGQV,credit,,,,,,,link,2024-08-14 01:43:49.953000+00:00,True
pm_1PlWkEFCPJnn9IgIh1aV6v26,,visa,Qd8jd4xz9REMuZse,debit,,,,,,,link,2024-08-14 01:43:51.828000+00:00,True
pm_1PlZcBFCPJnn9IgIK052B9YV,,visa,l2Cf0ZCdxGzhvmTc,credit,,,,,,,,2024-08-14 01:43:52.967000+00:00,True
pm_1PlrNbFCPJnn9IgIxXedZCsq,,mastercard,INDh6ri96ZxMJuWY,credit,,,,,,,apple_pay,2024-08-14 01:44:00.798000+00:00,True
pm_1PltHwFCPJnn9IgIEfQEX4hD,,visa,BAWgjIzOtpq5zZLt,credit,,,,,,,,2024-08-14 01:44:01.439000+00:00,True
pm_1Plw0wFCPJnn9IgIltYP7JY0,,amex,vp2ODa7CEK5NRr3Q,credit,,,,,,,,2024-08-14 01:44:01.765000+00:00,True
pm_1Pm28BFCPJnn9IgIgODEU6N2,,mastercard,TrTwxSY6s5dFe66b,credit,,,,,,,link,2024-08-14 01:44:03.693000+00:00,True
pm_1Pm3bsFCPJnn9IgIhVJLZlZa,,visa,9J1hQsz4xylmBRK5,credit,,,,,,,,2024-08-14 01:44:05.817000+00:00,True
pm_1Pm3wuFCPJnn9IgIv7QWican,,visa,F3QuYK91pMQkoKHM,credit,,,,,,,,2024-08-14 01:44:05.817000+00:00,True
pm_1Pm45rFCPJnn9IgIpiaI3EkL,,discover,a9Df136umD3Uohku,credit,,,,,,,google_pay,2024-08-14 01:44:05.817000+00:00,True
pm_1Pm5SjFCPJnn9IgIbuepFeLq,,visa,xe3TmZmB1xC90gbp,credit,,,,,,,,2024-08-14 01:44:06.173000+00:00,True
pm_1PmGutFCPJnn9IgI3Gy6y3PN,,visa,s3UQqcFYl9qa2KSD,debit,,,,,,,,2024-08-14 01:44:08.252000+00:00,True
pm_1PmHC9FCPJnn9IgIyK4XrOZv,,visa,sEPxwirojEIDkwYu,credit,,,,,,,,2024-08-14 01:44:08.252000+00:00,True
pm_1PmNL3FCPJnn9IgItDrxthCc,,visa,PbrHl2ml7xO9stWB,credit,,,,,,,link,2024-08-14 01:44:09.666000+00:00,True
pm_1PmkUnFCPJnn9IgIj6vGC2kQ,,visa,xl9XSWetfGTMtn6A,credit,,,,,,,,2024-08-14 01:44:16.874000+00:00,True
pm_1PmmpGFCPJnn9IgI2x6qfTm7,,visa,yX6NpcpeKkq0gTe7,credit,,,,,,,link,2024-08-14 01:44:26.172000+00:00,True
pm_1Pn1WvFCPJnn9IgIr8WY17Vk,,amex,3WNcYGI3ER4iLR2U,credit,,,,,,,,2024-08-14 01:52:18.548000+00:00,True
pm_1Pn28ZFCPJnn9IgIXGSiExJH,,visa,lC3FqQzjYkFn2ctg,credit,,,,,,,,2024-08-14 01:52:16.916000+00:00,True
pm_1Pn307FCPJnn9IgIJgyUy8VL,,mastercard,0seDcKDE7ZUNr8OE,credit,,,,,,,link,2024-08-14 01:44:32.973000+00:00,True
pm_1Pn6gOFCPJnn9IgIFZLrrYAI,,visa,hAkfOXM4yKYyvYwa,credit,,,,,,,link,2024-08-14 01:44:33.617000+00:00,True
pm_1Pn6sUFCPJnn9IgI2EEvHfDj,,visa,5FsUc4oRtxAvdM5c,debit,,,,,,,,2024-08-14 01:44:33.617000+00:00,True
pm_1Pn7ETFCPJnn9IgIoyz3bAeT,,visa,kPFX73hof4oVhpTb,debit,,,,,,,,2024-08-14 01:36:11.179000+00:00,True
pm_1Pn7qCFCPJnn9IgIcxHhUWrW,,amex,eg0rfIyrlR2gCvbq,credit,,,,,,,link,2024-08-14 01:44:33.132000+00:00,True
pm_1PnAYEFCPJnn9IgIJ13919ag,,amex,alJvZ2L9KRztcGli,credit,,,,,,,,2024-08-14 01:44:35.892000+00:00,True
pm_1PnAYZFCPJnn9IgIxkk5Ccxo,,visa,zkojfikWzZDfKiNs,debit,,,,,,,,2024-08-14 01:36:14.378000+00:00,True
pm_1PnDPYFCPJnn9IgIzyNXVJhF,,visa,uxre9Q9hJ3rfGJCm,credit,,,,,,,,2024-08-14 01:44:34.467000+00:00,True
pm_1PnEfWFCPJnn9IgIENkOtVpU,,visa,vt2831HhiiHxmdBk,credit,,,,,,,link,2024-08-14 01:44:37.463000+00:00,True
pm_1PnEwRFCPJnn9IgIw2NHreh1,,mastercard,0rk6NXpLPzqpOb7T,debit,,,,,,,link,2024-08-14 01:52:24.526000+00:00,True
pm_1PnLYyFCPJnn9IgIeOSBqJ2Z,,visa,2OYvslOwuy48OBl9,credit,,,,,,,apple_pay,2024-08-14 01:44:38.749000+00:00,True
pm_1PnPHYFCPJnn9IgI8KWj2Dwb,,discover,9auAOJLAQixO8cIt,credit,,,,,,,link,2024-08-14 01:52:30.775000+00:00,True
pm_1PnRZ6FCPJnn9IgI1y74wqHe,,visa,5iKKfMbpQYABeAjv,credit,,,,,,,link,2024-08-14 01:44:41.500000+00:00,True
pm_1PnTh7FCPJnn9IgINHgckkil,,visa,O5A0DB2K2WtihdFd,credit,,,,,,,link,2024-08-14 01:44:41.450000+00:00,True
pm_1PnUJSFCPJnn9IgImIaUQExg,,visa,tKWqm2acz21Bdv7h,debit,,,,,,,link,2024-08-14 01:44:41.450000+00:00,True
pm_1PnUvgFCPJnn9IgIOp6CiXlH,,visa,RgCAKwtO8iuOD6Z3,debit,,,,,,,,2024-08-14 01:44:43.776000+00:00,True
src_1Pgd0IFCPJnn9IgIdNMgEvCX,,visa,5HtRv1CRYHiQuLuI,credit,,,,,,,,2024-08-14 01:40:53.957000+00:00,True
src_1PgyM8FCPJnn9IgIWHzOpIvU,,mastercard,nYwXOYEjKPbmdFEK,credit,,,,,,,,2024-08-14 01:41:01.240000+00:00,True
pm_1ODpcfFCPJnn9IgITfB2vLq3,,visa,QiJLS3Anx59CoCMi,debit,,,,,,,,2024-08-14 09:46:16.855000+00:00,True
pm_1ODpuqFCPJnn9IgI2zsSJcy5,,amex,9EYso6UBu5NsL6E7,credit,,,,,,,link,2024-08-14 09:46:16.855000+00:00,True
pm_1ODwjwFCPJnn9IgI2Uo9i5yQ,,visa,lHLNMb6AwmTZP0hO,credit,,,,,,,link,2024-08-14 09:46:19.271000+00:00,True
pm_1OE0m5FCPJnn9IgIEpWn5N7n,,visa,XiwZq4kD6ILFGgrN,credit,,,,,,,link,2024-08-14 09:46:13.248000+00:00,True
pm_1OEC9bFCPJnn9IgIMGZuqPg7,,visa,TIxt4tmAH3H6RRRh,debit,,,,,,,apple_pay,2024-08-14 09:46:07.792000+00:00,True
pm_1OEEnOFCPJnn9IgIuxJVnDly,,amex,PDyDBZ0lYStTg4fk,credit,,,,,,,apple_pay,2024-08-14 09:46:09.759000+00:00,True
pm_1OEFPiFCPJnn9IgIVTHmxGpW,,visa,uHxrDFlLu2pxAYYC,credit,,,,,,,link,2024-08-14 09:46:10.633000+00:00,True
pm_1OEMd8FCPJnn9IgIYMucRuKr,,visa,mZyScyWMQEZHxEIY,debit,,,,,,,,2024-08-14 09:46:05.207000+00:00,True
pm_1OEiCMFCPJnn9IgIWkC1Mz1B,,mastercard,Nxp6ACEj0f6AeFsV,debit,,,,,,,link,2024-08-14 09:46:01.023000+00:00,True
pm_1OEvOXFCPJnn9IgIE2lph6Tb,,visa,dgcHF70BGG5kQmPb,credit,,,,,,,,2024-08-14 09:45:59.102000+00:00,True
pm_1OEz4LFCPJnn9IgIWZlE97zp,,amex,5sOICSsljilBzXr3,credit,,,,,,,,2024-08-14 09:46:01.400000+00:00,True
pm_1OEzDnFCPJnn9IgI32tjM8QL,,visa,jSW0YTwbTnsAM07d,credit,,,,,,,,2024-08-14 09:46:01.400000+00:00,True
pm_1OF2IxFCPJnn9IgI4UhyAEJe,,visa,wCnwqC0GjhCFq52N,credit,,,,,,,link,2024-08-14 09:46:01.092000+00:00,True
pm_1OF36JFCPJnn9IgIl2aVDbgt,,mastercard,tgwmSPsrsTqhcHv3,debit,,,,,,,link,2024-08-14 09:46:01.092000+00:00,True
pm_1OF40XFCPJnn9IgIBMbdGKnC,,visa,I5TfAvzVtPYFc4Ac,debit,,,,,,,link,2024-08-14 09:45:56.969000+00:00,True
pm_1OFIplFCPJnn9IgIkvd4kylW,,visa,Im0ZrFxeSNluheTo,credit,,,,,,,link,2024-08-14 09:45:51.715000+00:00,True
pm_1OFLdQFCPJnn9IgIVlVVhSel,,discover,sGSFJO8WEeNwoJdN,credit,,,,,,,link,2024-08-14 09:45:51.974000+00:00,True
pm_1OFNhcFCPJnn9IgITf0CCkgc,,visa,nZbxraSZ4NkWtMyP,debit,,,,,,,,2024-08-14 09:45:52.515000+00:00,True
pm_1OFPudFCPJnn9IgIKipxqQN9,,mastercard,JnuxyEb60GnnRsL5,credit,,,,,,,link,2024-08-14 09:45:52.514000+00:00,True
pm_1OFSYOFCPJnn9IgI52cvi6uX,,visa,FA8mzvKpogQaHVxC,credit,,,,,,,,2024-08-14 09:45:47.785000+00:00,True
pm_1OFhlLFCPJnn9IgIT4XnArXR,,visa,ifbdUyl6d6E8P11Y,debit,,,,,,,apple_pay,2024-08-14 09:45:46.748000+00:00,True
pm_1OFjCuFCPJnn9IgIBPL7Zcjy,,visa,1wASd3nziyQGdqAo,debit,,,,,,,,2024-08-14 09:45:46.748000+00:00,True
pm_1OFoU6FCPJnn9IgIbBnj9goh,,visa,SLfprlHf1Cv9gtci,credit,,,,,,,,2024-08-14 09:45:36.008000+00:00,True
pm_1OFplTFCPJnn9IgIB8gQ2qSc,,mastercard,bC0OAJ6vryTvcjUq,credit,,,,,,,,2024-08-14 09:45:36.379000+00:00,True
pm_1OFrD8FCPJnn9IgIbT4EbDFS,,visa,fiYQWWfcl4DJ3UZm,credit,,,,,,,,2024-08-14 09:45:36.378000+00:00,True
pm_1OFrqDFCPJnn9IgIIgRZ87al,,visa,oOB2cbrJyj7FtTRI,credit,,,,,,,,2024-08-14 09:45:36.378000+00:00,True
pm_1OFrsIFCPJnn9IgIW08K3lWL,,visa,oOB2cbrJyj7FtTRI,credit,,,,,,,,2024-08-14 09:45:36.378000+00:00,True
pm_1OFzS0FCPJnn9IgIiPSb9kUU,,mastercard,0GOdbXS5FftvwYXW,credit,,,,,,,,2024-08-14 09:45:36.584000+00:00,True
pm_1OFzcMFCPJnn9IgIhAJnnEOm,,visa,sRGSBXzIxnGlmFPl,debit,,,,,,,,2024-08-14 09:45:36.584000+00:00,True
pm_1OFzvPFCPJnn9IgITOO1crEw,,amex,Nv7HrokzBMotiKqi,credit,,,,,,,link,2024-08-14 09:45:36.583000+00:00,True
pm_1OG0MNFCPJnn9IgIcdeBV5aV,,discover,zzxWqym3oEawFbpL,credit,,,,,,,,2024-08-14 09:45:42.010000+00:00,True
pm_1OG0W4FCPJnn9IgIAEAYRhiY,,visa,E4bia8nYVnc6IFNj,credit,,,,,,,,2024-08-14 09:45:36.583000+00:00,True
pm_1OG0hXFCPJnn9IgI3nPWmHBo,,visa,E3xElBMZEstTq1aS,debit,,,,,,,,2024-08-14 09:45:36.583000+00:00,True
pm_1OG195FCPJnn9IgI5ak3xDsh,,amex,FMYRFrs8XJH3ZAKs,credit,,,,,,,apple_pay,2024-08-14 09:45:38.556000+00:00,True
pm_1OG1cjFCPJnn9IgIOZXcG4bD,,visa,E4dwMbBYYRoVC9E2,debit,,,,,,,apple_pay,2024-08-14 09:45:38.556000+00:00,True
pm_1OG1ddFCPJnn9IgIyDC6ixXu,,visa,uGTxuJbSOdfTrVd6,credit,,,,,,,,2024-08-14 09:45:38.556000+00:00,True
pm_1OG1giFCPJnn9IgIKSdXSIPt,,mastercard,vDB1nI0bqlD83u3d,debit,,,,,,,,2024-08-14 09:45:38.556000+00:00,True
