subscription_id,id,amount,currency,description,discountable,livemode,metadata,period_start,period_end,proration,quantity,type,price_id,plan_id,customer_id,subscription_item_id,_fivetran_synced,invoice_item_id
sub_1NcVZ4FCPJnn9IgIiUZEhStP,il_tmp_1e8829FCPJnn9IgI89ccfbd1,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-08-30 00:00:00+00:00,2026-08-30 00:00:00+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_OPKDON7kgPc0qv,2024-08-31 00:03:18.891000+00:00,
sub_1LW5A8FCPJnn9IgIDqZySZqg,il_tmp_13867bFCPJnn9IgI751ad0f2,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-01 21:13:00+00:00,2026-09-01 21:13:00+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_MEYGzH3FL40tlG,2024-09-02 00:19:09.671000+00:00,
sub_1Pu8g9FCPJnn9IgIQF3geifK,il_tmp_15656fFCPJnn9IgIee6e2152,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-01 07:58:33+00:00,2026-09-01 07:58:33+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_Qlg2I6Zq7oIic7,2024-09-02 00:25:00.523000+00:00,
sub_1LWQO4FCPJnn9IgIdMl8VN27,il_tmp_142518FCPJnn9IgIf87087ec,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-02 19:52:48+00:00,2026-09-02 19:52:48+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_MEuCOqp9Vq2l1D,2024-09-03 00:07:10.741000+00:00,
sub_1PuiWlFCPJnn9IgIYvs254lm,il_tmp_15ee17FCPJnn9IgI691c26d3,21999,cad,1 × Subscription (Annual) (Tier 1 at $219.99 / year),True,True,{},2025-09-02 22:15:15+00:00,2026-09-02 22:15:15+00:00,False,1,subscription,price_1PMfDyFCPJnn9IgIY1onr2tn,price_1PMfDyFCPJnn9IgIY1onr2tn,,si_QmH4Io4plD1bpx,2024-09-03 00:10:42.415000+00:00,
sub_1Ndb7yFCPJnn9IgIhE0Yv2fO,il_tmp_1f64e2FCPJnn9IgI6725ac5b,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-03 00:00:00+00:00,2026-09-03 00:00:00+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_OQS2eDgDXssUSU,2024-09-04 00:02:51.423000+00:00,
sub_1NcoACFCPJnn9IgIY5vld06F,il_tmp_128f5bFCPJnn9IgI29ec94f4,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-03 00:00:00+00:00,2026-09-03 00:00:00+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_OPdRpHcd4Wrc32,2024-09-04 00:02:47.047000+00:00,
sub_1NcbZHFCPJnn9IgIsM0cyTIP,il_tmp_195e39FCPJnn9IgI91486e66,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-03 00:00:00+00:00,2026-09-03 00:00:00+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_OPQQKVnBtWkuRu,2024-09-04 00:02:41.582000+00:00,
sub_1LWhfQFCPJnn9IgILVumcUsM,il_tmp_138d79FCPJnn9IgI9561c015,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-03 14:19:52+00:00,2026-09-03 14:19:52+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_MFC3j09wNnyV0f,2024-09-04 00:05:13.572000+00:00,
sub_1PvSERFCPJnn9IgIFfgArSUB,il_tmp_196440FCPJnn9IgIc6dac012,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-04 23:03:23+00:00,2026-09-04 23:03:23+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_Qn2JaqIpVJz1MD,2024-09-05 00:14:44.362000+00:00,
sub_1Pv7wZFCPJnn9IgIvZ5pKEXb,il_tmp_100b25FCPJnn9IgI9ace15e7,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-04 01:23:35+00:00,2026-09-04 01:23:35+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_QmhLxiXRgyT4AM,2024-09-05 00:14:30.260000+00:00,
sub_1Pv99LFCPJnn9IgIAqcvlnyt,il_tmp_13d061FCPJnn9IgI2cb963f0,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-04 02:40:51+00:00,2026-09-04 02:40:51+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_QmiaYKpXw4zej7,2024-09-05 00:14:23.561000+00:00,
sub_1NdI22FCPJnn9IgITQK3bEg0,il_tmp_1e1798FCPJnn9IgIa025449e,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-05 00:00:00+00:00,2026-09-05 00:00:00+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_OQ8I9ZovAeT279,2024-09-06 00:02:46.263000+00:00,
sub_1LXWIFFCPJnn9IgIJWmtpTvV,il_tmp_15ec07FCPJnn9IgI850a1226,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-05 20:23:19+00:00,2026-09-05 20:23:19+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_MG2MTuACoXfGD7,2024-09-06 00:07:41.451000+00:00,
sub_1LXZ86FCPJnn9IgI00UJ6hiH,il_tmp_129fcdFCPJnn9IgIdfe00378,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-05 23:25:02+00:00,2026-09-05 23:25:02+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_MG5IPG7P4r62M4,2024-09-06 00:08:51.993000+00:00,
sub_1NaJgyFCPJnn9IgIXKAJBhEm,il_tmp_1c3da8FCPJnn9IgI4988159b,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-08-21 14:36:56+00:00,2026-08-21 14:36:56+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_ON3oi9U6KgSgOo,2024-08-28 00:06:57.955000+00:00,
sub_1Pt9GQFCPJnn9IgIPDJRVxvv,il_tmp_195d09FCPJnn9IgI318d7ecc,21999,cad,1 × Subscription (Annual) (Tier 1 at $219.99 / year),True,True,{},2025-08-29 14:23:54+00:00,2026-08-29 14:23:54+00:00,False,1,subscription,price_1PMfDyFCPJnn9IgIY1onr2tn,price_1PMfDyFCPJnn9IgIY1onr2tn,,si_QkeZWemUA5bmpT,2024-08-30 00:12:31.114000+00:00,
sub_1PtW0wFCPJnn9IgIBgEBqrWt,il_tmp_1b80b1FCPJnn9IgI19b7d756,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-08-30 14:41:26+00:00,2026-08-30 14:41:26+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_Ql25jR3tr5uVMJ,2024-08-31 00:13:03.220000+00:00,
sub_1PuNASFCPJnn9IgIK5Xhhzgn,il_tmp_194ce0FCPJnn9IgIc5839fc1,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-01 23:26:48+00:00,2026-09-01 23:26:48+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_Qlv02FRXt2D1Gi,2024-09-02 00:25:06.221000+00:00,
sub_1LWPqAFCPJnn9IgIWaEGOXfP,il_tmp_1ea213FCPJnn9IgIa3ed75d2,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-02 19:17:46+00:00,2026-09-02 19:17:46+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_MEtdeJtrDrxnGR,2024-09-03 00:06:56.355000+00:00,
sub_1LWVlmFCPJnn9IgIkFKpU0dV,il_tmp_14ee70FCPJnn9IgI6e588bc5,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-03 01:37:38+00:00,2026-09-03 01:37:38+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_MEzlO3S6faJ1zZ,2024-09-04 00:03:32.202000+00:00,
sub_1PuwsxFCPJnn9IgIr5XJ1CZa,il_tmp_12adc1FCPJnn9IgIf33485ce,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-03 13:35:07+00:00,2026-09-03 13:35:07+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_QmVu85a2PrdTyR,2024-09-04 00:10:53.382000+00:00,
sub_1LWiblFCPJnn9IgIYMOXaYaM,il_tmp_170491FCPJnn9IgI5dd4c7e3,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-03 15:20:09+00:00,2026-09-03 15:20:09+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_MFD1NCl5U7OtvA,2024-09-04 00:05:28.855000+00:00,
sub_1NdhbQFCPJnn9IgIDL2SEclP,il_tmp_167f39FCPJnn9IgIe471324e,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-03 00:00:00+00:00,2026-09-03 00:00:00+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_OQYi65ZdI1ZRc6,2024-09-04 00:02:43.524000+00:00,
sub_1Pv2UkFCPJnn9IgIgi9AuMi7,il_tmp_10c6c2FCPJnn9IgI53d40e1b,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-03 19:34:30+00:00,2026-09-03 19:34:30+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_QmbiPa5AhFW0Hj,2024-09-04 00:10:59.036000+00:00,
sub_1Nm8QAFCPJnn9IgIoGDDUZPB,il_tmp_13f431FCPJnn9IgI2f55265c,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-03 05:00:00+00:00,2026-09-03 05:00:00+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_OZGyLb7pnGdtKu,2024-09-04 00:04:29.300000+00:00,
sub_1NddRnFCPJnn9IgI1qzuginD,il_tmp_13b46cFCPJnn9IgIe360f07d,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-03 00:00:00+00:00,2026-09-03 00:00:00+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_OQUQOa5KYTiy2W,2024-09-04 00:02:40.744000+00:00,
sub_1LWi1uFCPJnn9IgIBZLu12st,il_tmp_163b21FCPJnn9IgI8aa20aa0,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-03 14:43:06+00:00,2026-09-03 14:43:06+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_MFCQ5HiHFfg9t9,2024-09-05 00:07:48.940000+00:00,
sub_1NfYzcFCPJnn9IgIreJr5pzU,il_tmp_1a2953FCPJnn9IgI82005015,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-05 00:00:00+00:00,2026-09-05 00:00:00+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_OSTxTawkmhF3gQ,2024-09-06 00:02:40.663000+00:00,
sub_1NfZ1ZFCPJnn9IgIPEqj3mqb,il_tmp_1a1a65FCPJnn9IgI4c5cecc9,5499,usd,1 × Subscription (Annual) (Tier 2 at $54.99 / year),True,True,{},2025-09-05 00:00:00+00:00,2026-09-05 00:00:00+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_OSTzwj7qYIy6lN,2024-09-06 00:03:01.982000+00:00,
sub_1NdLBtFCPJnn9IgIARZeHnqG,il_tmp_18fec9FCPJnn9IgI83617531,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-05 00:00:00+00:00,2026-09-05 00:00:00+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_OQBZufDriwocUm,2024-09-06 00:03:02.293000+00:00,
sub_1NfZ1ZFCPJnn9IgIPEqj3mqb,il_tmp_17c470FCPJnn9IgI3c0161fc,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-05 00:00:00+00:00,2026-09-05 00:00:00+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_OSTzwj7qYIy6lN,2024-09-06 00:03:01.982000+00:00,
sub_1PvpJmFCPJnn9IgIskXFrGMf,il_tmp_10f196FCPJnn9IgI5a092239,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-05 23:42:26+00:00,2026-09-05 23:42:26+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_QnQANdWS6fr6Vs,2024-09-06 00:11:46.534000+00:00,
sub_1Ng5NGFCPJnn9IgINRTr6WpN,il_tmp_17410fFCPJnn9IgI20c01b6e,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-06 12:32:26+00:00,2026-09-06 12:32:26+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_OT1QePNCC1rWvM,2024-09-07 00:06:34.789000+00:00,
sub_1LXszEFCPJnn9IgIGN1P57Ud,il_tmp_10ead7FCPJnn9IgI470b4807,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-06 20:37:12+00:00,2026-09-06 20:37:12+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_MGPoPZUOTA8Pkq,2024-09-07 00:09:07.874000+00:00,
sub_1NeNxhFCPJnn9IgIObgPE3Ea,il_tmp_1d6f89FCPJnn9IgIc33957a6,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-06 00:00:00+00:00,2026-09-06 00:00:00+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_ORGURkdGJlntxb,2024-09-07 00:03:02.880000+00:00,
sub_1NemOMFCPJnn9IgICfZo1kbm,il_tmp_12889aFCPJnn9IgI75392498,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-06 00:00:00+00:00,2026-09-06 00:00:00+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_ORfjcuv6QANOu3,2024-09-07 00:02:48.471000+00:00,
sub_1LYH5TFCPJnn9IgI5JPaCvIL,il_tmp_1a959aFCPJnn9IgIe1af2846,5499,usd,1 × Subscription (Annual) (Tier 2 at $54.99 / year),True,True,{},2025-09-07 22:21:15+00:00,2026-09-07 22:21:15+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_MGoi2aka2dwBID,2024-09-08 00:07:53.026000+00:00,
sub_1NnPzXFCPJnn9IgIUbNzPB8x,il_tmp_10b4a3FCPJnn9IgIf4ddefe7,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-06 17:58:15+00:00,2026-09-06 17:58:15+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_OabB4yCtqNWDUt,2024-09-08 00:06:27.372000+00:00,
sub_1LYH5TFCPJnn9IgI5JPaCvIL,il_tmp_109684FCPJnn9IgI68688bfc,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-07 22:21:15+00:00,2026-09-07 22:21:15+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_MGoi2aka2dwBID,2024-09-08 00:07:53.026000+00:00,
sub_1LY9f8FCPJnn9IgI0FdASUuQ,il_tmp_165579FCPJnn9IgIbd037e64,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-07 14:25:34+00:00,2026-09-07 14:25:34+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_MGh3WwA7Zeugfq,2024-09-08 00:04:56.832000+00:00,
sub_1PwnLmFCPJnn9IgIEsSyKMdk,il_tmp_1a7fbeFCPJnn9IgIb64f08fc,21999,cad,1 × Subscription (Annual) (Tier 1 at $219.99 / year),True,True,{},2025-09-08 15:48:30+00:00,2026-09-08 15:48:30+00:00,False,1,subscription,price_1PMfDyFCPJnn9IgIY1onr2tn,price_1PMfDyFCPJnn9IgIY1onr2tn,,si_QoQCCDXO7cYeCa,2024-09-09 00:09:14.932000+00:00,
sub_1Nfm8bFCPJnn9IgIbe3DPpDv,il_tmp_179337FCPJnn9IgIcf1dba7b,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-09 00:00:00+00:00,2026-09-09 00:00:00+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_OShX6n4R5fMTgX,2024-09-10 00:02:44.355000+00:00,
sub_1Ngq7VFCPJnn9IgIArha4aLp,il_tmp_1b74b7FCPJnn9IgIa08e80d0,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-09 00:00:00+00:00,2026-09-09 00:00:00+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_OTniN4PS2Pa90v,2024-09-10 00:02:48.632000+00:00,
sub_1NhJiWFCPJnn9IgI45lv729u,il_tmp_152a28FCPJnn9IgI3b3d8b6d,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-09 22:03:28+00:00,2026-09-09 22:03:28+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_OUIJTGfYMrCFP3,2024-09-10 00:07:29.938000+00:00,
sub_1NhNYyFCPJnn9IgIPTpBu9Di,il_tmp_1c1762FCPJnn9IgI6888331c,5499,usd,1 × Subscription (Annual) (Tier 2 at $54.99 / year),True,True,{},2025-09-10 02:09:52+00:00,2026-09-10 02:09:52+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_OUMHLkvFd1P9n4,2024-09-11 00:03:54.180000+00:00,
sub_1NhNYyFCPJnn9IgIPTpBu9Di,il_tmp_1d97c3FCPJnn9IgI20871dbc,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-10 02:09:52+00:00,2026-09-10 02:09:52+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_OUMHLkvFd1P9n4,2024-09-11 00:03:54.180000+00:00,
sub_1LZFwNFCPJnn9IgItvSoifCp,il_tmp_1f5bebFCPJnn9IgI4f04d8b9,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-10 15:19:55+00:00,2026-09-10 15:19:55+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_MHpbj9TfinhfkV,2024-09-11 00:05:45.367000+00:00,
sub_1LZFwNFCPJnn9IgItvSoifCp,il_tmp_1b9600FCPJnn9IgIfa0d89a7,5499,usd,1 × Subscription (Annual) (Tier 2 at $54.99 / year),True,True,{},2025-09-10 15:19:55+00:00,2026-09-10 15:19:55+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_MHpbj9TfinhfkV,2024-09-11 00:05:45.367000+00:00,
sub_1PxJ00FCPJnn9IgIA9XeCbBc,il_tmp_1c9f0eFCPJnn9IgI8481efdd,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-10 01:36:08+00:00,2026-09-10 01:36:08+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_QowtmGQi2zJklz,2024-09-11 00:11:25.615000+00:00,
sub_1LZJy2FCPJnn9IgImMgKqzb3,il_tmp_148ba3FCPJnn9IgI1b03845e,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-09-10 19:37:54+00:00,2026-09-10 19:37:54+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_MHtlLEuYNzynbC,2024-09-11 00:07:26.986000+00:00,
