amazon_order_id,method,_fivetran_synced
112-8626152-4664203,Standard,2023-05-10 17:24:52.639000+00:00
112-1991147-4303449,Standard,2023-05-10 17:27:12.073000+00:00
111-3375134-1185813,Standard,2023-05-10 17:24:51.662000+00:00
111-0685776-8091447,Standard,2023-05-10 17:26:09.876000+00:00
112-0185268-4376227,Standard,2023-05-10 17:26:10.091000+00:00
111-4901551-5402652,Standard,2023-05-10 17:28:49.131000+00:00
114-3864214-2641843,Standard,2023-05-10 17:24:54.418000+00:00
113-0501324-4734625,Standard,2023-05-10 17:24:51.980000+00:00
112-7754569-8002636,Standard,2023-05-10 17:24:53.583000+00:00
114-0626304-1359458,Standard,2023-05-10 17:30:05.553000+00:00
114-9558065-6421816,Standard,2023-05-10 17:27:37.591000+00:00
111-1193085-0153800,Standard,2023-05-10 17:28:49.508000+00:00
113-4231403-0505033,Standard,2023-05-10 17:26:41.718000+00:00
114-3463493-5581011,Standard,2023-05-10 17:26:09.987000+00:00
114-1652649-8812205,Standard,2023-05-10 17:28:48.656000+00:00
114-1210903-6590651,Standard,2023-05-10 17:30:05.645000+00:00
113-5977018-7699465,Standard,2023-05-10 17:26:07.723000+00:00
114-7731085-6355427,Standard,2023-05-10 17:29:32.601000+00:00
112-2848196-9894642,Standard,2023-05-10 17:26:40.489000+00:00
114-9215266-0453839,Standard,2023-05-11 08:32:26.718000+00:00
114-0199490-8574639,Standard,2023-05-17 02:30:22.945000+00:00
112-7304023-5909027,Standard,2023-05-22 14:29:48.197000+00:00
113-2573014-0153008,Standard,2023-05-24 02:30:46.692000+00:00
113-5036078-4344265,Standard,2023-05-27 08:32:31.202000+00:00
111-4465208-0586643,Standard,2023-05-30 14:32:33.169000+00:00
112-4082388-5718609,Standard,2023-06-04 02:31:18.785000+00:00
114-6494819-2508240,Standard,2023-06-10 08:31:09.405000+00:00
113-6804246-3836243,Standard,2023-06-17 14:31:08.269000+00:00
111-5330321-4245867,Standard,2023-06-22 08:33:43.661000+00:00
111-0485046-0478633,Standard,2023-06-28 02:30:32.536000+00:00
113-5333097-1165039,Standard,2023-07-06 18:32:53.350000+00:00
113-1694024-5677803,Standard,2023-07-11 20:32:02.614000+00:00
112-0021958-6075475,Standard,2023-07-12 02:33:21.637000+00:00
114-7547905-5751435,Standard,2023-07-12 08:33:43.189000+00:00
111-5458541-8843444,Standard,2023-07-12 14:07:59.322000+00:00
111-3153453-2241010,Standard,2023-07-13 08:33:29.305000+00:00
111-8763596-9681026,Standard,2023-07-13 08:33:19.528000+00:00
112-3067596-0605033,Standard,2023-07-13 14:32:41.598000+00:00
112-0626081-8708237,Standard,2023-07-13 20:32:30.938000+00:00
111-3648308-5148242,Standard,2023-07-14 02:33:27.734000+00:00
113-7252150-1466650,Standard,2023-07-14 08:32:26.241000+00:00
113-8465550-7791432,Standard,2023-07-15 02:31:46.104000+00:00
112-3525155-2471424,Standard,2023-07-15 08:33:38.346000+00:00
114-2964626-6325824,Standard,2023-07-15 20:33:06.122000+00:00
113-6747683-4961004,Standard,2023-07-16 08:33:21.369000+00:00
114-7204938-5461067,Standard,2023-07-16 20:33:46.994000+00:00
112-8502559-9341824,Standard,2023-07-22 02:33:33.281000+00:00
113-9238801-0995454,Standard,2023-07-25 02:34:33.896000+00:00
113-7118115-5747425,Standard,2023-07-27 02:31:55.091000+00:00
111-4259918-5641034,Standard,2023-07-29 20:32:13.411000+00:00
111-7026290-9581058,Standard,2023-08-01 20:31:47.794000+00:00
114-4181484-9372228,Standard,2023-08-11 14:31:48.642000+00:00
114-1921293-9433059,Standard,2023-08-15 20:31:35.856000+00:00
114-2207523-5534624,Standard,2023-08-17 02:34:03.887000+00:00
113-9088567-5365861,Standard,2023-08-23 02:33:10.418000+00:00
111-3924876-3896257,Standard,2023-08-26 14:31:48.597000+00:00
111-0454214-1612215,Standard,2023-08-30 20:31:42.153000+00:00
111-1697056-9930648,Standard,2023-09-01 20:31:34.519000+00:00
111-8222323-1676258,Standard,2023-09-05 20:31:33.946000+00:00
113-6088851-5091419,Standard,2023-09-07 02:31:41.626000+00:00
113-1785394-8365010,Standard,2023-09-13 08:31:40.343000+00:00
113-3080958-7006655,Standard,2023-09-14 02:31:38.365000+00:00
113-4935563-7097808,Standard,2023-09-14 08:31:46.293000+00:00
114-9837868-8137001,Standard,2023-09-18 02:31:32.543000+00:00
114-3111831-5737854,Standard,2023-09-21 20:31:32.711000+00:00
113-4106713-1769815,Standard,2023-09-22 14:31:32.428000+00:00
112-8320965-0809057,Standard,2023-09-24 08:31:33.836000+00:00
112-2079371-9833061,Standard,2023-09-25 02:31:32.136000+00:00
113-5698210-9841051,Standard,2023-09-27 02:31:37.073000+00:00
114-9233729-8929854,Standard,2023-09-29 14:31:29.552000+00:00
111-4238661-0897826,Standard,2023-10-02 20:31:35.949000+00:00
112-7291846-3627465,Standard,2023-10-11 02:31:32.311000+00:00
113-1613913-7165040,Standard,2023-10-13 14:31:35.560000+00:00
112-9178014-6208232,Standard,2023-10-17 20:31:31.122000+00:00
112-3619242-7733024,Standard,2023-10-18 14:31:33.805000+00:00
112-9006997-5533048,Standard,2023-10-18 20:31:38.915000+00:00
111-2258301-8023407,Standard,2023-10-19 02:31:31.726000+00:00
114-6696952-8216220,Standard,2023-10-20 14:31:33.285000+00:00
112-9259473-8809004,Standard,2023-10-21 02:31:35.892000+00:00
111-2579748-7773862,Standard,2023-10-23 20:31:33.268000+00:00
112-9061287-4433000,Standard,2023-10-27 14:31:32.239000+00:00
112-9756208-9117835,Standard,2023-10-29 14:31:30.220000+00:00
111-0265355-5916251,Standard,2023-10-30 20:31:32.724000+00:00
113-4063282-0164222,Standard,2023-11-06 20:32:35.327000+00:00
111-3774217-4710627,Standard,2023-11-08 08:32:33.960000+00:00
114-3475010-9870631,Standard,2023-11-08 14:32:33.788000+00:00
112-0671338-5145001,Standard,2023-11-09 08:32:35.132000+00:00
112-5444635-0287438,Standard,2023-11-10 02:32:34.658000+00:00
111-9338185-8610634,Standard,2023-11-29 14:32:34.505000+00:00
112-2141337-2424231,Standard,2023-11-29 20:32:37.096000+00:00
114-8018233-3523441,Standard,2023-12-08 00:04:48.117000+00:00
112-2881364-8175468,Standard,2023-12-08 14:32:36.755000+00:00
112-9646832-6617036,Standard,2023-12-09 08:32:40.684000+00:00
113-0897622-8478668,Standard,2023-12-10 00:04:45.825000+00:00
114-6420399-1477037,Standard,2023-12-14 00:04:59.571000+00:00
112-0641928-5299412,Standard,2023-12-21 00:05:03.051000+00:00
111-9148684-0754604,Standard,2023-12-22 20:32:35.712000+00:00
112-5984883-3756243,Standard,2023-12-23 14:32:32.187000+00:00
111-2213677-1012263,Standard,2023-12-23 20:32:28.832000+00:00
113-2688056-3361057,Standard,2024-01-12 00:05:11.004000+00:00
111-4386091-6109036,Standard,2024-02-05 08:33:43.329000+00:00
111-1875677-5953801,Standard,2024-02-09 00:06:05.502000+00:00
114-5425596-0825008,Standard,2024-03-07 20:33:53.423000+00:00
111-6409284-7546600,Standard,2024-03-12 14:33:34.021000+00:00
113-0867036-9821014,Standard,2024-03-14 20:33:52.074000+00:00
111-3330804-0668220,Standard,2024-04-01 20:35:48.201000+00:00
114-9125206-8249057,Standard,2024-04-10 00:08:55.473000+00:00
114-2944188-4217856,Standard,2024-04-10 00:08:51.485000+00:00
113-8135873-3965039,Standard,2024-04-12 00:08:11.050000+00:00
113-8448325-1105832,Standard,2023-05-10 17:26:07.297000+00:00
112-1362905-5441869,Standard,2023-05-10 17:27:15.336000+00:00
112-6021407-0598658,Standard,2023-05-10 17:29:33.209000+00:00
113-2949947-0802640,Standard,2023-05-10 17:24:55.677000+00:00
113-1623125-9785848,Standard,2023-05-10 17:28:51.501000+00:00
111-5803858-9603463,Standard,2023-05-10 17:24:54.110000+00:00
114-7149401-0674633,Standard,2023-05-10 17:29:34.194000+00:00
112-0660104-1597844,Standard,2023-05-10 17:27:36.860000+00:00
111-4976854-7634633,Standard,2023-05-10 17:29:32.985000+00:00
114-5867159-7693853,Standard,2023-05-10 17:28:50.398000+00:00
112-6125560-9989037,Standard,2023-05-10 17:24:54.820000+00:00
114-4757228-8440247,Standard,2023-05-10 17:28:51.285000+00:00
114-7047745-8952224,Standard,2023-05-10 17:29:32.794000+00:00
113-6296081-5665042,Standard,2023-05-10 17:26:08.559000+00:00
111-1948339-1383406,Standard,2023-05-10 17:24:55.020000+00:00
113-7497311-0338628,Standard,2023-05-10 17:26:08.143000+00:00
112-6414628-6124261,Standard,2023-05-10 17:27:37.271000+00:00
114-5970131-2829822,Standard,2023-05-10 17:26:09.590000+00:00
112-8945428-4151406,Standard,2023-05-10 17:27:37.791000+00:00
111-1875421-5983438,Standard,2023-05-10 17:24:53.901000+00:00
111-2069963-6052241,Standard,2023-05-10 17:26:40.825000+00:00
113-7196233-1626650,Standard,2023-05-10 17:24:53.370000+00:00
112-8114800-4756235,Standard,2023-05-10 17:27:37.181000+00:00
111-0478116-5609047,Standard,2023-05-10 17:27:36.668000+00:00
114-7654277-0421016,Standard,2023-05-10 17:26:08.438000+00:00
111-0007703-5585850,Standard,2023-05-12 20:32:04.820000+00:00
114-0532205-4717046,Standard,2023-05-24 20:29:48.399000+00:00
112-2287312-3365838,Standard,2023-05-28 20:32:32.659000+00:00
113-2793495-5919449,Standard,2023-06-02 02:30:28.851000+00:00
111-9644374-3037834,Standard,2023-06-05 14:30:55.394000+00:00
111-4407769-6091466,Standard,2023-06-08 20:30:58.513000+00:00
114-2861204-8072240,Standard,2023-06-16 14:30:41.054000+00:00
114-8698331-4570661,Standard,2023-06-18 14:30:33.849000+00:00
113-1492150-8122631,Standard,2023-06-24 08:31:32.714000+00:00
113-8968347-9696214,Standard,2023-05-10 17:29:34.092000+00:00
113-5646364-5685062,Standard,2023-05-10 17:26:06.777000+00:00
113-2077005-8822634,Standard,2023-05-10 17:30:04.682000+00:00
112-6897338-7777057,Standard,2023-05-10 17:24:53.168000+00:00
113-5259125-7993061,Standard,2023-05-10 17:29:33.795000+00:00
114-9162420-8452240,Standard,2023-05-10 17:29:01.700000+00:00
112-5362241-5002645,Standard,2023-05-10 17:26:41.022000+00:00
114-5577597-6093045,Standard,2023-05-10 17:24:55.453000+00:00
111-3043043-5233810,Standard,2023-05-10 17:24:52.433000+00:00
111-2285982-9390654,Standard,2023-05-10 17:28:50.784000+00:00
114-8188041-2760259,Standard,2023-05-10 17:28:49.226000+00:00
111-9434976-7014657,Standard,2023-05-10 17:26:08.031000+00:00
112-7412543-0347456,Standard,2023-05-10 17:24:54.524000+00:00
113-6524270-6042657,Standard,2023-05-10 17:26:07.930000+00:00
114-5739112-4723462,Standard,2023-05-10 17:24:51.330000+00:00
111-9088984-5512253,Standard,2023-05-10 17:27:15.145000+00:00
111-6976473-7218655,Standard,2023-05-10 17:24:52.294000+00:00
112-2883805-3768267,Standard,2023-05-10 17:26:07.402000+00:00
114-6558920-0793809,Standard,2023-05-10 17:24:51.432000+00:00
113-2329245-8918639,Standard,2023-05-10 17:29:34.390000+00:00
112-8962182-3865034,Standard,2023-05-10 17:24:55.780000+00:00
114-7884504-6555417,Standard,2023-05-10 17:26:09.782000+00:00
114-6678476-2757860,Standard,2023-05-10 17:26:40.934000+00:00
113-7693588-1574640,Standard,2023-05-10 17:28:48.563000+00:00
111-4516429-6857001,Standard,2023-05-10 17:26:08.767000+00:00
112-1649631-0122661,Standard,2023-05-14 20:30:24.556000+00:00
111-1519246-1276229,Standard,2023-05-17 08:30:29.276000+00:00
113-6985546-4656247,Standard,2023-05-22 20:30:46.536000+00:00
114-3802791-8690625,Standard,2023-05-24 14:31:13.243000+00:00
111-6280122-9117821,Standard,2023-05-29 08:30:22.835000+00:00
114-5470503-2468215,Standard,2023-05-31 14:31:22.687000+00:00
112-9088986-7825012,Standard,2023-06-07 20:35:43.802000+00:00
113-4002332-6113057,Standard,2023-06-10 20:30:02.012000+00:00
111-7308309-6441021,Standard,2023-06-18 08:30:51.626000+00:00
113-9307903-6097814,Standard,2023-06-24 02:31:17.840000+00:00
112-4172046-2797842,Standard,2023-06-28 08:31:46.600000+00:00
113-1858875-8303408,Standard,2023-07-01 08:32:13.419000+00:00
114-1539883-1425049,Standard,2023-07-02 02:30:04.149000+00:00
114-9017794-0018638,Standard,2023-07-10 20:34:50.023000+00:00
114-4820304-0094642,Standard,2023-07-11 14:32:25.318000+00:00
114-4279307-4665008,Standard,2023-07-11 20:32:04.179000+00:00
114-9318535-5146648,Standard,2023-07-12 02:33:43.372000+00:00
111-8663819-5382612,Standard,2023-07-12 20:33:39.274000+00:00
112-8258742-8207460,Standard,2023-07-12 20:33:13.333000+00:00
113-1420527-6086661,Standard,2023-07-13 08:33:25.310000+00:00
114-7807675-6988260,Standard,2023-07-13 20:32:32.943000+00:00
114-6257563-6497854,Standard,2023-07-14 08:32:22.244000+00:00
114-6614509-4939465,Standard,2023-07-14 08:32:20.451000+00:00
114-7189448-6437045,Standard,2023-07-16 08:33:23.129000+00:00
111-5257883-7391431,Standard,2023-07-17 08:32:25.840000+00:00
112-6619680-5181863,Standard,2023-07-17 14:34:17.048000+00:00
112-9229263-4994629,Standard,2023-07-18 14:34:01.224000+00:00
113-9477098-5832238,Standard,2023-07-21 14:33:15.505000+00:00
111-9535366-8189023,Standard,2023-07-22 14:33:40.104000+00:00
114-7698919-7991445,Standard,2023-07-24 14:32:55.324000+00:00
113-1139349-1400252,Standard,2023-07-31 20:31:38.883000+00:00
112-2423222-3301065,Standard,2023-08-01 20:31:46.097000+00:00
113-2803545-3610607,Standard,2023-08-02 02:31:30.522000+00:00
111-5957742-4050611,Standard,2023-08-02 08:31:37.419000+00:00
113-0076278-4431468,Standard,2023-08-04 08:31:33.254000+00:00
113-5685357-9141036,Standard,2023-08-06 20:31:51.299000+00:00
111-8076902-2685829,Standard,2023-08-09 02:31:30.805000+00:00
111-0159541-4245046,Standard,2023-08-10 02:31:31.569000+00:00
114-7027865-0414617,Standard,2023-08-11 02:31:34.796000+00:00
112-6401922-3728219,Standard,2023-08-15 20:31:35.755000+00:00
113-0640146-5621052,Standard,2023-08-17 02:34:02.122000+00:00
113-0500771-7891411,Standard,2023-08-17 14:31:40.340000+00:00
111-2989889-4376225,Standard,2023-08-19 08:31:26.943000+00:00
114-8672673-1578639,Standard,2023-08-20 20:33:06.950000+00:00
114-9923439-3536200,Standard,2023-08-22 08:31:36.781000+00:00
112-6079998-6460219,Standard,2023-08-23 20:31:43.342000+00:00
113-7586089-9711462,Standard,2023-08-24 02:31:34.292000+00:00
114-9631549-8781033,Standard,2023-08-25 20:31:38.290000+00:00
113-2508116-5108223,Standard,2023-08-26 02:31:28.876000+00:00
113-7838893-4446604,Standard,2023-08-26 08:31:33.910000+00:00
114-1850535-0033836,Standard,2023-08-27 14:31:31.665000+00:00
111-0714757-2385846,Standard,2023-08-29 02:31:37.314000+00:00
111-1022302-2988247,Standard,2023-08-29 14:31:32.849000+00:00
114-3060413-2319401,Standard,2023-08-31 02:31:35.728000+00:00
113-0687924-0857824,Standard,2023-09-01 08:31:40.551000+00:00
111-8937246-2217829,Standard,2023-09-04 02:31:38.921000+00:00
111-4017884-6198629,Standard,2023-09-07 02:31:37.830000+00:00
113-0484102-1699435,Standard,2023-09-07 20:31:34.788000+00:00
113-1264292-4094663,Standard,2023-09-08 08:32:41.444000+00:00
111-8151901-2995418,Standard,2023-09-08 14:31:35.778000+00:00
113-1218216-6358661,Standard,2023-09-12 20:31:38.235000+00:00
113-8302647-5440246,Standard,2023-09-13 02:31:35.358000+00:00
114-1647020-3048261,Standard,2023-09-15 20:31:43.277000+00:00
111-4952329-1211468,Standard,2023-09-16 20:31:29.233000+00:00
113-8731968-9149010,Standard,2023-09-21 14:31:33.735000+00:00
114-6064659-4429012,Standard,2023-09-25 02:31:33.948000+00:00
111-4929388-0820207,Standard,2023-09-25 20:31:34.092000+00:00
112-5694237-3015436,Standard,2023-09-27 14:31:34.129000+00:00
112-0590377-7330608,Standard,2023-10-02 02:31:31.511000+00:00
113-3573046-9042617,Standard,2023-10-11 20:31:32.443000+00:00
111-9330961-6402622,Standard,2023-10-14 20:31:29.592000+00:00
111-3287006-0949853,Standard,2023-10-15 08:31:33.289000+00:00
113-5351929-6117010,Standard,2023-10-18 20:31:31.174000+00:00
113-6051033-6301824,Standard,2023-10-20 14:31:33.188000+00:00
111-5218509-2703404,Standard,2023-10-22 02:31:31.653000+00:00
111-0007008-5401049,Standard,2023-10-22 08:31:31.012000+00:00
112-9296406-8857817,Standard,2023-10-23 02:31:30.522000+00:00
112-2858141-2342630,Standard,2023-10-23 20:31:33.341000+00:00
114-3535797-7513015,Standard,2023-10-25 20:31:32.865000+00:00
112-3083144-6340202,Standard,2023-10-26 08:31:33.479000+00:00
114-7236975-5247463,Standard,2023-10-31 14:31:33.702000+00:00
114-8245684-0783420,Standard,2023-11-01 08:31:31.100000+00:00
114-6480537-8338632,Standard,2023-11-07 20:32:33.827000+00:00
114-8511104-9093826,Standard,2023-11-12 14:32:34.859000+00:00
112-9383459-6143424,Standard,2023-11-23 02:32:29.482000+00:00
114-0882010-5065050,Standard,2023-11-26 20:32:34.945000+00:00
114-6483360-7771429,Standard,2023-11-27 20:32:33.525000+00:00
112-6332320-0409063,Standard,2023-12-03 02:32:32.456000+00:00
112-6032141-3110643,Standard,2023-12-03 08:32:34.789000+00:00
114-9185006-5021824,Standard,2023-12-04 20:32:37.843000+00:00
112-1064778-3860222,Standard,2023-12-05 14:32:35.324000+00:00
111-6926448-6756260,Standard,2023-12-06 20:32:36.079000+00:00
114-8745095-7806636,Standard,2023-12-08 02:32:33.233000+00:00
114-6047194-3190641,Standard,2023-12-09 00:04:45.444000+00:00
111-7967588-2194656,Standard,2023-12-09 08:32:40.783000+00:00
114-2291161-0186663,Standard,2023-12-13 20:32:42.103000+00:00
112-0284470-1629056,Standard,2023-12-16 14:32:34.154000+00:00
113-8914174-3484268,Standard,2023-12-17 14:32:32.433000+00:00
113-6367641-0219465,Standard,2023-12-18 14:32:33.806000+00:00
112-1872199-4732227,Standard,2023-12-21 02:32:32.530000+00:00
112-5481951-8710654,Standard,2023-12-23 14:32:32.292000+00:00
112-8511833-0520215,Standard,2023-12-30 08:32:34.588000+00:00
114-7458663-3265815,Standard,2024-01-05 00:05:05.825000+00:00
113-4741481-8837009,Standard,2024-01-06 20:32:36.114000+00:00
112-6203460-5537028,Standard,2024-01-13 14:32:36.716000+00:00
113-9404035-8506617,Standard,2024-01-14 20:32:35.696000+00:00
111-3192192-9237048,Standard,2024-01-26 20:33:31.376000+00:00
111-3099073-6476212,Standard,2024-01-28 00:05:59.100000+00:00
113-8125507-7848248,Standard,2024-01-30 14:33:35.674000+00:00
113-0364034-6090641,Standard,2024-01-31 20:33:32.825000+00:00
113-0950830-9878630,Standard,2024-02-03 20:33:34.845000+00:00
111-5778433-8702631,Standard,2024-02-04 20:33:34.387000+00:00
113-7793830-3875454,Standard,2024-02-05 00:06:02.625000+00:00
114-8812973-2193868,Standard,2024-02-05 20:33:37.062000+00:00
112-5329253-0507450,Standard,2024-02-10 20:33:36.901000+00:00
111-4382746-9368257,Standard,2024-02-16 14:33:58.706000+00:00
113-0289490-5773041,Standard,2024-02-21 20:33:37.896000+00:00
113-6702904-7074645,Standard,2024-03-02 14:33:36.627000+00:00
113-7526101-7025858,Standard,2024-03-05 08:33:45.309000+00:00
114-9180694-8885867,Standard,2024-03-06 00:06:37.177000+00:00
113-2045757-4153027,Standard,2024-03-07 20:33:55.179000+00:00
111-3860663-0410637,Standard,2024-03-11 00:06:54.573000+00:00
114-7967158-2440215,Standard,2024-03-12 14:33:34.135000+00:00
114-1264519-1237845,Standard,2024-03-17 08:33:50.480000+00:00
114-9311082-7830653,Standard,2024-03-20 20:33:50.406000+00:00
112-4821492-4108268,Standard,2024-03-25 08:36:55.517000+00:00
113-5010277-8008267,Standard,2024-03-29 02:35:46.953000+00:00
111-7470112-1667465,Standard,2024-03-31 14:37:01.315000+00:00
112-1051750-8981851,Standard,2024-03-31 20:35:48.307000+00:00
112-5349867-6373823,Standard,2024-04-01 20:35:44.477000+00:00
114-2372339-2613016,Standard,2024-04-02 00:09:06.412000+00:00
112-3519475-9339434,Standard,2024-04-03 02:36:52.876000+00:00
113-8924070-7677025,Standard,2024-04-10 00:08:50.021000+00:00
112-4753319-3033856,Standard,2024-04-13 00:08:05.306000+00:00
112-9030134-5379450,Standard,2024-04-16 00:09:24.744000+00:00
114-6459437-8952227,Standard,2024-04-17 00:08:14.446000+00:00
112-3402605-5473840,Standard,2024-04-18 00:08:49.943000+00:00
114-2467072-5822669,Standard,2024-04-22 00:09:48.786000+00:00
112-9838067-0972236,Standard,2024-04-29 00:09:18.566000+00:00
111-4401934-1487421,Standard,2024-05-03 00:08:33.239000+00:00
114-4928969-2957058,Standard,2024-05-08 00:08:35.913000+00:00
111-2515916-8081819,Standard,2024-05-10 00:09:21.373000+00:00
113-0241469-1308224,Standard,2024-05-11 00:09:44.615000+00:00
114-4102749-2050650,Standard,2024-05-14 00:09:21.873000+00:00
113-5745050-3941813,Standard,2024-05-22 20:19:18.815000+00:00
112-1723897-3559432,Standard,2024-05-22 20:19:40.804000+00:00
112-6478588-9929822,Standard,2024-05-22 20:19:06.806000+00:00
112-3259521-5474626,Standard,2024-05-22 20:19:02.865000+00:00
114-5155378-9335460,Standard,2024-05-22 20:18:56.806000+00:00
112-9112815-2669007,Standard,2024-05-22 20:18:58.806000+00:00
113-5450719-0065045,Standard,2024-05-22 20:19:48.795000+00:00
112-0678675-3973839,Standard,2024-05-22 20:19:42.805000+00:00
113-7298421-5448215,Standard,2024-05-24 00:09:58.295000+00:00
112-3762917-7925809,Standard,2024-05-24 00:10:00.293000+00:00
113-4492658-6332237,Standard,2024-05-26 00:08:22.411000+00:00
112-9957816-3809012,Standard,2024-05-29 00:09:21.009000+00:00
113-5455851-7595406,Standard,2024-06-01 00:09:16.082000+00:00
112-6162561-9578612,Standard,2024-06-03 00:09:08.877000+00:00
111-3438402-2484222,Standard,2024-06-04 00:08:27.489000+00:00
111-7051497-8501808,Standard,2024-06-04 00:08:31.479000+00:00
111-3130477-8886625,Standard,2024-06-08 00:09:22.622000+00:00
111-2341706-0329024,Standard,2024-06-09 00:11:39.040000+00:00
112-3457082-7366648,Standard,2024-06-11 00:08:15.110000+00:00
111-0884584-5388200,Standard,2024-06-11 00:08:19.105000+00:00
114-8726570-9664237,Standard,2024-06-12 00:09:21.714000+00:00
113-6801950-5928237,Standard,2024-06-12 00:09:29.556000+00:00
113-6111172-6261015,Standard,2024-06-12 00:09:25.562000+00:00
112-4613298-0278604,Standard,2024-06-13 00:09:31.963000+00:00
113-2891795-1225813,Standard,2024-06-14 00:08:12.001000+00:00
113-7078381-9817808,Standard,2024-06-15 00:09:25.924000+00:00
111-6900251-3409869,Standard,2024-06-15 00:09:37.747000+00:00
112-2141375-0832225,Standard,2024-06-15 00:09:41.744000+00:00
113-3630724-0293818,Standard,2024-06-16 00:09:36.723000+00:00
112-6582331-2336263,Standard,2024-06-17 00:08:14.107000+00:00
112-4979057-5739465,Standard,2024-06-20 00:09:05.374000+00:00
113-4877178-2439454,Standard,2024-06-21 00:09:16.720000+00:00
114-4713790-2123451,Standard,2024-06-23 00:08:24.114000+00:00
113-7030997-4326607,Standard,2024-06-24 00:09:17.247000+00:00
111-3834724-5167464,Standard,2024-06-26 00:08:14.276000+00:00
114-0313699-7196257,Standard,2024-06-26 00:08:06.837000+00:00
113-7306747-9630627,Standard,2024-06-27 00:08:14.087000+00:00
114-7778171-8889823,Standard,2024-07-01 00:09:31.589000+00:00
112-0250921-4765044,Standard,2024-07-05 00:09:21.434000+00:00
114-9679370-3949801,Standard,2024-07-10 00:08:21.773000+00:00
112-9016330-8435442,Standard,2024-07-11 00:08:12.236000+00:00
112-1938230-6413033,Standard,2024-07-11 00:08:12.172000+00:00
112-3084170-9479436,Standard,2024-07-13 00:09:37.454000+00:00
114-4373464-3525032,Standard,2024-07-14 00:09:41.661000+00:00
114-2430971-8529833,Standard,2024-07-15 00:09:35.982000+00:00
111-7463660-7971426,Standard,2024-07-16 00:08:20.265000+00:00
112-4336657-5677004,Standard,2024-07-17 00:09:35.839000+00:00
112-2457914-0155417,Standard,2024-07-18 00:09:45.985000+00:00
111-4786258-2149065,Standard,2024-07-19 00:09:57.559000+00:00
113-8554561-9069849,Standard,2024-07-20 00:09:55.531000+00:00
112-4899909-4230666,Standard,2024-07-24 00:09:33.824000+00:00
113-7513060-2134642,Standard,2024-07-28 00:09:36.107000+00:00
113-5104387-3093839,Standard,2024-07-31 00:11:24.007000+00:00
113-2993322-8555465,Standard,2024-07-31 00:11:36.020000+00:00
112-2799939-0046663,Standard,2024-07-31 00:11:32.021000+00:00
111-5585637-1460220,Standard,2024-08-01 00:09:32.389000+00:00
111-4430228-7389808,Standard,2024-08-01 00:09:36.396000+00:00
112-8985492-7274640,Standard,2024-08-01 00:09:50.384000+00:00
112-8426675-0808245,Standard,2024-08-01 00:09:42.386000+00:00
