response_id,choice_id,choice_text,_fivetran_synced,field_id,ranking
t00iry67pwy22zqt00ir064scyed9i5k,qNE06oQSggED,,2023-11-07 14:32:30.500000+00:00,g1sbtBqI67s8,
9n79rmcec4qi6t8vkdf9n79s17uj7l52,3wcPj4w4kCaE,,2023-11-07 14:33:37.882000+00:00,nyTVrrQOwN8H,
w89lz4do4y26ffyl7w89lz4fq4562aff,LKXSTLL4YfXj,,2023-11-07 14:33:49.163000+00:00,nyTVrrQOwN8H,
1waxg091scfrvyke1s1waxes8fkzl7np,pV3A0eM3cFGc,,2023-11-07 14:33:42.144000+00:00,nyTVrrQOwN8H,
goffq91zrksiloom6iegoffmbynobkpi,5SDqovyoy2kq,,2023-11-07 14:34:01.907000+00:00,nyTVrrQOwN8H,
20mx17fo6ttlx1qdb20mcsyv3l2fx4py,J5bZMfnELkr8,,2023-11-07 14:34:03.830000+00:00,nyTVrrQOwN8H,
zxjl46ue8dwg09razxjl466u9jy9fzek,pV3A0eM3cFGc,,2023-11-07 14:33:42.154000+00:00,nyTVrrQOwN8H,
bwu9f1weo9075jbwu9y54823xi5dkwr2,LKXSTLL4YfXj,,2023-11-07 14:33:49.171000+00:00,nyTVrrQOwN8H,
8ikc5u07ay2e0ap8ikc5hwkgf8xnslhh,yqpoOc7DONUB,,2023-11-07 14:33:45.481000+00:00,nyTVrrQOwN8H,
1a6yqlaiwfargydjiff78w1a6yqlaiwc,J5bZMfnELkr8,,2023-11-07 14:34:06.211000+00:00,nyTVrrQOwN8H,
b23o56c7t40gcdu2hho6b23o56fafupc,other,Smart phone ready,2023-11-07 14:31:53.252000+00:00,wEXrIACOc7Lr,
okdepmkloo6pqshjc3okdo1owfp24b2r,E0ieGGpJV0oY,,2023-11-07 14:34:06.226000+00:00,nyTVrrQOwN8H,
vc4bo43u122217zvrwt4vc4bo4tl206t,mOBntm1IQq88,,2023-11-07 14:34:53.279000+00:00,DdpDzO38UJFx,
h2mn9nqwfclrun04ub4h2mn9mtfj2sjk,qNE06oQSggED,,2023-11-07 14:32:30.500000+00:00,g1sbtBqI67s8,
kewr2sklxzx73xkew2rzwgk7fs53io7f,1AhoNn4JWg3Q,,2023-11-07 14:33:57.213000+00:00,nyTVrrQOwN8H,
b0pq4vmozkxzvbb0pqsdul3arhopag8j,1AhoNn4JWg3Q,,2023-11-07 14:34:06.872000+00:00,nyTVrrQOwN8H,
osb00w1zurf57rmalx4u36osb00w1g5w,t6kXndn9a0sm,,2023-11-07 14:30:46.955000+00:00,o6OBZLZvptaV,
rbch142g7pxj63yrtnwqrbch1l88haf5,pV3A0eM3cFGc,,2023-11-07 14:33:57.228000+00:00,nyTVrrQOwN8H,
dec5bnv4kxzsg7a9pdec5bh43n7seep4,qQIObyzYFwn7,,2023-11-07 14:30:59.459000+00:00,hWYfKvWjPynR,
cpqvrkwxmfkokx4tp84xsfmcpqvrknfg,J5bZMfnELkr8,,2023-11-07 14:34:06.223000+00:00,nyTVrrQOwN8H,
pw6hrr7swyei1ynjiqp2pw6hrrmfh8zk,LKXSTLL4YfXj,,2023-11-07 14:34:06.206000+00:00,nyTVrrQOwN8H,
0a6foyvu3fszwymea8zr0a6foyd3obvv,1AhoNn4JWg3Q,,2023-11-07 14:34:03.823000+00:00,nyTVrrQOwN8H,
jrwhyprblr97jvxv8p5jrwhy8jp4iluu,A8mQYGVwwHtM,,2023-11-07 14:31:02.088000+00:00,uB5LFDbzlAzB,
db4r3ykyta38db4r3fphjuvuh2oxivo4,LKXSTLL4YfXj,,2023-11-07 14:33:45.484000+00:00,nyTVrrQOwN8H,
bdd41r28mw229tgcbbdd41r31kxqtns8,Xul1AxtAReRX,,2023-11-07 14:32:30.501000+00:00,g1sbtBqI67s8,
czdyw59eckkm9qd4ezczdy7y0kf988at,o4iW3AagB9QU,,2023-11-07 14:30:35.100000+00:00,qxTQYT1e3SmO,
a4cqukklk6a04dsdmza4cquge2tz4dc4,3wcPj4w4kCaE,,2023-11-07 14:34:06.217000+00:00,nyTVrrQOwN8H,
k01kxfxvg3dd8ix3mi421yk01kxfo8sh,yqpoOc7DONUB,,2023-11-07 14:33:45.493000+00:00,nyTVrrQOwN8H,
ybxhyuqa93kl5t1bybxtdcboo4m3i1bx,wXkEvhzZ660o,,2023-11-07 14:32:30.498000+00:00,g1sbtBqI67s8,
1wu6xxix3hhwvp231wuwm8t590ds2vxe,1AhoNn4JWg3Q,,2023-11-07 14:33:57.224000+00:00,nyTVrrQOwN8H,
chiyebi1gdyc3vthryvchiyax5leiuiq,E0ieGGpJV0oY,,2023-11-07 14:33:37.902000+00:00,nyTVrrQOwN8H,
yzuxl925p66re5yzuf1v433u7ifrnb5x,pV3A0eM3cFGc,,2023-11-07 14:34:03.840000+00:00,nyTVrrQOwN8H,
uu4dp2rjh81p1zrr80hebuu4dp2f0a0v,pV3A0eM3cFGc,,2023-11-07 14:33:45.505000+00:00,nyTVrrQOwN8H,
03xlp3rvcnrkwp3iu9qrcd03xlp3rv7j,5SDqovyoy2kq,,2023-11-07 14:34:03.839000+00:00,nyTVrrQOwN8H,
t4tsb6tg23qh5it4tsbvr3of49hvqd5l,LKXSTLL4YfXj,,2023-11-07 14:33:57.230000+00:00,nyTVrrQOwN8H,
im9kt4ngc9w3us2u6im9kl1iewby8y7x,yqpoOc7DONUB,,2023-11-07 14:33:42.154000+00:00,nyTVrrQOwN8H,
8d2c61tmrqyfqmbmiprs8d2c615l6634,m5HDq919lN01,,2023-11-07 14:29:53.827000+00:00,txloutNN0U4q,
7b6bdey35189tip7b6bdehsliz1v7wei,IwXrFxfmHPpk,,2023-11-07 14:31:02.068000+00:00,hWYfKvWjPynR,
jpj6ev5d9azv6jphinrkqz558jkro8kh,rakfg4Sv7udM,,2023-11-07 14:31:11.554000+00:00,fHd1FlrIR0Cl,
ep8xs5hr3pw1o4dbgp5vep8xshvo76fw,2dJBzB7DXuaI,,2023-11-07 14:30:48.682000+00:00,ASJZUpv6pNMr,
bhumi6am32i4q13yxluqigf9vbhumi6a,L2mqtO7faJPz,,2023-11-07 14:31:53.263000+00:00,6MW5bXyBINel,
vusb1ykdkmr4fuhvusb1ypanwblcjxnf,tPZiAJinI6cK,,2023-11-07 14:32:17.579000+00:00,nCN9LZXtZhDM,
ifi94xjpz3je0vc5ifi94ob4czruvm1l,E0ieGGpJV0oY,,2023-11-07 14:34:03.819000+00:00,nyTVrrQOwN8H,
kuq533w5smfcwj6tlkuq53tpknmj1bnt,mOgOYrM9vcXB,,2023-11-07 14:30:59.450000+00:00,hWYfKvWjPynR,
9oj5o7eocq96zddu6ub9oj5o7eog7uty,A8mQYGVwwHtM,,2023-11-07 14:30:57.400000+00:00,uB5LFDbzlAzB,
wmtgg2m3t2guyzi9qnwmtgg2m9f41lw8,pV3A0eM3cFGc,,2023-11-07 14:33:42.164000+00:00,nyTVrrQOwN8H,
tk6i5fwc7jxco9u5bgopl9tk6i5fvkzl,LKXSTLL4YfXj,,2023-11-07 14:33:57.208000+00:00,nyTVrrQOwN8H,
jhjuc338hvca8iex789uwpjhjuc338ex,1AhoNn4JWg3Q,,2023-11-07 14:33:57.221000+00:00,nyTVrrQOwN8H,
s9ymlulht1yia6mvkemiz0s9yml5rduq,5SDqovyoy2kq,,2023-11-07 14:34:01.909000+00:00,nyTVrrQOwN8H,
iapxvqzp4atvprv54oiapxvqzw5b6zey,1AhoNn4JWg3Q,,2023-11-07 14:34:06.218000+00:00,nyTVrrQOwN8H,
m3n4gai348qqeghccjz0y16phm3n4gai,zxjMedscvvyT,,2023-11-07 14:32:30.508000+00:00,g1sbtBqI67s8,
fuivyoi9by2eafy2uywfuivyo4yix9gp,5SDqovyoy2kq,,2023-11-07 14:33:45.491000+00:00,nyTVrrQOwN8H,
m9zxdzjxkfi44xf95s19m9zxdzfz3lof,1AhoNn4JWg3Q,,2023-11-07 14:33:49.183000+00:00,nyTVrrQOwN8H,
v5ae23sowpac3v5ae230sid3kisw6vdh,pV3A0eM3cFGc,,2023-11-07 14:34:06.210000+00:00,nyTVrrQOwN8H,
hb98ao31pg5llkvsvgc3hb98aopp8vjv,YFKzvKKb7rxB,,2023-11-07 14:31:53.248000+00:00,wEXrIACOc7Lr,
k6kvuqxf3yo1j04pa581k6kv238h2aey,smUe5xI6970X,,2023-11-07 14:30:38.650000+00:00,10aq2haDZEOS,
6vjcm7ss1to9284h7h6vjcm7sruzwjj4,3wcPj4w4kCaE,,2023-11-07 14:33:45.479000+00:00,nyTVrrQOwN8H,
1gfu9z5twash4ka9j1gfu9zuw5lh3zr2,uWiZP7SL7Jch,,2023-11-07 14:33:06.128000+00:00,mdZTGKjrG9CK,
9x66ms7uru53zd2fe9x66m8g8yxajq0f,1AhoNn4JWg3Q,,2023-11-07 14:33:42.166000+00:00,nyTVrrQOwN8H,
cpc3zd4lwivbmitdvycpc3zhijt88vx9,1AhoNn4JWg3Q,,2023-11-07 14:33:45.503000+00:00,nyTVrrQOwN8H,
xrwy5w450fej1gxrwy5wnst5xktpkp86,oqPT2auI6kP6,,2023-11-07 14:33:30.319000+00:00,tlaOaEmBc0u9,
y3alh353kpw83s4zy3alhvrr2d8ojfy7,E0ieGGpJV0oY,,2023-11-07 14:33:49.188000+00:00,nyTVrrQOwN8H,
u3iazmy72g8uax2owjyoejv9gxyax2op,J5bZMfnELkr8,,2023-11-07 14:33:57.219000+00:00,nyTVrrQOwN8H,
h9gkxcz02pqj16b5kh9gkxhu1fcqhs1a,dWkiCOxiuRJi,,2023-11-07 14:32:30.502000+00:00,g1sbtBqI67s8,
2rclebgiy18xucrlwp06p2rcleb1gy9r,1AhoNn4JWg3Q,,2023-11-07 14:34:01.898000+00:00,nyTVrrQOwN8H,
mh5eq4eupglveqqgggqkhmh5eq43l82j,6Td8sUlmCWrg,,2023-11-07 14:32:30.508000+00:00,gUNbJgRsHF3R,
o7fz9thf6stekmwrho7fzhd4jnbzg81l,5SDqovyoy2kq,,2023-11-07 14:33:42.164000+00:00,nyTVrrQOwN8H,
2w34xko7t1i3oayed4z2w34xko7d69ly,uWiZP7SL7Jch,,2023-11-07 14:33:06.135000+00:00,mdZTGKjrG9CK,
cugusp69uxscfy1u7e9zcugusp2lehwh,5SDqovyoy2kq,,2023-11-07 14:34:03.835000+00:00,nyTVrrQOwN8H,
vmcv2e2imghnncrwlxvmcv2uze4r9qhc,other,No social media and no browser; I don’t have to ‘restrict’ and instead can give more as we go. Kids know how to work around the general iphone parental controls and I don’t see the sense in having to monitor closely every day or to encounter that battle at this age. Life is so much more than a phone. I want to keep the balance. Or at least encourage it.,2023-11-07 14:34:06.215000+00:00,nyTVrrQOwN8H,
733w0ekh7vhwrm0r5e733w0ekwsspmfo,qQIObyzYFwn7,,2023-11-07 14:30:59.453000+00:00,hWYfKvWjPynR,
gr6ql7kbdpgonq1ckp06gr6ql7koixld,XINOVEAzNbIw,,2023-11-07 14:30:46.957000+00:00,6qI5pzFlBYun,
ig3qkv2yz0uwr9q2a6ykig3qkv2dgk9y,J5bZMfnELkr8,,2023-11-07 14:33:57.221000+00:00,nyTVrrQOwN8H,
wd7za8ytrfdwg9wl19uwd7za9istrhr7,GREI37NJqhC7,,2023-11-07 14:30:59.446000+00:00,hWYfKvWjPynR,
6b55b0r67ui22nzs2agv6b550s0mq24n,ARU5g7GvQmzk,,2023-11-07 14:31:02.067000+00:00,bOS1gk7MZ65u,
6b2d0bbecdofkgyzpt76b2dqzevx9pn1,pV3A0eM3cFGc,,2023-11-07 14:33:37.894000+00:00,nyTVrrQOwN8H,
820ph78vti46iufxyhyae820ph78zz7x,5SDqovyoy2kq,,2023-11-07 14:33:37.903000+00:00,nyTVrrQOwN8H,
9n79z3j6esbnp1oa73oibagy9n79z3e5,E0ieGGpJV0oY,,2023-11-07 14:33:45.496000+00:00,nyTVrrQOwN8H,
jaft30jlef7hzyfwa7jaftq42aagel47,XKYx6xA2HgN2,,2023-11-07 14:32:30.495000+00:00,gUNbJgRsHF3R,
4nujwktk1m18w84nxorryajue5chcy0i,pV3A0eM3cFGc,,2023-11-07 14:33:49.167000+00:00,nyTVrrQOwN8H,
49ddy27o7seqp749ddyplikvzl6hp4yr,J5bZMfnELkr8,,2023-11-07 14:33:37.902000+00:00,nyTVrrQOwN8H,
h8af4secz80ik4h8af4k2fyuk3c7ncrn,E0ieGGpJV0oY,,2023-11-07 14:34:01.910000+00:00,nyTVrrQOwN8H,
q7uuipxcssxyr2eq7uuiafsijj24dnhi,yqpoOc7DONUB,,2023-11-07 14:33:49.168000+00:00,nyTVrrQOwN8H,
zrvj16axjrgh23bb1mizrvj1eh39325v,LKXSTLL4YfXj,,2023-11-07 14:34:03.826000+00:00,nyTVrrQOwN8H,
cmegt75q15yr9qhhcmemng5u68naxupj,RXnIuTDpN09K,,2023-11-07 14:33:06.127000+00:00,bZvjg7tWA0LH,
2x1clc2u41kt4zqnsffr2x1cltr9434i,J5bZMfnELkr8,,2023-11-07 14:34:03.821000+00:00,nyTVrrQOwN8H,
4okjzmhcqnh04gicx4okjznp7dd8feht,E0ieGGpJV0oY,,2023-11-07 14:33:37.896000+00:00,nyTVrrQOwN8H,
scrpi69ur3dz0lh22valscrpi69d8nne,LKXSTLL4YfXj,,2023-11-07 14:33:57.211000+00:00,nyTVrrQOwN8H,
p4siy18idowm1sbshzp4siya4taih7vj,pV3A0eM3cFGc,,2023-11-07 14:33:37.883000+00:00,nyTVrrQOwN8H,
f7gsqhflq6grwrnf7gsqv30brmdhk8sq,uV9YNPDV5uz2,,2023-11-07 14:30:46.960000+00:00,btVgpHHbwMkg,
wlna8jvrjne41p2kmc6cnwlna8bt3ttp,5SDqovyoy2kq,,2023-11-07 14:34:06.206000+00:00,nyTVrrQOwN8H,
kswn58wmqvk7l099s63fkswn58gajyob,other,,2023-11-07 14:31:02.073000+00:00,uB5LFDbzlAzB,
bop7m0g8583zdbop7jqy0ooi9f4tdljf,1AhoNn4JWg3Q,,2023-11-07 14:33:57.229000+00:00,nyTVrrQOwN8H,
w0jadcmvciw0eopua2923k95v9zvezeo,other,Apps my child likes,2023-11-07 14:34:03.820000+00:00,nyTVrrQOwN8H,
7t09mixr78nmv6inq7t09mixfiqyjdqq,R9BcSuEX5Iob,,2023-11-07 14:30:48.677000+00:00,ASJZUpv6pNMr,
lsr2moe2yigfdh5trh4lflsr2mevp0yd,qQIObyzYFwn7,,2023-11-07 14:30:57.405000+00:00,hWYfKvWjPynR,
9vmewpcbuap5evzua9vmewt8tjcemy52,J5bZMfnELkr8,,2023-11-07 14:33:37.894000+00:00,nyTVrrQOwN8H,
0av2zvrtypd44b80av2zv2dj8rx9j091,E0ieGGpJV0oY,,2023-11-07 14:33:49.184000+00:00,nyTVrrQOwN8H,
56f321cp0yqp2h4adz56f321bb20kedb,zJAvTtcPQT6O,,2023-11-07 14:32:30.509000+00:00,ovJvcKH6jyf2,
eueotvwwaa3xa7feueotimtlot7lsxfn,3wcPj4w4kCaE,,2023-11-07 14:34:03.820000+00:00,nyTVrrQOwN8H,
kkzz3hn43n560qvkkzkfm1no6gj3g6vf,LKXSTLL4YfXj,,2023-11-07 14:33:42.151000+00:00,nyTVrrQOwN8H,
y6lyki82hut83y6lykx7m16gjjmgb44u,LKXSTLL4YfXj,,2023-11-07 14:33:37.890000+00:00,nyTVrrQOwN8H,
kgpsojjmpbh81v7diyc7okgpsoj6gx5g,5SDqovyoy2kq,,2023-11-07 14:34:06.872000+00:00,nyTVrrQOwN8H,
ccssk2jx49752egccsskros7anyplfx5,LKXSTLL4YfXj,,2023-11-07 14:33:45.503000+00:00,nyTVrrQOwN8H,
seso5348qbxga05082bseso533e4kbg1,J5bZMfnELkr8,,2023-11-07 14:33:42.157000+00:00,nyTVrrQOwN8H,
pgv8o3sjf4pum2qug9kpgv8o3xx3ug97,yqpoOc7DONUB,,2023-11-07 14:34:06.217000+00:00,nyTVrrQOwN8H,
zjko5njwiydp84fzjko55c12mtbshu5z,J5bZMfnELkr8,,2023-11-07 14:33:45.499000+00:00,nyTVrrQOwN8H,
w8fr5wf1eqng38sgt02t4w8fr5wv3vf4,fFONd2q1fm2y,,2023-11-07 14:31:02.097000+00:00,uB5LFDbzlAzB,
dlhh049qv8a0yqdl44dlhh042gi96fjg,IwXrFxfmHPpk,,2023-11-07 14:31:02.081000+00:00,hWYfKvWjPynR,
lbxo0jmet3mje5qlbxo3respbczqst3s,J5bZMfnELkr8,,2023-11-07 14:33:49.172000+00:00,nyTVrrQOwN8H,
2mzs8242nwtb16polvo8k2mzs82kttka,KykhP7yehNUL,,2023-11-07 14:32:17.603000+00:00,vAjBEO307Stw,
4167xsf93oqlt938hg4167xsf0i7684x,3p5ibebm1TtA,,2023-11-07 14:29:55.268000+00:00,T6nizqTX2SM0,
ft6hiq08qjl8evfi6pfft6hiq0uufx30,yqpoOc7DONUB,,2023-11-07 14:34:03.832000+00:00,nyTVrrQOwN8H,
w9htt2knusl2l06w9htjwbv5uso8hb5o,3wcPj4w4kCaE,,2023-11-07 14:33:37.880000+00:00,nyTVrrQOwN8H,
ruxr7ksheqm9u1rimeuruxr7d9kemqwg,J5bZMfnELkr8,,2023-11-07 14:33:37.902000+00:00,nyTVrrQOwN8H,
a3sxixs6wmq005a3sqvwnxiwl7qp9zqv,aey22y8TI3LB,,2023-11-07 14:31:53.264000+00:00,wEXrIACOc7Lr,
p8f7t7jk9h1x6hzw0zlop8f7ln885twg,47dyf16KLkAm,,2023-11-07 14:33:17.847000+00:00,pW21M0GcfXQZ,
bz0waah6ct9hnbz0wa5mw1sj1jqgvdm2,1AhoNn4JWg3Q,,2023-11-07 14:33:57.218000+00:00,nyTVrrQOwN8H,
oa0xiooxuwiw9voa0ec15b39j6l6r6mo,LKXSTLL4YfXj,,2023-11-07 14:33:37.897000+00:00,nyTVrrQOwN8H,
o0b3f99kdu8m7bao0b3f9ldj6cra4jxo,Ybw0PpFEh5vH,,2023-11-07 14:31:02.091000+00:00,hWYfKvWjPynR,
0af4ts2d53djdqdyb0af4trgj1e5emy1,1AhoNn4JWg3Q,,2023-11-07 14:34:06.230000+00:00,nyTVrrQOwN8H,
eoyagmjfqmi3ru7y5535ymeoyagmjukz,Dew9Kbte6J7a,,2023-11-07 14:32:25.584000+00:00,hgpd9YWNJPHr,
nbl7w8jqgm16zan5mmh9nbl7w8jryoac,OIqMqoqeHQzU,,2023-11-07 14:31:53.249000+00:00,Ci35vD0lUQfw,
rqsc6wnau4cwnqj5jamrqsc6w2vmp1ba,d0l2iaWaz9mV,,2023-11-07 14:32:30.497000+00:00,g1sbtBqI67s8,
jjy4ynk3ccazmu1s69xjjy4yjvpgl9xr,OIqMqoqeHQzU,,2023-11-07 14:31:53.257000+00:00,Ci35vD0lUQfw,
ohniz3cgy20q31wk9ohno0aipqdm4mpq,E0ieGGpJV0oY,,2023-11-07 14:33:45.496000+00:00,nyTVrrQOwN8H,
epjbtihdmhsigepjbgjxifokl9q63rqz,dweWLwCLbgla,,2023-11-07 14:29:53.821000+00:00,Eu3gnQOYVMLC,
bi7cumq3qpmxfs1stt9bi7cupytllmrv,LKXSTLL4YfXj,,2023-11-07 14:33:57.232000+00:00,nyTVrrQOwN8H,
t4ljdff8i2h1d9ht4ljdffl2r166qesl,pV3A0eM3cFGc,,2023-11-07 14:34:06.216000+00:00,nyTVrrQOwN8H,
533yfbjm4kghlx1b533yfych08sicb7f,qQIObyzYFwn7,,2023-11-07 14:30:59.450000+00:00,hWYfKvWjPynR,
0mv6hqepb8n145jlwd0mv6h4xlkxrwm0,50V71zZlSNES,,2023-11-07 14:34:31.052000+00:00,bbb7HMf31Ix9,
fgosk9q79fgoec007atov776ianeec00,1AhoNn4JWg3Q,,2023-11-07 14:34:03.840000+00:00,nyTVrrQOwN8H,
s50djoes64uxd0c0h07ns50djoes6pg6,zxjMedscvvyT,,2023-11-07 14:32:30.498000+00:00,g1sbtBqI67s8,
lisos1jqscnjfklisos1gu0nznguodrn,pV3A0eM3cFGc,,2023-11-07 14:34:03.839000+00:00,nyTVrrQOwN8H,
whvb6k8lw3i1c2i4r1whvbumf2g7u43d,MznNXayzrjzx,,2023-11-07 14:33:45.499000+00:00,nyTVrrQOwN8H,
drflzmik05fzfi0drfi3n9dwo7ju0z6a,WPPQjQHLOhUg,,2023-11-07 14:33:06.135000+00:00,bZvjg7tWA0LH,
hjgs5rnphwhvtnlq6k4zhjgs5rn4oi4g,bslkokTw7b4p,,2023-11-07 14:34:46.174000+00:00,njDihfvoyN5I,
goqmwg9h06vj80ilgoqmw4tzf6wrtbcz,Bh6qCWWBwBGX,,2023-11-07 14:31:02.092000+00:00,hWYfKvWjPynR,
h9dbj001gfkri8rq2oi51h9dbj0nmtrp,fFONd2q1fm2y,,2023-11-07 14:31:02.082000+00:00,uB5LFDbzlAzB,
m5tc8pfb5txmutfn5gm5tc8pfb82moc8,yqpoOc7DONUB,,2023-11-07 14:33:49.169000+00:00,nyTVrrQOwN8H,
36p0c7z0drcb1pf36re8ludixcv8qrre,J5bZMfnELkr8,,2023-11-07 14:34:01.901000+00:00,nyTVrrQOwN8H,
n8efywo4xpu7w0gmajc46n8efywo4b7o,S81A5pGMGrqE,,2023-11-07 14:31:34.280000+00:00,CFVnrZdExedL,
bxddwbhhd2y6rp9awprjbxddwblx2s7n,A8mQYGVwwHtM,,2023-11-07 14:30:57.405000+00:00,uB5LFDbzlAzB,
k5wolof3sj52hk5wyuohxgs479z8lbos,pV3A0eM3cFGc,,2023-11-07 14:33:49.181000+00:00,nyTVrrQOwN8H,
dbxkl71m3jf7i8q6cwxv2dbxkl71mm7j,OIqMqoqeHQzU,,2023-11-07 14:31:53.257000+00:00,Ci35vD0lUQfw,
wcujefcu9rg3uy0k2wcujefwszvdig5w,pV3A0eM3cFGc,,2023-11-07 14:33:49.184000+00:00,nyTVrrQOwN8H,
z230g515z9f8xz230gqc9url1hny7w6l,J5bZMfnELkr8,,2023-11-07 14:33:45.492000+00:00,nyTVrrQOwN8H,
ul6n3s8ym8n9vl4yul6n3spst8n8siul,5SDqovyoy2kq,,2023-11-07 14:34:03.819000+00:00,nyTVrrQOwN8H,
j3fn2mmuriibj6dmhj3fn2jodvgvo79n,R9BcSuEX5Iob,,2023-11-07 14:30:48.678000+00:00,ASJZUpv6pNMr,
3h7e7hycxbcaijzo93h7e7hyh54efe9r,J5bZMfnELkr8,,2023-11-07 14:34:06.872000+00:00,nyTVrrQOwN8H,
pyl4ofs3py9cul9tpyl4ofs3yzx466o9,LKXSTLL4YfXj,,2023-11-07 14:34:06.224000+00:00,nyTVrrQOwN8H,
8nk3t666wsw828nk952cn8q4tscvx9t3,J5bZMfnELkr8,,2023-11-07 14:33:42.139000+00:00,nyTVrrQOwN8H,
9pygcxwnsyt6ejl3qz7eo9pygcxzvt16,KqwCW7dKozTv,,2023-11-07 14:33:30.311000+00:00,tlaOaEmBc0u9,
18uta8n596hivoqfv18utazc1pij6zmz,lBq2qMPXmSyp,,2023-11-07 14:33:30.312000+00:00,TcoNDJUg8XEX,
8aczpphxm2itph8y58aczqtxuxcvaxme,mOBntm1IQq88,,2023-11-07 14:34:53.283000+00:00,DdpDzO38UJFx,
a7dgv47see7xqjsfez9a7dgvspf0zr8h,RKDmUlh5js37,,2023-11-07 14:30:59.442000+00:00,uB5LFDbzlAzB,
4rdvugh0c96u6v9ahcuiz4rdvulbmw6g,zJAvTtcPQT6O,,2023-11-07 14:32:30.507000+00:00,ovJvcKH6jyf2,
0b26yszgvwu2wzd5tmdq0b2jqs3tlk19,yqpoOc7DONUB,,2023-11-07 14:34:01.924000+00:00,nyTVrrQOwN8H,
1wm4o6bqqx50bokna1wm4anu88enva1k,J5bZMfnELkr8,,2023-11-07 14:33:49.177000+00:00,nyTVrrQOwN8H,
sc695jr4chfissbis04oycsc695jrdt8,J5bZMfnELkr8,,2023-11-07 14:34:06.208000+00:00,nyTVrrQOwN8H,
fh3ws16h1s9dsw0ur7t5fh3wsifz1xjz,pV3A0eM3cFGc,,2023-11-07 14:34:06.209000+00:00,nyTVrrQOwN8H,
wdyuq9f8rkgr3rh230bzwdyuq9r9ejb2,E0ieGGpJV0oY,,2023-11-07 14:33:49.161000+00:00,nyTVrrQOwN8H,
ic1lik7rcxz1y2ph73cbic1li54va5dl,other,,2023-11-07 14:30:59.464000+00:00,hWYfKvWjPynR,
7ovr9rmap6mnlvwpy7ovr9fm0t1rsse9,LKXSTLL4YfXj,,2023-11-07 14:33:49.185000+00:00,nyTVrrQOwN8H,
g2bydlbla3fxe45nyg2byiqvwng9vmcx,J5bZMfnELkr8,,2023-11-07 14:33:42.148000+00:00,nyTVrrQOwN8H,
w9x473mrvzr9w315w9x4kf78aon2um4b,3wcPj4w4kCaE,,2023-11-07 14:34:06.208000+00:00,nyTVrrQOwN8H,
flj85ro28wc6wndcflj8unvzw5y25dku,1VJWuIO8Ithp,,2023-11-07 14:31:18.848000+00:00,bemdewrh5q0c,
6xjd5uqch48udbibde6xjd5u6suihalb,L2mqtO7faJPz,,2023-11-07 14:31:53.270000+00:00,6MW5bXyBINel,
9n79rmcec4qi6t8vkdf9n79s17uj7l52,E0ieGGpJV0oY,,2023-11-07 14:33:37.882000+00:00,nyTVrrQOwN8H,
