type,type_id,id,end,start,promotion_code,checkout_session_line_item_id,credit_note_line_item_id,coupon_id,invoice_item_id,checkout_session_id,customer_id,subscription_id,invoice_id,_fivetran_synced,amount
SUBSCRIPTION,sub_1NXZyWFCPJnn9IgI4yGim1aT,di_1NXZyWFCPJnn9IgIUlxrX06K,2024-07-25 01:23:43+00:00,2023-07-25 01:23:43+00:00,,,,HLgpCeXS,,,cus_OFNgnWYU70tLhO,sub_1NXZyWFCPJnn9IgI4yGim1aT,,2024-07-26 00:04:28.573000+00:00,
SUBSCRIPTION,sub_1NZNcQFCPJnn9IgIT0nUFQVc,di_1NZNcQFCPJnn9IgIgJuo42Tq,2024-07-30 00:36:22+00:00,2023-07-30 00:36:22+00:00,,,,HLgpCeXS,,,cus_OJPS6ZhFy5Gz86,sub_1NZNcQFCPJnn9IgIT0nUFQVc,,2024-07-30 00:03:20.542000+00:00,
SUBSCRIPTION,sub_1MIQzZFCPJnn9IgICvXi64qS,di_1MIQzZFCPJnn9IgIcgix7rBx,2023-12-24 06:13:57+00:00,2022-12-24 06:13:57+00:00,,,,HLgpCeXS,,,cus_MzMGiWLrgyivOx,sub_1MIQzZFCPJnn9IgICvXi64qS,,2023-12-02 00:02:23.963000+00:00,
INVOICE_LINE_ITEM,ii_1OJRFhFCPJnn9IgIzcMxPkI0,di_1OJRFhFCPJnn9IgIO5Zh76vW,,2023-12-04 01:47:17+00:00,,,,RQF5eVfn,ii_1OJRFhFCPJnn9IgIzcMxPkI0,,cus_MJ6SIBBX1cmgXK,,,2023-12-04 02:33:02.367000+00:00,
INVOICE_LINE_ITEM,ii_1OJfK3FCPJnn9IgIrVHkt5i8,di_1OJfK3FCPJnn9IgIuUvYBBHF,,2023-12-04 16:48:43+00:00,,,,J9ZeC7DK,ii_1OJfK3FCPJnn9IgIrVHkt5i8,,cus_Nk8CAtqx7KMc14,,,2023-12-04 20:31:54.185000+00:00,
INVOICE_LINE_ITEM,ii_1OJfIyFCPJnn9IgIJLWvmLbc,di_1OJfIyFCPJnn9IgIcENrh7nR,,2023-12-04 16:47:36+00:00,,,,J9ZeC7DK,ii_1OJfIyFCPJnn9IgIJLWvmLbc,,cus_P0osCU6GppIT3U,,,2023-12-04 20:31:54.186000+00:00,
SUBSCRIPTION,sub_1OB16RFCPJnn9IgIlsVxTx8P,di_1OB16RFCPJnn9IgIUAX2cS1W,2024-11-10 20:14:55+00:00,2023-11-10 20:14:55+00:00,,,,HLgpCeXS,,,cus_OwAaB17sN5tkUN,sub_1OB16RFCPJnn9IgIlsVxTx8P,,2023-12-08 20:30:44.562000+00:00,
INVOICE_LINE_ITEM,ii_1OLGKBFCPJnn9IgIyVKndBgq,di_1OLGKBFCPJnn9IgICjln82ls,,2023-12-09 02:31:27+00:00,,,,J9ZeC7DK,ii_1OLGKBFCPJnn9IgIyVKndBgq,,cus_P1bylicLstG141,,,2023-12-09 08:30:53.010000+00:00,
SUBSCRIPTION,sub_1OLYvfFCPJnn9IgIhEivXVhQ,di_1OLYvfFCPJnn9IgIinb9uCwE,2024-12-09 22:23:23+00:00,2023-12-09 22:23:23+00:00,,,,HLgpCeXS,,,cus_Kz1G1AgzMs4z5Z,sub_1OLYvfFCPJnn9IgIhEivXVhQ,,2023-12-13 00:02:55.341000+00:00,
SUBSCRIPTION,sub_1OJ411FCPJnn9IgI5dvMY68H,di_1OJ411FCPJnn9IgIpKx2x3Of,2024-12-03 00:58:35+00:00,2023-12-03 00:58:35+00:00,,,,HLgpCeXS,,,cus_P5MorvNd8T9YfP,sub_1OJ411FCPJnn9IgI5dvMY68H,,2023-12-28 00:02:21.394000+00:00,
SUBSCRIPTION,sub_1Mqz7cFCPJnn9IgIF2ykV0TH,di_1N2DukFCPJnn9IgI6aLpmEqg,2024-04-29 13:33:04+00:00,2023-04-29 13:33:04+00:00,,,,HLgpCeXS,,,cus_Mr7TBDhbG60t5W,sub_1Mqz7cFCPJnn9IgIF2ykV0TH,,2024-01-01 08:30:46.758000+00:00,
SUBSCRIPTION,sub_1MQNKSFCPJnn9IgINJFZXonC,di_1MQNKSFCPJnn9IgIyVScz4Ri,2024-01-15 03:56:20+00:00,2023-01-15 03:56:20+00:00,,,,HLgpCeXS,,,cus_N7YQOCi0D466zG,sub_1MQNKSFCPJnn9IgINJFZXonC,,2024-01-14 08:30:21.183000+00:00,
SUBSCRIPTION,sub_1OOjrcFCPJnn9IgI5rORlWcE,di_1OOjrcFCPJnn9IgI2akjj8tW,2024-12-18 16:40:19+00:00,2023-12-18 16:40:19+00:00,,,,HLgpCeXS,,,cus_P79FB8sfXAs2yh,sub_1OOjrcFCPJnn9IgI5rORlWcE,,2024-01-18 14:29:45.675000+00:00,
SUBSCRIPTION,sub_1LQGfpFCPJnn9IgIoaqz00oi,di_1NC92yFCPJnn9IgIMrAi4yQY,2024-05-26 22:23:43+00:00,2023-05-26 22:23:43+00:00,,,,HLgpCeXS,,,cus_M8XlUgPQvsLebw,sub_1LQGfpFCPJnn9IgIoaqz00oi,,2024-01-27 00:02:39.329000+00:00,
INVOICE_LINE_ITEM,ii_1ONHkEFCPJnn9IgIQx31e1tH,di_1ONHkEFCPJnn9IgIU9AdKVlm,,2023-12-14 16:26:42+00:00,,,,J9ZeC7DK,ii_1ONHkEFCPJnn9IgIQx31e1tH,,cus_P3Uss5KgyZgACM,,in_1ONHk1FCPJnn9IgIOSRpEoh8,2024-02-16 20:31:26.465000+00:00,
INVOICE_LINE_ITEM,ii_1OeKV1FCPJnn9IgIFy1Ha9tw,di_1OeKV1FCPJnn9IgI2W1jt51a,,2024-01-30 16:49:27+00:00,,,,J9ZeC7DK,ii_1OeKV1FCPJnn9IgIFy1Ha9tw,,cus_PQO7E01loWLzrm,,in_1OeKTnFCPJnn9IgIQAphZQhv,2024-02-16 20:36:22.953000+00:00,
INVOICE_LINE_ITEM,ii_1OfVkAFCPJnn9IgIZD58Q4sV,di_1OfVkAFCPJnn9IgIlzaz1hwQ,,2024-02-02 23:01:57+00:00,,,,m1vdbvXd,ii_1OfVkAFCPJnn9IgIZD58Q4sV,,cus_OOMU5mi4kXtQb6,,in_1OfVjoFCPJnn9IgIqKzqw74m,2024-02-16 20:37:13.452000+00:00,
INVOICE_LINE_ITEM,ii_1OhZsjFCPJnn9IgIl1o6g0P7,di_1OhZsjFCPJnn9IgIvSR0z6aF,,2024-02-08 15:51:21+00:00,,,,J9ZeC7DK,ii_1OhZsjFCPJnn9IgIl1o6g0P7,,cus_PJkiUO7kQK55s9,,in_1OhZsVFCPJnn9IgILSiGuZYe,2024-02-16 20:37:51.277000+00:00,
INVOICE_LINE_ITEM,ii_1OZJBAFCPJnn9IgIaCpCseou,di_1OZJBAFCPJnn9IgIAAqfSieA,,2024-01-16 20:24:12+00:00,,,,J9ZeC7DK,ii_1OZJBAFCPJnn9IgIaCpCseou,,cus_PAIx6hwsdyghCx,,in_1OZJAyFCPJnn9IgIiR54rZzI,2024-02-16 20:35:12.236000+00:00,
INVOICE_LINE_ITEM,ii_1Oity0FCPJnn9IgIAP8bcYxX,di_1Oity0FCPJnn9IgIiS9q98cK,,2024-02-12 07:30:16+00:00,,,,J9ZeC7DK,ii_1Oity0FCPJnn9IgIAP8bcYxX,,cus_NMUeGBLku9cLgD,,in_1OitxbFCPJnn9IgIKYWJTMY6,2024-02-16 20:38:12.993000+00:00,
INVOICE_LINE_ITEM,ii_1OkD7GFCPJnn9IgIsgOw6ChQ,di_1OkD7GFCPJnn9IgI5yppcYqK,,2024-02-15 22:09:14+00:00,,,,J9ZeC7DK,ii_1OkD7GFCPJnn9IgIsgOw6ChQ,,cus_JtLIpO7WwzmZBy,,in_1OkD6TFCPJnn9IgIWz2WqiZ6,2024-02-16 20:38:30.008000+00:00,
SUBSCRIPTION,sub_1OKssIFCPJnn9IgI1WcDpohC,di_1OKssIFCPJnn9IgI6X0EQCDe,2024-03-08 01:29:05+00:00,2023-12-08 01:29:05+00:00,,,,iVickyzU,,,cus_P8hw4C75BBxC6o,sub_1OKssIFCPJnn9IgI1WcDpohC,,2024-02-21 02:30:17.218000+00:00,
INVOICE_LINE_ITEM,ii_1OmhhSFCPJnn9IgI7DEu9dtY,di_1OmhhSFCPJnn9IgIKRTx7ihC,,2024-02-22 19:12:54+00:00,,,,J9ZeC7DK,ii_1OmhhSFCPJnn9IgI7DEu9dtY,,cus_PYgGad9BQW5yrf,,in_1OmhhAFCPJnn9IgIaf3eEkVq,2024-02-22 20:31:35.055000+00:00,
SUBSCRIPTION,sub_1On3CtFCPJnn9IgI5FeR2yu0,di_1On3CtFCPJnn9IgIO6l1n2mE,2025-02-23 18:10:47+00:00,2024-02-23 18:10:47+00:00,,,,HLgpCeXS,,,cus_PYBk1gC668FsT1,sub_1On3CtFCPJnn9IgI5FeR2yu0,,2024-02-23 20:31:43.166000+00:00,
SUBSCRIPTION,sub_1MDCjdFCPJnn9IgIGAwmGhSZ,di_1MfFjSFCPJnn9IgIxx5rc3ii,2024-02-25 04:51:36+00:00,2023-02-25 04:51:36+00:00,,,,HLgpCeXS,,,cus_Mx6xnhN0NjhG2z,sub_1MDCjdFCPJnn9IgIGAwmGhSZ,,2024-02-24 08:30:29.912000+00:00,
INVOICE_LINE_ITEM,ii_1Oo96kFCPJnn9IgIXxycbMkQ,di_1Oo96kFCPJnn9IgI8mQMW9i4,,2024-02-26 18:40:58+00:00,,,,J9ZeC7DK,ii_1Oo96kFCPJnn9IgIXxycbMkQ,,cus_NoeQHJ1IT6m15t,,in_1Oo96RFCPJnn9IgIigaRzq0K,2024-02-26 20:32:39.786000+00:00,
INVOICE_LINE_ITEM,ii_1OpFG4FCPJnn9IgItRWrkJ7e,di_1OpFG4FCPJnn9IgIfopQjaFi,,2024-02-29 19:27:08+00:00,,,,J9ZeC7DK,ii_1OpFG4FCPJnn9IgItRWrkJ7e,,cus_P92PT7bm9r0FAf,,in_1OpFFoFCPJnn9IgILd9SVRpZ,2024-02-29 20:34:57.296000+00:00,
INVOICE_LINE_ITEM,ii_1Oqf2sFCPJnn9IgIchrzDkE9,di_1Oqf2sFCPJnn9IgINXWppM5e,,2024-03-04 17:11:22+00:00,,,,RQF5eVfn,ii_1Oqf2sFCPJnn9IgIchrzDkE9,,cus_M2vbWXcppa3N7p,,in_1Oqf2IFCPJnn9IgIprYapJos,2024-03-04 20:31:42.509000+00:00,
INVOICE_LINE_ITEM,ii_1OqeJpFCPJnn9IgIOc7Xs9Bk,di_1OqeJpFCPJnn9IgIJqonCkkM,,2024-03-04 16:24:49+00:00,,,,J9ZeC7DK,ii_1OqeJpFCPJnn9IgIOc7Xs9Bk,,cus_Ly6KXtlYa0LATo,,in_1OqeJXFCPJnn9IgIlfhmIyHw,2024-03-04 20:31:42.519000+00:00,
INVOICE_LINE_ITEM,ii_1OqhfhFCPJnn9IgIUN0k0s2p,di_1OqhfhFCPJnn9IgIVCj4vhLb,,2024-03-04 19:59:37+00:00,,,,J9ZeC7DK,ii_1OqhfhFCPJnn9IgIUN0k0s2p,,cus_PYH1TIK3ehhcJd,,in_1OqhfLFCPJnn9IgIx3aSwQgF,2024-03-04 20:31:42.650000+00:00,
SUBSCRIPTION,sub_1OczwEFCPJnn9IgI3wRK88rl,di_1Orlc8FCPJnn9IgIpwYypL9O,2025-03-07 18:24:19+00:00,2024-03-07 18:24:19+00:00,,,,HLgpCeXS,,,cus_PPrP4QKGOEvbC3,sub_1OczwEFCPJnn9IgI3wRK88rl,,2024-03-07 20:30:42.124000+00:00,
INVOICE_LINE_ITEM,ii_1OwB33FCPJnn9IgIAn54BQzH,di_1OwB33FCPJnn9IgIeHRaFWja,,2024-03-19 22:22:21+00:00,,,,J9ZeC7DK,ii_1OwB33FCPJnn9IgIAn54BQzH,,cus_Pj8b9rwlIeWJVF,,in_1OwB2kFCPJnn9IgI2B8nnj8n,2024-03-20 00:03:37.531000+00:00,
INVOICE_LINE_ITEM,ii_1OznmqFCPJnn9IgIRxoaMLPr,di_1OznmqFCPJnn9IgIrGA08dcG,,2024-03-29 22:20:36+00:00,,,,J9ZeC7DK,ii_1OznmqFCPJnn9IgIRxoaMLPr,,cus_KFGlMgWzGrbWrn,,in_1OznmCFCPJnn9IgI1AGFSNgQ,2024-03-30 00:03:49.308000+00:00,
INVOICE_LINE_ITEM,ii_1P1IUJFCPJnn9IgIFnkdb3R4,di_1P1IUJFCPJnn9IgI5TJoKdnr,,2024-04-03 01:19:39+00:00,,,,0kSvMwmP,ii_1P1IUJFCPJnn9IgIFnkdb3R4,,cus_KfQUXGCbXN6uRI,,in_1P1ITdFCPJnn9IgIIxhBVTTW,2024-04-03 02:30:45.605000+00:00,
SUBSCRIPTION,sub_1NZNDhFCPJnn9IgIevLbBdRj,di_1NZNDhFCPJnn9IgItHxa5Qpl,2024-07-30 00:10:49+00:00,2023-07-30 00:10:49+00:00,,,,HLgpCeXS,,,cus_OJPS6ZhFy5Gz86,sub_1NZNDhFCPJnn9IgIevLbBdRj,,2024-07-30 00:03:21.377000+00:00,
INVOICE_LINE_ITEM,il_1PdAcIFCPJnn9IgIttwXbxtr,di_1PdAcIFCPJnn9IgIp5CzdcF8,,2024-07-16 12:36:26+00:00,,,,NpJRVMUv,ii_1PdAcIFCPJnn9IgI5tNHfYLX,,cus_MIyIJ712T6ku9j,,in_1PdAbvFCPJnn9IgIMZz84fm9,2024-08-14 01:44:53.844000+00:00,
INVOICE_LINE_ITEM,il_1PjowRFCPJnn9IgIbWAOl5sM,di_1PjowRFCPJnn9IgIQV14plsZ,,2024-08-03 20:52:43+00:00,,,,RQF5eVfn,ii_1PjowRFCPJnn9IgIp0vwN6NV,,cus_QE8vq3DbQuCfuW,,in_1PjovOFCPJnn9IgIsjigu8Mf,2024-08-14 01:47:15.054000+00:00,
INVOICE_LINE_ITEM,il_1PjnqXFCPJnn9IgIJNrkzzP5,di_1PjnqXFCPJnn9IgIkHKU5kk9,,2024-08-03 19:42:33+00:00,,,,J9ZeC7DK,ii_1PjnqXFCPJnn9IgIrRkSFCuq,,cus_KqPAKHLy8eiDqO,,in_1Pjnq0FCPJnn9IgIFbHahhwi,2024-08-14 01:47:15.178000+00:00,
INVOICE_LINE_ITEM,il_1PdbFUFCPJnn9IgII2RbztzV,di_1PdbFUFCPJnn9IgIyWOl2UL2,,2024-07-17 17:02:40+00:00,,,,J9ZeC7DK,ii_1PdbFUFCPJnn9IgI2WLkoeth,,cus_QNZBXKNOulpJMt,,in_1PdbEXFCPJnn9IgIve3hPNSk,2024-08-14 01:44:59.256000+00:00,
INVOICE_LINE_ITEM,il_1PkWMnFCPJnn9IgIQDnjV3EF,di_1PkWMnFCPJnn9IgIyjnoiYcR,,2024-08-05 19:14:49+00:00,,,,J9ZeC7DK,ii_1PkWMnFCPJnn9IgItbdMPMCx,,cus_QWBmAD5uEB55aH,,in_1PkWKlFCPJnn9IgIZqPADbqO,2024-08-14 01:47:32.470000+00:00,
INVOICE_LINE_ITEM,il_1Phts4FCPJnn9IgIbOPJ7VLN,di_1Phts4FCPJnn9IgIKjVPzZck,,2024-07-29 13:44:16+00:00,,,,J9ZeC7DK,ii_1Phts4FCPJnn9IgIxOQQD0W2,,cus_PwVWIIJEFTUFLM,,in_1PhtrjFCPJnn9IgIzwQstFg9,2024-08-14 01:46:06.900000+00:00,
INVOICE_LINE_ITEM,il_1PkviCFCPJnn9IgIcvzKwMKk,di_1PkviDFCPJnn9IgIk1xfe4kV,,2024-08-06 22:18:36+00:00,,,,J9ZeC7DK,ii_1PkviDFCPJnn9IgITxw5B5IS,,cus_QBu0GQsH5HmvyA,,in_1PkvhNFCPJnn9IgI6HI3iP7a,2024-08-14 01:47:46.175000+00:00,
INVOICE_LINE_ITEM,il_1PgtiyFCPJnn9IgIJHYvqp5g,di_1PgtiyFCPJnn9IgIP2oSbmiV,,2024-07-26 19:22:44+00:00,,,,SHhoZ1Wq,ii_1PgtiyFCPJnn9IgIJ7nZ0F8g,,cus_LwXflDitTfm4QQ,,in_1PgpCxFCPJnn9IgIB5kY5qdc,2024-08-14 01:45:52.437000+00:00,
