discount_id,checkout_session_line_item_id,_fivetran_synced,subscription_id,coupon_id,promotion_code,start,invoice_item_id,checkout_session,invoice_id,end,customer_id,amount
di_estimated_1JXVgFFCPJnn9IgIzLqQaYx6,li_1KnXd8FCPJnn9IgILz6xTCa1,2024-08-14 01:10:21.782000+00:00,,TIERONE,,2024-08-14 01:10:20+00:00,,,,,,10
di_estimated_1JsXDJFCPJnn9IgI3KnMzVMj,li_1K3R2EFCPJnn9IgIzRrVyVTG,2024-08-14 01:15:01.980000+00:00,,kdHP2wWn,,2024-08-14 01:15:00+00:00,,,,,,2000
di_estimated_1JXVgFFCPJnn9IgIzLqQaYx6,li_1LmSVPFCPJnn9IgI5GFa0rzR,2024-08-14 01:03:02.058000+00:00,,TIERONE,,2024-08-14 01:03:01+00:00,,,,,,401
di_1KfrSPFCPJnn9IgIXZLmFGxA,li_1KfrPBFCPJnn9IgIlxfAfXMv,2024-08-14 01:11:09.681000+00:00,sub_1KfrSPFCPJnn9IgIOeoJKQQa,RQF5eVfn,promo_1JYFs1FCPJnn9IgIvyg1gHhC,2022-03-21 20:04:01+00:00,,,,,cus_LMadRwPpkNZW1y,0
di_estimated_1JXVgFFCPJnn9IgIzLqQaYx6,li_1KWNNLFCPJnn9IgI5cMTCVxS,2024-08-14 01:11:54.516000+00:00,,TIERONE,,2024-08-14 01:11:53+00:00,,,,,,100
di_estimated_1JXVgFFCPJnn9IgIzLqQaYx6,li_1M8EWZFCPJnn9IgIIFcA7Z4m,2024-08-14 01:00:41.835000+00:00,,TIERONE,,2024-08-14 01:00:41+00:00,,,,,,3290
di_1LCrx2FCPJnn9IgIIDwnTbMq,li_1LCrueFCPJnn9IgIFRFhRmoj,2024-08-14 01:07:34.909000+00:00,sub_1LCrx2FCPJnn9IgIeHbI1Bxc,TIERONE,,2022-06-20 21:16:04+00:00,,,,,cus_LuhLklsAQNRc4E,0
di_estimated_1K4BV8FCPJnn9IgILDlMDr2n,li_1K5tu8FCPJnn9IgIGqIPsYy2,2024-08-14 01:14:22.635000+00:00,,FREESHIPPING,,2024-08-14 01:14:21+00:00,,,,,,1000
di_estimated_1KoTp2FCPJnn9IgI26gO6A2X,li_1OaX6nFCPJnn9IgI8Gb1V4O3,2024-08-14 00:47:38.777000+00:00,,DrUuSqAA,promo_1KoTp2FCPJnn9IgI26gO6A2X,2024-08-14 00:47:37+00:00,,,,,,1851
di_estimated_1JXVgFFCPJnn9IgIzLqQaYx6,li_1KNmIqFCPJnn9IgIJKPc8IXx,2024-08-14 01:12:31.572000+00:00,,TIERONE,,2024-08-14 01:12:30+00:00,,,,,,0
di_1K7NncFCPJnn9IgI2Kr1GMZH,li_1K7NmBFCPJnn9IgIPinr8vQf,2024-08-14 01:14:03.555000+00:00,sub_1K7NncFCPJnn9IgITAQid970,FREESHIPPING,,2021-12-16 17:31:24+00:00,,,,,cus_KmxjRl7YlE1fUF,0
di_1LYh4cFCPJnn9IgICi6qmLt4,li_1LYh2UFCPJnn9IgIXPnSWAMU,2024-08-14 01:04:33.919000+00:00,sub_1LYh4cFCPJnn9IgIeUvZzKEQ,TIERONE,,2022-08-20 02:06:06+00:00,,,,,cus_MHFZroV9XnBpf0,99
di_1N9yc5FCPJnn9IgI3lYzy5eH,li_1N9yWHFCPJnn9IgIeRGToXYC,2024-08-14 00:56:14.551000+00:00,sub_1N9yc5FCPJnn9IgIez5gcKQh,677VT7Dg,promo_1JSpjeFCPJnn9IgIDRPMklOQ,2023-05-20 22:51:01+00:00,,,,,cus_NvqIcyaqfRCrZU,0
di_1JVFAMFCPJnn9IgIDD7yBiZ8,li_1JVF8UFCPJnn9IgIKJSl7R1J,2024-08-14 01:19:18.805000+00:00,sub_K9YGCSjFTSnyfQ,ZQHPUvLl,promo_1JSpyDFCPJnn9IgI4YxHBLb8,2021-09-02 12:37:14+00:00,,,,,cus_K9YGOLVTGHQJAz,11
di_estimated_1JXVgFFCPJnn9IgIzLqQaYx6,li_1MGrYDFCPJnn9IgI4EOibv86,2024-08-14 00:59:20.160000+00:00,,TIERONE,,2024-08-14 00:59:19+00:00,,,,,,100
di_1K5DvxFCPJnn9IgIr4GGCCtH,li_1K5DtcFCPJnn9IgIRMz6LDQs,2024-08-14 01:14:37.608000+00:00,sub_1K5DvxFCPJnn9IgIbE0ZUYHv,FREESHIPPING,promo_1K4BV9FCPJnn9IgIscbLNZRw,2021-12-10 18:35:05+00:00,,,,,cus_KkjOm4t5d16dF5,0
di_estimated_1JXVgFFCPJnn9IgIzLqQaYx6,li_1Kz2SLFCPJnn9IgIvwxnk4C0,2024-08-14 01:09:11.915000+00:00,,TIERONE,,2024-08-14 01:09:10+00:00,,,,,,130
di_1LCcOkFCPJnn9IgIzQlN4ZR7,li_1LCcMLFCPJnn9IgIUcR5nMYj,2024-08-14 01:07:34.912000+00:00,sub_1LCcOkFCPJnn9IgIHTqfHwEr,TIERONE,,2022-06-20 04:39:38+00:00,,,,,cus_LuRHEK0zbawgto,199
di_1JbtMaFCPJnn9IgIME5KDs5P,li_1JbtDQFCPJnn9IgIFdcChPQa,2024-08-14 01:18:45.922000+00:00,sub_1JbtMaFCPJnn9IgI3hKDJVVp,677VT7Dg,promo_1JSpjeFCPJnn9IgIDRPMklOQ,2021-09-20 20:45:20+00:00,,,,,cus_KGQCBIAo4aVzul,0
di_1LULOvFCPJnn9IgIY4bJ2Q2H,li_1LULNBFCPJnn9IgI1T7pSym5,2024-08-14 01:05:24.268000+00:00,sub_1LULOvFCPJnn9IgIluLOOOqu,TIERONE,,2022-08-08 02:09:05+00:00,,,,,cus_MCku8BJfc5VXeu,99
di_estimated_1K4BV8FCPJnn9IgILDlMDr2n,li_1K7RMXFCPJnn9IgIudJuoTkq,2024-08-14 01:14:03.552000+00:00,,FREESHIPPING,,2024-08-14 01:14:02+00:00,,,,,,0
di_1LZyX6FCPJnn9IgI8OqF3RUC,li_1LZyW9FCPJnn9IgI58yssG0g,2024-08-14 01:04:21.393000+00:00,sub_1LZyX6FCPJnn9IgIMQYA5VuY,TIERONE,,2022-08-23 14:56:48+00:00,,,,,cus_MIZgSeix68SJUt,99
di_1LVjOvFCPJnn9IgIMtpRYv1G,li_1LVjLdFCPJnn9IgIesaTwr0x,2024-08-14 01:05:05.558000+00:00,sub_1LVjOvFCPJnn9IgIEVVroTSV,JWotNU6T,,2022-08-11 21:58:49+00:00,,,,,cus_MEBmD4s5Bkc6SE,0
di_estimated_1K4BV8FCPJnn9IgILDlMDr2n,li_1K5PvcFCPJnn9IgIfAdNx85w,2024-08-14 01:14:29.765000+00:00,,FREESHIPPING,,2024-08-14 01:14:28+00:00,,,,,,0
di_estimated_1JXVgFFCPJnn9IgIzLqQaYx6,li_1OGE1zFCPJnn9IgIhakJdZVN,2024-08-14 00:49:41.405000+00:00,,TIERONE,,2024-08-14 00:49:40+00:00,,,,,,200
di_estimated_1KanMEFCPJnn9IgIqPUHJDTX,li_1LK1mFFCPJnn9IgIMSFCpMpw,2024-08-14 01:06:47.762000+00:00,,JWotNU6T,,2024-08-14 01:06:46+00:00,,,,,,0
di_estimated_1JXVgFFCPJnn9IgIzLqQaYx6,li_1Jy1ECFCPJnn9IgIVq8PYxDU,2024-08-14 01:16:07.812000+00:00,,TIERONE,,2024-08-14 01:16:06+00:00,,,,,,100
di_estimated_1NcvZuFCPJnn9IgIllNKz8FJ,li_1OVznDFCPJnn9IgIkTkn1ucT,2024-01-07 20:30:59.804000+00:00,,RQF5eVfn,promo_1NcvZuFCPJnn9IgIllNKz8FJ,2024-01-07 20:30:59+00:00,,,,,,100
di_estimated_1Kj4e8FCPJnn9IgIKxvxeUlP,li_1Pb6WcFCPJnn9IgILI24hqsq,2024-07-11 00:06:25.231000+00:00,,pBdwPfyh,promo_1Kj4e8FCPJnn9IgIKxvxeUlP,2024-07-11 00:06:23+00:00,,,,,,120
di_1Mfp5GFCPJnn9IgIbXXpHQUI,li_1Mfp3WFCPJnn9IgIrLR6yHXI,2024-08-14 00:58:04.907000+00:00,sub_1Mfp5GFCPJnn9IgIVGlbH3Ll,TIERONE,,2023-02-26 18:36:30+00:00,,,,,cus_NQgSEvZ4RBv9xj,0
di_estimated_1JXVgFFCPJnn9IgIzLqQaYx6,li_1JfnsGFCPJnn9IgI43NG03p6,2024-08-14 01:18:26.590000+00:00,,TIERONE,,2024-08-14 01:18:25+00:00,,,,,,10
di_estimated_1LhyAyFCPJnn9IgIKtFgoeGu,li_1O4aRTFCPJnn9IgI68wJWilV,2024-08-14 00:50:53.911000+00:00,,o8IVe0BF,promo_1LhyAyFCPJnn9IgIKtFgoeGu,2024-08-14 00:50:53+00:00,,,,,,0
di_1JwYNaFCPJnn9IgIVtqZeja5,li_1JwYJZFCPJnn9IgIvB81py6X,2024-08-14 01:16:24.183000+00:00,sub_1JwYNaFCPJnn9IgIX1g19HK8,FRIDAY,promo_1JugDqFCPJnn9IgIFQE6G0Dl,2021-11-16 20:35:46+00:00,,,,2021-12-16 20:35:46+00:00,cus_Kblvwj1qKDTc45,1299
di_1MlcaBFCPJnn9IgIvwZV77pn,li_1MlaYEFCPJnn9IgIFjse9QkC,2024-08-14 00:57:46.778000+00:00,sub_1MlcaBFCPJnn9IgIecWB5Yw4,D1aIAmXZ,promo_1LUX2WFCPJnn9IgIGJfAkH6G,2023-03-14 18:28:22+00:00,,,,,cus_NWfwzVsox4zZYM,0
di_1K8Xe9FCPJnn9IgIqhIN5WfH,li_1K8Xa9FCPJnn9IgIGlkd9bZ0,2024-08-14 01:13:47.311000+00:00,sub_1K8Xe9FCPJnn9IgI4MaGif6B,FREESHIPPING,,2021-12-19 22:14:24+00:00,,,,,cus_Ko9yPdUpMmQ4Td,0
di_estimated_1JXVgFFCPJnn9IgIzLqQaYx6,li_1Mw9n6FCPJnn9IgIPRQCn93f,2024-08-14 00:57:12.937000+00:00,,TIERONE,,2024-08-14 00:57:12+00:00,,,,,,100
di_estimated_1JXVgFFCPJnn9IgIzLqQaYx6,li_1LQkrRFCPJnn9IgIIxx0KObZ,2024-08-14 01:05:59.110000+00:00,,TIERONE,,2024-08-14 01:05:58+00:00,,,,,,0
di_1NpP8mFCPJnn9IgIySoTKT0f,li_1NpP60FCPJnn9IgIY2XZudlP,2024-08-14 00:52:03.118000+00:00,sub_1NpP8mFCPJnn9IgIhwVCLbs5,677VT7Dg,promo_1JSpjeFCPJnn9IgIDRPMklOQ,2023-09-12 05:28:00+00:00,,,,,cus_OceRCkp3iK7Qcr,1990
di_1Ll3OBFCPJnn9IgIln3h9btI,li_1Ll3MsFCPJnn9IgIkjWgTgxR,2024-08-14 01:03:12.349000+00:00,sub_1Ll3OBFCPJnn9IgIpYMZVWvN,TIERONE,,2022-09-23 04:21:23+00:00,,,,,cus_MU1RD0yrInIyPK,1991
di_1JXopPFCPJnn9IgICCWcJcJF,li_1JXon5FCPJnn9IgIxuvmdxIy,2024-08-14 01:19:06.291000+00:00,sub_KCDFAvORPmf7wh,HSjyoorT,promo_1JSpofFCPJnn9IgIYTuaRIF1,2021-09-09 15:06:15+00:00,,,,,cus_KCDFhO896x7CF0,0
di_estimated_1JXVgFFCPJnn9IgIzLqQaYx6,li_1KC66tFCPJnn9IgILAApQBwo,2024-08-14 01:13:22.275000+00:00,,TIERONE,,2024-08-14 01:13:21+00:00,,,,,,0
di_estimated_1K4BV8FCPJnn9IgILDlMDr2n,li_1K6K5RFCPJnn9IgIO0DfHArA,2024-08-14 01:14:18.971000+00:00,,FREESHIPPING,,2024-08-14 01:14:17+00:00,,,,,,0
di_estimated_1JXVgFFCPJnn9IgIzLqQaYx6,li_1Leo4LFCPJnn9IgIWCU5UV4S,2024-08-14 01:03:47.722000+00:00,,TIERONE,,2024-08-14 01:03:46+00:00,,,,,,0
di_estimated_1JSpofFCPJnn9IgIYTuaRIF1,li_1Mr2EMFCPJnn9IgIDyOlIbMT,2024-08-14 00:57:28.218000+00:00,,HSjyoorT,promo_1JSpofFCPJnn9IgIYTuaRIF1,2024-08-14 00:57:27+00:00,,,,,,3290
di_1PcUM7FCPJnn9IgI8ly8dYAA,li_1PcUK7FCPJnn9IgIZ0h4FOfI,2024-08-14 00:42:19.439000+00:00,sub_1PcUM7FCPJnn9IgIHqfW7KdI,yZv56cAg,promo_1Oda4KFCPJnn9IgIPlNIZda0,2024-07-14 15:28:55+00:00,,,,,cus_QTREParcXtIuS9,7272
di_estimated_1JXVgFFCPJnn9IgIzLqQaYx6,li_1LIfNVFCPJnn9IgI0pHFfppF,2024-08-14 01:06:58.020000+00:00,,TIERONE,,2024-08-14 01:06:56+00:00,,,,,,0
di_estimated_1K4BV8FCPJnn9IgILDlMDr2n,li_1K8tSmFCPJnn9IgISbq01UhJ,2024-08-14 01:13:43.378000+00:00,,FREESHIPPING,,2024-08-14 01:13:42+00:00,,,,,,1000
di_estimated_1K4BV8FCPJnn9IgILDlMDr2n,li_1K5bMxFCPJnn9IgIx1hNAiJW,2024-08-14 01:14:26.072000+00:00,,FREESHIPPING,,2024-08-14 01:14:25+00:00,,,,,,0
di_1KW1sUFCPJnn9IgI7MRv4CTG,li_1KW1mWFCPJnn9IgIwOB4uoJZ,2024-08-14 01:11:58.052000+00:00,sub_1KW1sUFCPJnn9IgInaUzO3Oj,TIERONE,,2022-02-22 17:10:18+00:00,,,,,cus_LCQjXg4CFt80zA,3291
di_1KQjAdFCPJnn9IgI14OVYhcs,li_1KQj7SFCPJnn9IgItxsjKDEr,2024-08-14 01:12:18.286000+00:00,sub_1KQjAdFCPJnn9IgIQjVN0Eq8,TIERONE,,2022-02-08 02:11:07+00:00,,,,,cus_L6x4L4bkZ6ZoY4,0
di_1Kvb9OFCPJnn9IgIb0NUdODZ,li_1Kvb0cFCPJnn9IgImEIuRECf,2024-08-14 01:09:32.974000+00:00,sub_1Kvb9OFCPJnn9IgIMeKlGVXk,HSjyoorT,promo_1JSpofFCPJnn9IgIYTuaRIF1,2022-05-04 05:53:26+00:00,,,,,cus_Lcqr2d5HyUvPph,1590
di_estimated_1JXVgFFCPJnn9IgIzLqQaYx6,li_1LLWlTFCPJnn9IgIgBM63gLR,2024-08-14 01:06:37.362000+00:00,,TIERONE,,2024-08-14 01:06:36+00:00,,,,,,3290
di_1L8a0PFCPJnn9IgIaZt12Wib,li_1L8ZyHFCPJnn9IgIe7vH3mhf,2024-08-14 01:07:59.762000+00:00,sub_1L8a0PFCPJnn9IgIevssz6Q1,5cokRoCA,promo_1L0XdvFCPJnn9IgIUQmicXMv,2022-06-09 01:17:49+00:00,,,,2023-05-03 18:57:59+00:00,cus_LqGXJNuA7220wN,0
di_estimated_1JXVgFFCPJnn9IgIzLqQaYx6,li_1LYWJEFCPJnn9IgIMBJvy1cH,2024-08-14 01:04:37.468000+00:00,,TIERONE,,2024-08-14 01:04:36+00:00,,,,,,200
di_1LZbPzFCPJnn9IgIP4Zp41vI,li_1LZbNxFCPJnn9IgIgPJ96eZ7,2024-08-14 01:04:27.478000+00:00,sub_1LZbPzFCPJnn9IgI7SAnFLxF,HSjyoorT,promo_1JSpofFCPJnn9IgIYTuaRIF1,2022-08-22 14:15:55+00:00,,,,,cus_MIBn5vsRbpo92k,200
di_estimated_1JugDqFCPJnn9IgIFQE6G0Dl,li_1Jx2SdFCPJnn9IgIe6zl0W5p,2024-08-14 01:16:14.633000+00:00,,FRIDAY,promo_1JugDqFCPJnn9IgIFQE6G0Dl,2024-08-14 01:16:13+00:00,,,,,,0
di_1KYKloFCPJnn9IgIqQ9NRcg0,li_1KYKaxFCPJnn9IgImUJANMmC,2024-08-14 01:11:47.245000+00:00,sub_1KYKloFCPJnn9IgIxzdrZzRf,HSjyoorT,promo_1JSpofFCPJnn9IgIYTuaRIF1,2022-03-01 01:44:56+00:00,,,,,cus_LEoOgkFFZQCH8e,0
di_estimated_1JXVgFFCPJnn9IgIzLqQaYx6,li_1LrYCrFCPJnn9IgIsf04iuuN,2024-08-14 01:02:36.491000+00:00,,TIERONE,,2024-08-14 01:02:35+00:00,,,,,,0
di_1Jn3ETFCPJnn9IgIYuB6EKbw,li_1Jn3C2FCPJnn9IgIrUq7kNIe,2024-08-14 01:17:53.500000+00:00,sub_1Jn3ETFCPJnn9IgIrDflme0y,TIERONE,,2021-10-21 15:31:05+00:00,,,,,cus_KRx8ivoYm0AGz8,1490
di_estimated_1JXVgFFCPJnn9IgIzLqQaYx6,li_1LbRD5FCPJnn9IgIMV40oNfi,2024-08-14 01:04:11.650000+00:00,,TIERONE,,2024-08-14 01:04:10+00:00,,,,,,100
di_estimated_1JugDqFCPJnn9IgIFQE6G0Dl,li_1Jw58MFCPJnn9IgICLDvDIrC,2024-08-14 01:16:27.713000+00:00,,FRIDAY,promo_1JugDqFCPJnn9IgIFQE6G0Dl,2024-08-14 01:16:26+00:00,,,,,,0
di_estimated_1K4BV8FCPJnn9IgILDlMDr2n,li_1K7PKFFCPJnn9IgI3ue1nOWg,2024-08-14 01:14:03.554000+00:00,,FREESHIPPING,,2024-08-14 01:14:02+00:00,,,,,,0
di_estimated_1JXVgFFCPJnn9IgIzLqQaYx6,li_1Lim0FFCPJnn9IgIzlcKI508,2024-08-14 01:03:23.259000+00:00,,TIERONE,,2024-08-14 01:03:22+00:00,,,,,,3290
di_1P0sXJFCPJnn9IgIt6w8MraQ,li_1P0sTfFCPJnn9IgIkUmoSvij,2024-08-14 00:45:56.900000+00:00,sub_1P0sXJFCPJnn9IgIGrjDtV8r,D1aIAmXZ,promo_1LUX2WFCPJnn9IgIGJfAkH6G,2024-04-01 21:37:00+00:00,,,,,cus_PqZghMevtXsITC,1000
di_1KnlJkFCPJnn9IgICWHcI9qe,li_1KnlJ6FCPJnn9IgIbGO5lPs1,2024-08-14 01:10:21.779000+00:00,sub_1KnlJkFCPJnn9IgIStbeC7PW,TIERONE,,2022-04-12 15:07:43+00:00,,,,,cus_LUkphpA7IOjb0p,0
di_1LXb1uFCPJnn9IgIRNIm0MJc,li_1LXaxjFCPJnn9IgIRFdnV96A,2024-08-14 01:04:44.536000+00:00,sub_1LXb1uFCPJnn9IgIjcvB2rz3,RQF5eVfn,promo_1LPvJBFCPJnn9IgI2DdgeBN3,2022-08-17 01:26:46+00:00,,,,,cus_MG7GaJMfujI6LW,100
di_1PSNVIFCPJnn9IgI2FwXf3S1,li_1PSNQDFCPJnn9IgIqu3GMsA5,2024-08-14 00:43:25.378000+00:00,sub_1PSNVIFCPJnn9IgI8cu3H8BO,Cj0QvYDE,promo_1NG5kbFCPJnn9IgIQ9XrTFtv,2024-06-16 18:08:36+00:00,,,,,cus_QIzUybutzdCZum,1651
di_1NIHPoFCPJnn9IgIAuqVz7A0,li_1NIHNaFCPJnn9IgIHeV0d73u,2024-08-14 00:55:28.558000+00:00,sub_1NIHPoFCPJnn9IgIjTBBc6ir,WELCOME,promo_1JtzJ3FCPJnn9IgIkjq7vIZo,2023-06-12 20:32:40+00:00,,,,,cus_O4QGTyo2lqa9pg,100
di_estimated_1JtzJ3FCPJnn9IgIkjq7vIZo,li_1NVIoyFCPJnn9IgInjJVMKYz,2024-08-14 00:54:18.975000+00:00,,WELCOME,promo_1JtzJ3FCPJnn9IgIkjq7vIZo,2024-08-14 00:54:18+00:00,,,,,,3290
di_1PNzpuFCPJnn9IgIjNEphWfg,li_1PNzkLFCPJnn9IgITuOAbtEF,2024-08-14 00:43:54.130000+00:00,sub_1PNzpuFCPJnn9IgIXsmSiLLc,d3qEU9Ek,promo_1OElmKFCPJnn9IgItPCn0Or4,2024-06-04 16:03:46+00:00,,,,,cus_QESlYs96l78sbe,0
di_1L8CacFCPJnn9IgIB8SoHHB5,li_1L8CZrFCPJnn9IgInbjPDY1J,2024-08-14 01:08:03.425000+00:00,sub_1L8CacFCPJnn9IgIPzfshHig,TIERONE,,2022-06-08 00:17:38+00:00,,,,,cus_LpsLPjlzjTLOEo,2591
di_estimated_1JXVgFFCPJnn9IgIzLqQaYx6,li_1L5uzUFCPJnn9IgIBNdO5Ruu,2024-08-14 01:08:19.944000+00:00,,TIERONE,,2024-08-14 01:08:18+00:00,,,,,,1990
di_1K5YlpFCPJnn9IgI9HqYWhBi,li_1K5YkyFCPJnn9IgInQ83hAtp,2024-08-14 01:14:29.762000+00:00,sub_1K5YlpFCPJnn9IgIkLTZURvm,FREESHIPPING,,2021-12-11 16:50:01+00:00,,,,,cus_Kl4v08bZUyVeFZ,0
di_estimated_1JXVgFFCPJnn9IgIzLqQaYx6,li_1LVGJaFCPJnn9IgI4kDm4ffQ,2024-08-14 01:05:09.094000+00:00,,TIERONE,,2024-08-14 01:05:08+00:00,,,,,,10
di_estimated_1LhyAyFCPJnn9IgIKtFgoeGu,li_1Mway1FCPJnn9IgImARmWzOK,2024-08-14 00:57:12.934000+00:00,,o8IVe0BF,promo_1LhyAyFCPJnn9IgIKtFgoeGu,2024-08-14 00:57:12+00:00,,,,,,3290
di_estimated_1JXVgFFCPJnn9IgIzLqQaYx6,li_1MtlpJFCPJnn9IgIva0ITAoE,2024-08-14 00:57:22.140000+00:00,,TIERONE,,2024-08-14 00:57:21+00:00,,,,,,100
di_1PLvELFCPJnn9IgIrB85ZwZ3,li_1PLvBcFCPJnn9IgIAWKAeyo9,2024-08-14 00:44:06.065000+00:00,sub_1PLvELFCPJnn9IgIyRYSpEgU,FWtwjkGn,promo_1OoBxAFCPJnn9IgIJpLfQSkX,2024-05-29 22:44:25+00:00,,,,,cus_QCJsgjmViVMxN3,120
di_1NKpuWFCPJnn9IgIVlFFwS39,li_1NKprCFCPJnn9IgIB5gahamq,2024-08-14 00:55:12.431000+00:00,sub_1NKpuWFCPJnn9IgIQRlzO5Zl,DrUuSqAA,promo_1KoTp2FCPJnn9IgI26gO6A2X,2023-06-19 21:46:56+00:00,,,,,cus_O742n8YBuyNcH4,1992
di_1NaFIFFCPJnn9IgIBLGRNDVx,li_1NaFEdFCPJnn9IgIRFpBJQ9y,2024-08-14 00:53:50.739000+00:00,sub_1NaFIFFCPJnn9IgIVL2ujZM4,o8IVe0BF,promo_1LhyAyFCPJnn9IgIKtFgoeGu,2023-08-01 09:55:07+00:00,,,,,cus_OMzGCys2BXJLME,3290
di_estimated_1JXVgFFCPJnn9IgIzLqQaYx6,li_1M22IWFCPJnn9IgIbY3kT7WJ,2024-08-14 01:01:39.084000+00:00,,TIERONE,,2024-08-14 01:01:38+00:00,,,,,,1990
di_1LNToVFCPJnn9IgI2tjbKuMN,li_1LNTndFCPJnn9IgIl4958XTn,2024-08-14 01:06:23.016000+00:00,sub_1LNToVFCPJnn9IgI8Thx2Qaw,TIERONE,,2022-07-20 03:43:07+00:00,,,,,cus_M5f8OC0Qt7xj8B,99
di_1KF8OGFCPJnn9IgIiNT9uz3D,li_1KF1XbFCPJnn9IgIvk7anu4w,2024-08-14 01:13:08.060000+00:00,sub_1KF8OGFCPJnn9IgIKrazrhli,RQF5eVfn,promo_1JYFs1FCPJnn9IgIvyg1gHhC,2022-01-07 02:41:16+00:00,,,,,cus_KuyKIDZuGDudEF,0
di_estimated_1JXVgFFCPJnn9IgIzLqQaYx6,li_1NMKtKFCPJnn9IgIfsreSFgS,2024-08-14 00:55:04.278000+00:00,,TIERONE,,2024-08-14 00:55:03+00:00,,,,,,0
