id,canceled_at,completed_at,created,current_phase_start_date,current_phase_end_date,default_settings_collection_method,default_settings_default_payment_method,default_settings_invoice_settings_days_until_due,default_settings_billing_thresholds_amount_gte,default_settings_billing_thresholds_reset_billing_cycle_anchor,end_behavior,livemode,metadata,released_at,released_subscription,status,customer_id,subscription_id,_fivetran_synced
sub_sched_1PieETFCPJnn9IgIUInsypNb,,,2024-07-31 15:14:29+00:00,,,charge_automatically,pm_1ODHASFCPJnn9IgI2sRhV1Mk,,,,release,True,"{""caregiver_user_pool_id"":""9ecfa5bf-5013-4f89-b720-e61ec0f8275d""}",2024-07-31 15:15:20+00:00,sub_1ODHATFCPJnn9IgICTuQeinw,released,cus_P1JoATZPz1NfSj,,2024-08-14 01:20:22.448000+00:00
sub_sched_1Pe2gIFCPJnn9IgIqH1O1X1n,,,2024-07-18 22:20:10+00:00,,,charge_automatically,pm_1MRjMJFCPJnn9IgIslnTyCsb,,,,release,True,"{""caregiver_user_pool_id"":""af10ebc2-1242-4285-a153-a87e5db18a21""}",2024-08-07 22:00:55+00:00,sub_1JwwBWFCPJnn9IgIi3zyPGOZ,released,cus_KcAWih3RGo7KR2,,2024-08-14 01:20:09.719000+00:00
sub_sched_1Pi0LwFCPJnn9IgIJZTUrNKe,,,2024-07-29 20:39:32+00:00,,,charge_automatically,pm_1OdHU5FCPJnn9IgIbNvZWQn4,,,,release,True,"{""caregiver_user_pool_id"":""2962ff12-2fbc-451f-8909-0f6960b8b3ba""}",2024-07-29 20:40:14+00:00,sub_1OdHU6FCPJnn9IgIzyXCuX0l,released,cus_PSBrocKRyuMfhI,,2024-08-14 01:20:20.561000+00:00
sub_sched_1PdXpjFCPJnn9IgIL3uOSvbP,,,2024-07-17 13:23:51+00:00,,,charge_automatically,pm_1MDCM5FCPJnn9IgIwgtMJ3CZ,,,,release,True,"{""caregiver_user_pool_id"":""0285be7d-6bfb-48f9-a1c3-ef214aa1fb8e""}",2024-07-29 19:35:35+00:00,sub_1MDCM6FCPJnn9IgIczHvyVLg,released,cus_Mx6ZTOuTSQ0Rf8,,2024-08-14 01:20:08.321000+00:00
sub_sched_1PmQgYFCPJnn9IgILl8isMCO,,,2024-08-11 01:35:06+00:00,,,charge_automatically,,,,,release,True,"{""caregiver_user_pool_id"":""6b8d437f-6cea-4ab9-9ca7-e80c76f6ecac""}",2024-08-11 01:35:45+00:00,sub_1Paq3KFCPJnn9IgIAO9IAz2n,released,cus_QRjUqwtoBnI8Ma,,2024-08-14 01:20:33.629000+00:00
sub_sched_1PiNXlFCPJnn9IgI7Y1xgcMw,,,2024-07-30 21:25:17+00:00,,,charge_automatically,pm_1JsvRFFCPJnn9IgImomfeg6J,,,,release,True,"{""caregiver_user_pool_id"":""fb63790a-f8c7-43ba-a4c6-8cf0899a24cf""}",2024-08-12 00:00:01+00:00,sub_1JsvRGFCPJnn9IgIFl65AHVY,released,cus_KY1UNb4wIvf4dz,,2024-08-14 01:20:21.635000+00:00
sub_sched_1PfAK8FCPJnn9IgIrrff8oVd,,,2024-07-22 00:41:56+00:00,,,charge_automatically,pm_1LKaaTFCPJnn9IgIDUg6dvch,,,,release,True,"{""caregiver_user_pool_id"":""ae2ec156-f15f-4633-8833-ad51788f5249""}",2024-08-01 04:20:43+00:00,sub_1LKaaUFCPJnn9IgIZLzbv6Ix,released,cus_M2fwhstCRJJ2YZ,,2024-08-14 01:20:12.834000+00:00
sub_sched_1PhDKWFCPJnn9IgIbE3MJIN6,,,2024-07-27 16:18:48+00:00,,,charge_automatically,,,,,release,True,"{""caregiver_user_pool_id"":""65dc7794-1daa-4617-8128-0a8d4526450c""}",2024-08-05 16:33:02+00:00,sub_1POMllFCPJnn9IgI20PSb1x7,released,cus_QEqRyzX6a1Q47k,,2024-08-14 01:20:18.148000+00:00
sub_sched_1PieEZFCPJnn9IgIxjGqAdQt,,,2024-07-31 15:14:35+00:00,,,charge_automatically,pm_1MF1xRFCPJnn9IgIshg8HiXB,,,,release,True,"{""caregiver_user_pool_id"":""ace2f3af-a8d0-42bd-a7be-3d1a93a59170""}",2024-07-31 15:15:53+00:00,sub_1MF1xTFCPJnn9IgIG8WEPHCI,released,cus_Myzx4wXMs8Us4g,,2024-08-14 01:20:22.448000+00:00
sub_sched_1Pkxk2FCPJnn9IgIvFgz5NCQ,,,2024-08-07 00:28:38+00:00,,,charge_automatically,pm_1NhEzEFCPJnn9IgIhy5xjlkW,,,,release,True,"{""caregiver_user_pool_id"":""39dead1b-712b-4056-9933-167698f43276""}",2024-08-07 00:30:03+00:00,sub_1NhEzFFCPJnn9IgIQ43Kbtym,released,cus_OUDQEoTeHrKtDp,,2024-08-14 01:20:29.609000+00:00
sub_sched_1PfMS7FCPJnn9IgI4GoKI9CD,,,2024-07-22 13:38:59+00:00,,,charge_automatically,,,,,release,True,"{""caregiver_user_pool_id"":""8dd001c9-93e3-435c-92c2-94f5648edc6c""}",2024-07-26 02:36:02+00:00,sub_1Mfa5lFCPJnn9IgItUbYw3Ie,released,cus_LH6mE9z5R1urXU,,2024-08-14 01:20:13.283000+00:00
sub_sched_1PjMNCFCPJnn9IgIhsbkqR7T,,,2024-08-02 14:22:26+00:00,,,charge_automatically,pm_1OzNWWFCPJnn9IgIoum8x3xP,,,,release,True,"{""caregiver_user_pool_id"":""cd6d0248-2f93-450d-bba6-7da468a6745a""}",2024-08-02 14:22:55+00:00,sub_1OzNWXFCPJnn9IgI7tjcGJ2d,released,cus_Pp1ZzvH3Fqw2kS,,2024-08-14 01:20:24.759000+00:00
sub_sched_1PlBb1FCPJnn9IgIJlEnBa9S,,,2024-08-07 15:16:15+00:00,,,charge_automatically,pm_1O5wo6FCPJnn9IgI9iekgwxS,,,,release,True,"{""caregiver_user_pool_id"":""2a29bd65-766e-49b5-acd6-af309188f6ec""}",2024-08-07 15:16:45+00:00,sub_1NHEubFCPJnn9IgIDujp4027,released,cus_O3LbPchs0mdA6F,,2024-08-14 01:20:30.069000+00:00
sub_sched_1PlCFzFCPJnn9IgIxZcQGuGe,,,2024-08-07 15:58:35+00:00,,,charge_automatically,pm_1PK4xeFCPJnn9IgI0eT43KjU,,,,release,True,"{""caregiver_user_pool_id"":""72325ccf-4d91-4332-bce8-5bec9456620a""}",2024-08-07 16:00:19+00:00,sub_1PK4xgFCPJnn9IgIQ6cpFEO1,released,cus_QAPnokcULXV7oV,,2024-08-14 01:20:30.141000+00:00
sub_sched_1Pn2AlFCPJnn9IgIVUsjunOx,,,2024-08-12 17:36:47+00:00,,,charge_automatically,pm_1LNoM6FCPJnn9IgIHDGzDU5D,,,,release,True,"{""caregiver_user_pool_id"":""5290b696-21a3-4be4-8c3d-894efec4deb3""}",2024-08-12 17:38:04+00:00,sub_1LNoM7FCPJnn9IgI5Zk6Wqcw,released,cus_M60M6MSDxJPApZ,,2024-08-14 01:20:35.024000+00:00
sub_sched_1PfUqDFCPJnn9IgIiW4HmA6w,,,2024-07-22 22:36:25+00:00,,,charge_automatically,pm_1OPdApFCPJnn9IgIntLVPwHP,,,,release,True,"{""caregiver_user_pool_id"":""5f30fafa-0e98-41cc-97ed-bed3298b996c""}",2024-07-22 22:36:51+00:00,sub_1MHFMhFCPJnn9IgIo82VtPY9,released,cus_MsZzhLjfWDFpVo,,2024-08-14 01:20:13.556000+00:00
sub_sched_1PifzeFCPJnn9IgI9yDFQQOz,,,2024-07-31 17:07:18+00:00,,,charge_automatically,pm_1KsR8PFCPJnn9IgI2KawUFlV,,,,release,True,"{""caregiver_user_pool_id"":""c3a631a0-3b68-42c7-b8c7-582f097c655a""}",2024-07-31 17:07:56+00:00,sub_1KtryRFCPJnn9IgIznRVkMAN,released,cus_LZaJOjekOGVYAh,,2024-08-14 01:20:22.460000+00:00
sub_sched_1PksOmFCPJnn9IgIK3DErqth,,,2024-08-06 18:46:20+00:00,,,charge_automatically,card_1K5gdpFCPJnn9IgIom0YrINv,,,,release,True,"{""caregiver_user_pool_id"":""073a35f0-213f-4709-a434-93c836f9f384""}",2024-08-12 00:00:01+00:00,sub_1JqzvXFCPJnn9IgIafeIgnkl,released,cus_KW1zc3GTHxM5v6,,2024-08-14 01:20:29.383000+00:00
sub_sched_1Pn5kBFCPJnn9IgIbnbdqw18,,,2024-08-12 21:25:35+00:00,,,charge_automatically,src_1NsYx5FCPJnn9IgITsbxOiNJ,,,,release,True,"{""caregiver_user_pool_id"":""4c3c16ec-071a-42f4-8fdb-95448d1d01f2""}",2024-08-12 21:35:56+00:00,sub_K69TipWMUL0dYl,released,cus_IGoYUoPYMNmhYV,,2024-08-14 01:20:35.411000+00:00
sub_sched_1PlZN7FCPJnn9IgI6Xmqk1ot,,,2024-08-08 16:39:29+00:00,,,charge_automatically,pm_1OMgplFCPJnn9IgI0ocXhyBc,,,,release,True,"{""caregiver_user_pool_id"":""9ad839f2-ac9b-4c05-a939-8b3d7abb9bf0""}",2024-08-08 16:41:18+00:00,sub_1LMDMpFCPJnn9IgIBaRgTVrd,released,cus_M4M4OKT9Kti945,,2024-08-14 01:20:31.098000+00:00
sub_sched_1Pj1nXFCPJnn9IgI93EdsAYI,,,2024-08-01 16:24:15+00:00,,,charge_automatically,pm_1Opck7FCPJnn9IgIh92Uyaoy,,,,release,True,"{""caregiver_user_pool_id"":""49eafa74-aace-4f0e-8b6c-53994e679383""}",2024-08-01 16:25:56+00:00,sub_1NWLKZFCPJnn9IgIumStK7Dp,released,cus_LUOvIdPAYSL1Fc,,2024-08-14 01:20:23.519000+00:00
sub_sched_1PlfvUFCPJnn9IgIN3H9JDyL,,,2024-08-08 23:39:24+00:00,,,charge_automatically,pm_1P3kIUFCPJnn9IgInZ3Xwp9G,,,,release,True,"{""caregiver_user_pool_id"":""58c66d2b-47f4-480a-8e04-07cb13563e9f""}",2024-08-08 23:42:02+00:00,sub_1LC2JRFCPJnn9IgI2H4EmL4J,released,cus_LtpzG9Pmdy6OZu,,2024-08-14 01:20:31.325000+00:00
sub_sched_1PkRP4FCPJnn9IgIxobzO1yK,,,2024-08-05 13:56:50+00:00,,,charge_automatically,pm_1Nq2gGFCPJnn9IgI5STwMqFR,,,,release,True,"{""caregiver_user_pool_id"":""4bf32fad-138c-4e27-b615-3dbe5aadc0d1""}",2024-08-05 14:00:36+00:00,sub_1Nq2gHFCPJnn9IgIGq8h9bTf,released,cus_OdJIIVMEc0Q0Ku,,2024-08-14 01:20:28.092000+00:00
sub_sched_1PlHA9FCPJnn9IgIsHT5TZUd,,,2024-08-07 21:12:53+00:00,,,charge_automatically,pm_1Pb48NFCPJnn9IgIXbUrQPu3,,,,release,True,"{""caregiver_user_pool_id"":""7569439a-ceae-4849-b1b3-9eb5cad009d3""}",2024-08-07 21:14:13+00:00,sub_1Pb48OFCPJnn9IgIX7WS91bU,released,cus_QRy4pLXUM6VVla,,2024-08-14 01:20:30.420000+00:00
sub_sched_1Pe2q3FCPJnn9IgIuSSxW9D4,,,2024-07-18 22:30:15+00:00,,,charge_automatically,,,,,release,True,"{""caregiver_user_pool_id"":""693bfef3-cd4d-45b5-aade-3d8230a96461""}",2024-07-18 22:32:21+00:00,sub_1ONJhRFCPJnn9IgIsdW1dGic,released,cus_Mn17f7GD6WhB0w,,2024-08-14 01:20:09.718000+00:00
sub_sched_1PjNRPFCPJnn9IgImhKyfKwX,2024-08-02 19:34:14+00:00,,2024-08-02 15:30:51+00:00,,,charge_automatically,,,,,release,True,"{""caregiver_user_pool_id"":""0895c180-e363-4b48-afdb-e5029dd790bb""}",,,canceled,cus_K6Fph0LeIxhpBC,sub_K7XZW8uHM4QcYO,2024-08-14 01:20:24.723000+00:00
sub_sched_1PinloFCPJnn9IgI1wDPqj1p,,,2024-08-01 01:25:32+00:00,,,charge_automatically,pm_1LZymjFCPJnn9IgIw2AUKDL4,,,,release,True,"{""caregiver_user_pool_id"":""70c5e9b0-3999-427d-9757-132d3d981ca1""}",2024-08-01 01:27:34+00:00,sub_1LZymlFCPJnn9IgILN0EsGgy,released,cus_MIZwT6EXX2oFvo,,2024-08-14 01:20:23.032000+00:00
sub_sched_1PfwSrFCPJnn9IgIMFdhG5uD,,,2024-07-24 04:06:09+00:00,,,charge_automatically,pm_1OQy1MFCPJnn9IgIBXLjq9cH,,,,release,True,"{""caregiver_user_pool_id"":""9a6a127c-b392-4d3a-beb3-e13a29424db5""}",2024-07-24 04:10:27+00:00,sub_1NQW3oFCPJnn9IgIYa7qXGz3,released,cus_OCvvWJIOHY4FqL,,2024-08-14 01:20:14.851000+00:00
sub_sched_1Pj0FDFCPJnn9IgIDUs84oU0,,,2024-08-01 14:44:43+00:00,,,charge_automatically,pm_1NXGodFCPJnn9IgIxNZRl40w,,,,release,True,"{""caregiver_user_pool_id"":""31e35d62-b71a-42a2-afec-7a8489c5556b""}",2024-08-08 13:50:53+00:00,sub_1LRglvFCPJnn9IgI8YPqzGVg,released,cus_MA0nRVvvdU5j4Y,,2024-08-14 01:20:23.590000+00:00
sub_sched_1Pj1nYFCPJnn9IgIOeU0VpEp,,,2024-08-01 16:24:16+00:00,,,charge_automatically,pm_1Opck7FCPJnn9IgIh92Uyaoy,,,,release,True,"{""caregiver_user_pool_id"":""49eafa74-aace-4f0e-8b6c-53994e679383""}",2024-08-01 16:26:00+00:00,sub_1KnQ7nFCPJnn9IgImlf6MKE6,released,cus_LUOvIdPAYSL1Fc,,2024-08-14 01:20:23.519000+00:00
sub_sched_1PcwIBFCPJnn9IgIG7vBhFOf,,,2024-07-15 21:18:43+00:00,,,charge_automatically,src_1OjXh8FCPJnn9IgI6GIuVPCv,,,,release,True,"{""caregiver_user_pool_id"":""dc14cb89-37f1-49be-b691-501dfc38bfa0""}",2024-07-15 21:19:56+00:00,sub_1LZuzdFCPJnn9IgIEtm9mNVZ,released,cus_MIW1Ab3TQfxRmd,,2024-08-14 01:20:06.506000+00:00
sub_sched_1Pi4FmFCPJnn9IgIGMn4x9UG,,,2024-07-30 00:49:26+00:00,,,charge_automatically,pm_1Lpy7ZFCPJnn9IgIovOuxWgw,,,,release,True,"{""caregiver_user_pool_id"":""459fa7ba-594a-4f4a-8ab1-f3f48a163cd4""}",2024-07-30 00:51:45+00:00,sub_1Lpy7aFCPJnn9IgI5JVAhZWB,released,cus_MZ6K8uw1OZXsoP,,2024-08-14 01:20:20.850000+00:00
sub_sched_1PlZKAFCPJnn9IgIk8Ewr2Mq,,,2024-08-08 16:36:26+00:00,,,charge_automatically,,,,,release,True,"{""caregiver_user_pool_id"":""1ab8daec-0171-43f9-a214-87663a591af2""}",2024-08-08 16:37:44+00:00,sub_1Oj5JvFCPJnn9IgIiKnRPgMb,released,cus_M8q8ux2ZmeZNRS,,2024-08-14 01:20:31.098000+00:00
sub_sched_1Pn3GCFCPJnn9IgI2G3nv319,,,2024-08-12 18:46:28+00:00,,,charge_automatically,pm_1LpdHQFCPJnn9IgIPj392u5e,,,,release,True,"{""caregiver_user_pool_id"":""e54c54bd-92d0-47bb-9fe5-726a16b4baff""}",2024-08-12 18:47:56+00:00,sub_1LpdHRFCPJnn9IgIvlCc81o4,released,cus_MYkndVcZngETKV,,2024-08-14 01:20:35.356000+00:00
sub_sched_1PnU5yFCPJnn9IgIlFjsecm2,,,2024-08-13 23:25:42+00:00,,,charge_automatically,pm_1NunUHFCPJnn9IgIeRYtd3Kq,,,,release,True,"{""caregiver_user_pool_id"":""c92ae263-1ab1-405f-9350-616e33410a7d""}",2024-08-13 23:33:14+00:00,sub_1Lq2vmFCPJnn9IgIbfqHAqXM,released,cus_MZBIsusGyLQ8T3,,2024-08-14 01:20:36.379000+00:00
sub_sched_1PlA78FCPJnn9IgI7xfiRVn6,,,2024-08-07 13:41:18+00:00,,,charge_automatically,pm_1NRG1RFCPJnn9IgI8PD6E1dT,,,,release,True,"{""caregiver_user_pool_id"":""85d7ce8d-ff0c-4de6-85d8-e4748d982e69""}",2024-08-07 13:43:29+00:00,sub_1NKQYlFCPJnn9IgIsKDJyYzu,released,cus_O6dp7eooG9Ijzg,,2024-08-14 01:20:30.076000+00:00
sub_sched_1Pe2CJFCPJnn9IgIVIZw3Fux,,,2024-07-18 21:49:11+00:00,,,charge_automatically,,,,,release,True,"{""caregiver_user_pool_id"":""a9840132-4d19-4967-b5d5-d6c27c0cc056""}",2024-07-18 21:52:12+00:00,sub_1NMAgJFCPJnn9IgIqqfIXCgn,released,cus_O6XZT55rE2nFDN,,2024-08-14 01:20:09.719000+00:00
sub_sched_1Phc8sFCPJnn9IgIp36VbG5N,,,2024-07-28 18:48:26+00:00,,,charge_automatically,pm_1MHGXeFCPJnn9IgILHWe02we,,,,release,True,"{""caregiver_user_pool_id"":""7052cc45-f371-4ce7-9538-4b3db90c46c4""}",2024-07-28 18:49:38+00:00,sub_1MHGXgFCPJnn9IgIrLLFWG06,released,cus_N1J98no1XrknFX,,2024-08-14 01:20:19.374000+00:00
sub_sched_1PfR4IFCPJnn9IgIRqOrL0Xd,,,2024-07-22 18:34:42+00:00,,,charge_automatically,pm_1OSMr8FCPJnn9IgIpFpOxEie,,,,release,True,"{""caregiver_user_pool_id"":""9b5c0d4a-9476-415e-863f-b3b2862e5746""}",2024-08-01 00:09:57+00:00,sub_1OB4lsFCPJnn9IgILkksnIDZ,released,cus_Oz2rgXGW5sxH8h,,2024-08-14 01:20:13.530000+00:00
sub_sched_1PfpHhFCPJnn9IgIJFpS0QBg,,,2024-07-23 20:26:09+00:00,,,charge_automatically,pm_1PZceyFCPJnn9IgILPORcYsP,,,,release,True,"{""caregiver_user_pool_id"":""9f5c98f0-a236-4e7f-b10a-159c5191774c""}",2024-08-06 17:44:35+00:00,sub_1PZcf0FCPJnn9IgI68xNhbUS,released,cus_QQTcLCLR9ePbqr,,2024-08-14 01:20:14.547000+00:00
sub_sched_1Pf70RFCPJnn9IgIOWawLlkY,,,2024-07-21 21:09:23+00:00,,,charge_automatically,pm_1JYziGFCPJnn9IgIuDyFyRvj,,,,release,True,"{""caregiver_user_pool_id"":""aab352e1-a87c-4627-94ff-018226ed33ad""}",2024-07-21 21:09:36+00:00,sub_KDQZJByfjv3tkF,released,cus_KDQZCeIQfZImfv,,2024-08-14 01:20:12.639000+00:00
sub_sched_1PlvWvFCPJnn9IgIAjoS5Dx2,,,2024-08-09 16:19:05+00:00,,,charge_automatically,src_1NZa5VFCPJnn9IgIs1MBPdGh,,,,release,True,"{""caregiver_user_pool_id"":""6b1714c6-b160-4375-848f-c6fdc255e9c3""}",2024-08-09 16:19:22+00:00,sub_1LQCp7FCPJnn9IgINbpwozPN,released,cus_M8TmjgknD6O72D,,2024-08-14 01:20:32.024000+00:00
