id,checkout_session_id,price_id,object,amount_subtotal,amount_total,currency,description,_fivetran_synced,amount_tax,quantity,amount_discount
li_1PhYErFCPJnn9IgI6eVXSIzz,cs_live_a109SAPyMRd0Zz9nvOfYkxNH0XlNoPEDtmXR9u4jEyoS4QWl7IPqdUI9GZ,price_1OeWs9FCPJnn9IgIPy8Zi4Aq,item,37900.0,37900.0,usd,Genesis 1 Pack w/ Cellular,2024-08-14 00:41:44.446000+00:00,0,1,0
li_1M8Ek7FCPJnn9IgIsu5KXnnS,cs_live_a109ULMSAZiKmTGfVX29z8TBiDyyzzGpXzJbZSDW3xEH5bZMZ2GWlGRe4D,price_1M70zDFCPJnn9IgI1hOOBRmJ,item,31900.0,33248.0,usd,Slim 5 Pack,2024-08-14 01:00:41.835000+00:00,1348,1,0
li_1M9u5AFCPJnn9IgI8L7rLXT9,cs_live_a10A982bejWCZvhk0Jc6xtY6nXC7k0Hw508lgcVPfsyhwx94NYI8yQ1iAf,price_1M9WEPFCPJnn9IgI9DrN3oiC,item,45900.0,45900.0,usd,Slim 5 Pack w/ Cellular,2024-08-14 01:00:17.379000+00:00,0,1,0
li_1O9gIzFCPJnn9IgIZ26HjQkY,cs_live_a10AIbkQeJaluSQpBRY4erPAjkml4m39ztcChy3qxZHqku0NBTdLKfOZq7,price_1MFfjuFCPJnn9IgImxBbskc1,item,45900.0,48425.0,usd,Slim 5 Pack w/ Cellular (Blue),2024-08-14 00:50:30.534000+00:00,2525,1,0
li_1Mq4z1FCPJnn9IgIouNc1WkE,cs_live_a10AkCtNaz3AZ6ve5Q6NDh5gmK38aBqhnqU93wozjfNiXOL7wICb6U3mgE,price_1MFfiuFCPJnn9IgI5j5mZpSc,item,35900.0,35900.0,usd,Slim 5 Pack,2024-08-14 00:57:31.393000+00:00,0,1,0
li_1Pj0KeFCPJnn9IgIa33LGzQQ,cs_live_a10BY1OfJLsH42YlVWm1rucvEwXAfzHGYO9djnwsapdwmKJmqlwr5uOx53,price_1PbufaFCPJnn9IgI6t8feWnh,item,35900.0,35900.0,usd,Slim 6 Pack,2024-08-14 00:41:29.401000+00:00,0,1,0
li_1NGR2UFCPJnn9IgImEdrNL0v,cs_live_a10CaeASRlwQpy49C26JMYen3KsyDz7LxIzPwFkRMjWyPDXbm8LbEb03Yy,price_1N5BWYFCPJnn9IgILQZTUvME,item,58800.0,58800.0,usd,Plus 3 Pack w/ Cellular,2024-08-14 00:55:40.977000+00:00,0,1,0
li_1OHKvwFCPJnn9IgIQBGoNkX4,cs_live_a10D4zkiiCot6z7mIHldqE87FB0KaGoRpJL4saA0n9pWXWTIP30J44n2sE,price_1M9zTtFCPJnn9IgI6jMLvYvt,item,41900.0,45147.0,usd,Slim 5 Pack w/ Cellular (Blue),2024-08-14 00:49:22.731000+00:00,3247,1,0
li_1PfqvpFCPJnn9IgIzvrsBp9n,cs_live_a10ETEORbYFKDfIABjMFcDS4Ny3xCmvdEYSG7mWpIPqcInJhFnurThWi71,price_1Pbun5FCPJnn9IgISA3XzgA5,item,34900.0,34900.0,usd,Slim 6 Pack w/ Cellular (Additional Kids),2024-08-14 00:41:53.799000+00:00,0,1,0
li_1M9u7CFCPJnn9IgIyHo5CuxQ,cs_live_a10F9qWvATbvu00PhOWfh6ATjCR2T0YdVYOoJ3LO26eqMmsrvIR5htlDU2,price_1M9WEPFCPJnn9IgI9DrN3oiC,item,45900.0,49113.0,usd,Slim 5 Pack w/ Cellular,2024-08-14 01:00:17.379000+00:00,3213,1,0
li_1Pi271FCPJnn9IgIyWnBJtGE,cs_live_a10FmAa4THhtvdAjhlwxw947ekhl9pPRK34gwyNHNgXTeJyOATZ3L9yZze,price_1POp6VFCPJnn9IgIxdcBnoNT,item,48900.0,48900.0,usd,Plus 4 Pack,2024-08-14 00:41:38.414000+00:00,0,1,0
li_1MBDBgFCPJnn9IgIfX62jePn,cs_live_a10HcxrShl8CQhjj00yKLvrBbfVDCQpzO9iON2IqmNcI83lApjnFgEDlx5,price_1M9zV1FCPJnn9IgIllcNVyri,item,42900.0,42900.0,usd,Plus 2 Pack,2024-08-14 01:00:06.533000+00:00,0,1,0
li_1P2ESEFCPJnn9IgIyeGevt7b,cs_live_a10Pxe4pTI5QjAevAX9QFkIerRSDhj1HVD5xhpkZfKY775pesakWIBMsHq,price_1MFfjuFCPJnn9IgImxBbskc1,item,45900.0,45900.0,usd,Slim 5 Pack w/ Cellular (Blue),2024-08-14 00:45:50.538000+00:00,0,1,0
li_1M7MVsFCPJnn9IgI9ki7xaZf,cs_live_a10Q7UMb6J1nAxO9oMaqfZk1Ye40gURMsoCGGWXWG6OTJkHYikD3BU6Clp,price_1M70yJFCPJnn9IgIouYCeazp,item,52900.0,52900.0,usd,Plus 2 Pack w/ Cellular,2024-08-14 01:00:58.110000+00:00,0,1,0
li_1MFlZHFCPJnn9IgIy7K5ag08,cs_live_a10T4rfZmLZSd7LgnMwWMFtAfEyXSvPsvfZz0qMULPgSnxlA0FM60YPLPj,price_1MFfiuFCPJnn9IgI5j5mZpSc,item,35900.0,35900.0,usd,Slim 5 Pack,2024-08-14 00:59:29.782000+00:00,0,1,0
li_1NCwYBFCPJnn9IgIFcJ3Vb0f,cs_live_a10TZhKJt2zadpL7H3wvamYCkUtpNF5PkdcwEwvrAxyDHlYBP4jUPmo6Ud,price_1N5BWWFCPJnn9IgIl1raW03P,item,48900.0,52714.0,usd,Plus 3 Pack,2024-08-14 00:55:58.959000+00:00,3814,1,0
li_1O3m5AFCPJnn9IgINkjAgM5W,cs_live_a10TmiSWuUhWVerLbYC3zmXGfBtT3yIyc2hPYb62OJaLzUSccLOtZCTP6N,price_1N5BWYFCPJnn9IgILQZTUvME,item,58800.0,58800.0,usd,Plus 3 Pack w/ Cellular,2024-08-14 00:50:56.920000+00:00,0,1,0
li_1PPubwFCPJnn9IgI0j9A1Lra,cs_live_a10Trarh2rnlZZHu5WbwqxQwSia0MdxbTuN6bzpHThLMoRBuaqgn2F28rR,price_1OeWruFCPJnn9IgIl5C20sGN,item,25900.0,25900.0,usd,Genesis 1 Pack,2024-08-14 00:43:41.012000+00:00,0,1,0
li_1OLhEXFCPJnn9IgIE22snbfP,cs_live_a10UiMAKBNaEOajliuzQiF9xOparUc3xZsr6Eq7FvpJySZQNSvgGixeoOs,price_1OEig3FCPJnn9IgIrrE3enyb,item,42900.0,42900.0,usd,Plus 3 Pack,2024-08-14 00:48:47.337000+00:00,0,1,0
li_1NboSXFCPJnn9IgINXR2wmmu,cs_live_a10VPbPcD5ZA6VYcjWegnMTFn40y1d0hTVZ7ZCBZMGSmTws7EplZoX0PSa,price_1MFfjuFCPJnn9IgImxBbskc1,item,45900.0,45900.0,usd,Slim 5 Pack w/ Cellular,2024-08-14 00:53:38.750000+00:00,0,1,0
li_1M9BIDFCPJnn9IgIJTRaJehD,cs_live_a10WFx6Q3WkYm1BHJmQ2GOyjcHFXQKiR2GvabGpUb1dBSTrtifojVYqZxz,price_1M70z2FCPJnn9IgIjA1air0Y,item,42900.0,46010.0,usd,Plus 2 Pack,2024-08-14 01:00:28.119000+00:00,3110,1,0
li_1MFlvuFCPJnn9IgID4YnE38C,cs_live_a10ZuTZ8ZxsH5TsyqubDjyGjDe3Y2C5zXUYMqLoylQefJMdmjkcVg6NsyL,price_1MFfjuFCPJnn9IgImxBbskc1,item,45900.0,45900.0,usd,Slim 5 Pack w/ Cellular,2024-08-14 00:59:29.782000+00:00,0,1,0
li_1MEufrFCPJnn9IgIFjM2bpHg,cs_live_a10e6BKl7H1vCSrWZd0AvfDCgECjd8L5cSYhGjs3Wwir7Iqf2VdQC4KOZS,price_1M9zUmFCPJnn9IgIQjkF8ZS2,item,52900.0,56206.0,usd,Plus 2 Pack w/ Cellular,2024-08-14 00:59:38.675000+00:00,3306,1,0
li_1OnuWsFCPJnn9IgI4akwUgNt,cs_live_a10hZMmRKgSbJVc6acPHrVTsCHNxf6t5NjJrSJJPuP0qoiyqN2fkbVcQtW,price_1OeWs9FCPJnn9IgIPy8Zi4Aq,item,37900.0,40648.0,usd,Genesis 1 Pack w/ Cellular,2024-08-14 00:46:50.156000+00:00,2748,1,0
li_1MogpxFCPJnn9IgIY9GQmobd,cs_live_a1087P2be0h7mKE8RQZzk0DUSlDJrTnvvUo2OSW7Dpd0Hl8MvKqKb3eEOb,price_1MFflbFCPJnn9IgILcR6GhJP,item,48900.0,48900.0,usd,Plus 2 Pack,2024-08-14 00:57:36.852000+00:00,0,1,0
li_1NEZy1FCPJnn9IgI3np0gx8z,cs_live_a10FMS66JtrVDmMDNc3qSFGp4htCH5h5plZTXpXlU4YypXJariw0RMmxTx,price_1N48i6FCPJnn9IgIusDuBEuB,item,35900.0,35900.0,usd,Slim 5 Pack (Green),2024-08-14 00:55:50.018000+00:00,0,1,0
li_1OHU29FCPJnn9IgI83e53nIl,cs_live_a10J0ejtnFGqyByU6oetnhzj6lXts5zb1zpzwANlisn4BQYQXNQVFSjaR0,price_1M9zTtFCPJnn9IgI6jMLvYvt,item,41900.0,41900.0,usd,Slim 5 Pack w/ Cellular (Blue),2024-08-14 00:49:22.729000+00:00,0,1,0
li_1OLUTxFCPJnn9IgIlbr2pQjK,cs_live_a10KiDPdu1glGVlSd6ovONwKrtWihNVPpX565c7G18Bw3sa4vUjBsl1UOc,price_1M9zVJFCPJnn9IgIOSLdKGN8,item,31900.0,34372.0,usd,Slim 5 Pack (Blue),2024-08-14 00:48:47.340000+00:00,2472,1,0
li_1Pb70QFCPJnn9IgI9wiXKZlL,cs_live_a10LDQJyGskW1HwPTrPYvPHi50HlMrBWztPfoBTRoL7NsDeyDt7ldv58JC,price_1POp7TFCPJnn9IgIodXhA9Af,item,58900.0,63759.0,usd,Plus 4 Pack w/ Cellular,2024-08-14 00:42:28.910000+00:00,4859,1,0
li_1MpKvGFCPJnn9IgIROvkoj9Q,cs_live_a10M4OFbYpgqDQf1fyWACPU2PeINE2W6tDVUPd27O9GXqd00uwZdWbQlr1,price_1MFflbFCPJnn9IgILcR6GhJP,item,48900.0,52323.0,usd,Plus 2 Pack,2024-08-14 00:57:34.390000+00:00,3423,1,0
li_1MCwk7FCPJnn9IgIU4rKivLN,cs_live_a10MO2bJGH48c31OlzbU8uu2X8zBlzB6lBbJR7DqeYURowOUXnuOGdSHK6,price_1M9zV1FCPJnn9IgIllcNVyri,item,42900.0,42900.0,usd,Plus 2 Pack,2024-08-14 00:59:52.246000+00:00,0,1,0
li_1NBSFkFCPJnn9IgIrbhCCyQy,cs_live_a10N0t3i0flqMYgZC88EozSSUR8wvyxwhLcuri5av864zWFNWsVTLzDygK,price_1N5cwkFCPJnn9IgICfnIP5KH,item,24900.0,24900.0,usd,Slim 5 Pack (Green - Additional Kids),2024-08-14 00:56:08.277000+00:00,0,1,0
li_1N5uFqFCPJnn9IgIe8RviD3v,cs_live_a10NTqy7XwBkgzF1krdVglGEWZ8R57GP61iMVlFNN2GIqUXkbNno7K5u0g,price_1N5BWYFCPJnn9IgILQZTUvME,item,58800.0,58800.0,usd,Plus 3 Pack w/ Cellular,2024-08-14 00:56:35.168000+00:00,0,1,0
li_1JKnBIFCPJnn9IgIpu8rrsZf,cs_live_a10Q0aOK27I9QVwitWZCXOUZkFAqUAA5wWTtFnGPvEzf0acTNTs4V8aDr6,price_1J8rYYFCPJnn9IgI7ezmCKAP,item,500.0,500.0,usd,Bark (Monthly),2024-08-14 01:19:34.770000+00:00,0,1,0
li_1OF1bhFCPJnn9IgIzjHWuO0p,cs_live_a10WC0H5f7uXMzzaKDb0ZldQFCjV6VsaUlcmSkwSKbudt7aHyeI3G1LrB4,price_1M9zVJFCPJnn9IgIOSLdKGN8,item,31900.0,35074.0,usd,Slim 5 Pack (Blue),2024-08-14 00:50:00.314000+00:00,3174,1,0
li_1MJRDXFCPJnn9IgIvygDkXTb,cs_live_a10Wy9fkoF5HCkekLRJEw8pKWEPq0bWBzsND5O5w8Wq8MEQeIbgAntED2t,price_1MFflbFCPJnn9IgILcR6GhJP,item,48900.0,48900.0,usd,Plus 2 Pack,2024-08-14 00:59:10.559000+00:00,0,1,0
li_1OF30rFCPJnn9IgIhUUBSI8C,cs_live_a10XhkPecURFY4NGyr2qAfEKro0k71qT1Z5ejIsLoTXWpPDHEjc6anPNxa,price_1OEig3FCPJnn9IgIrrE3enyb,item,42900.0,46332.0,usd,Plus 3 Pack,2024-08-14 00:50:00.313000+00:00,3432,1,0
li_1NxVWsFCPJnn9IgIwOcAV8nP,cs_live_a10YeS4BxLqid0gscp6nAn3mAsBWLirX7FhwGtytajmFChonIrIr5FPsn7,price_1N5BWWFCPJnn9IgIl1raW03P,item,48900.0,53766.0,usd,Plus 3 Pack,2024-08-14 00:51:24.151000+00:00,4866,1,0
li_1NCSkXFCPJnn9IgI6j4GWzgj,cs_live_a10aFVvu3OSF5QkxSNHNelTX2o7uGoBkD9jfUBKRMbFnefax2ZwOHQG87T,price_1N48i6FCPJnn9IgIusDuBEuB,item,35900.0,38467.0,usd,Slim 5 Pack (Green),2024-08-14 00:56:01.936000+00:00,2567,1,0
li_1N3qPfFCPJnn9IgIr1Z3Hena,cs_live_a10dUocejfyyNsRVAiMUXDQcr1GSfMRGDgFqTSDjAKtxtn5gojvDa1uGtK,price_1MFfjuFCPJnn9IgImxBbskc1,item,45900.0,45900.0,usd,Slim 5 Pack w/ Cellular,2024-08-14 00:56:43.869000+00:00,0,1,0
li_1MF80BFCPJnn9IgIKLfi4U3a,cs_live_a10eZDxj0EhivUEJ2o3EBXqUm3hyD7WRNsZyzMZXnyNkJ5jIiV473WYKab,price_1M9zV1FCPJnn9IgIllcNVyri,item,42900.0,42900.0,usd,Plus 2 Pack,2024-08-14 00:59:35.689000+00:00,0,1,0
li_1NalnSFCPJnn9IgIK5TCfufQ,cs_live_a10fToZM5ScRaN3IlKVIruMDWUPmQSB7BogOhLyFAZ1hQKTmP9obtWDBGo,price_1MFfiuFCPJnn9IgI5j5mZpSc,item,35900.0,38610.0,usd,Slim 5 Pack,2024-08-14 00:53:44.756000+00:00,2710,1,0
li_1MnufQFCPJnn9IgIYJMnaT3W,cs_live_a10hx5H40wxPte04BwBjjB8GlVMMI3aPd32Zkypx4PkeK3uaB1ZSOVoZQe,price_1MFflbFCPJnn9IgILcR6GhJP,item,48900.0,48900.0,usd,Plus 2 Pack,2024-08-14 00:57:39.897000+00:00,0,1,0
li_1OG9IXFCPJnn9IgIwLoCR30D,cs_live_a10j6zLCzQ3vvWwl9CpRImsPOnGICsR1ooOOqP8deBPPPMyg4uOqaMtYZ4,price_1OEieSFCPJnn9IgIDsZB63o6,item,31900.0,34492.0,usd,Plus 3 Pack (Additional Kids),2024-08-14 00:49:44.512000+00:00,2592,1,0
li_1NeJIaFCPJnn9IgI2nMNA7aZ,cs_live_a10kLpSkRXLKLvlMW7LlQhDi4qPbMgV8fLJx3wVBaxVsycCu0InTKTc2O0,price_1MFfiuFCPJnn9IgI5j5mZpSc,item,35900.0,38862.0,usd,Slim 5 Pack,2024-08-14 00:53:17.781000+00:00,2962,1,0
li_1MmqltFCPJnn9IgIMD2se5bl,cs_live_a10kWiQvpr3rUV2jNaHclStNeMwexAHEVrh3kKMO9ihWr20CGCh4EaCnPm,price_1MFfkjFCPJnn9IgImWVPpn91,item,58900.0,64496.0,usd,Plus 2 Pack w/ Cellular,2024-08-14 00:57:43.595000+00:00,5596,1,0
li_1MIcjpFCPJnn9IgIo63Qpwi4,cs_live_a10oBmyKHXl81NgOHsj5W2cEkdbLdP7ZlERCnenWHStH21qngmt096H2D0,price_1MFflbFCPJnn9IgILcR6GhJP,item,48900.0,50807.0,usd,Plus 2 Pack,2024-08-14 00:59:13.763000+00:00,1907,1,0
li_1Nr9P5FCPJnn9IgI9uP7MaqT,cs_live_a10y1yRtIYxA8UpNDqyp8ksf6AqYYtXy2vE9fPjzrJiwmiBe657Qml2CwO,price_1MFfiuFCPJnn9IgI5j5mZpSc,item,35900.0,37875.0,usd,Slim 5 Pack (Blue),2024-08-14 00:51:53.567000+00:00,1975,1,0
li_1N5bDsFCPJnn9IgIAMeXlA47,cs_live_a10y8sglU9j7NBmZS3Uu9jLhstxv472NRO4N1auRW6h4753UVResZV4aMR,price_1MFfoKFCPJnn9IgIybXu128X,item,24900.0,24900.0,usd,Slim 5 Pack (Additional Kids),2024-08-14 00:56:37.759000+00:00,0,1,0
li_1NNMCMFCPJnn9IgId2hbYLtm,cs_live_a10z7fEsn6s2hxySn5pd63oIJG7iLvwrnNffTrshgTJxeJHgperFQ2LYL6,price_1N5BWWFCPJnn9IgIl1raW03P,item,48900.0,52445.0,usd,Plus 3 Pack,2024-08-14 00:55:01.231000+00:00,3545,1,0
li_1OIOABFCPJnn9IgIYdaWoMYA,cs_live_a111B9JrLtR7HSMRunRSHnKjcaNnO66hlPIBbrCOFRmnoTbB9WR1XLCbiS,price_1OEig3FCPJnn9IgIrrE3enyb,item,42900.0,45742.0,usd,Plus 3 Pack,2024-08-14 00:49:13.277000+00:00,2842,1,0
li_1NcgoKFCPJnn9IgINC1If8Vo,cs_live_a116faVavuVkbJepxu1jPCYtZPYdFH9bpUqdxpcoraSvIuCKRvVdd1ugMq,price_1N5BWWFCPJnn9IgIl1raW03P,item,48900.0,48900.0,usd,Plus 3 Pack,2024-08-14 00:53:29.457000+00:00,0,1,0
li_1NUupZFCPJnn9IgI9zsGHoTO,cs_live_a1171IWkncek6hr2CzH4jUvdzwfw8PgBpDHPNXq15szXtG0m2prBb0BxWW,price_1N48iCFCPJnn9IgIEPGPy9Un,item,45800.0,48548.0,usd,Slim 5 Pack w/ Cellular (Green),2024-08-14 00:54:22.118000+00:00,2748,1,0
li_1MDAnTFCPJnn9IgI2ZIK4UkQ,cs_live_a117X0otVX79tUyKIkQvUkbDa8RKS3t6apB3ApaMI3oHCjkg8Ntr93dNOG,price_1M9zV1FCPJnn9IgIllcNVyri,item,42900.0,42900.0,usd,Plus 2 Pack,2024-08-14 00:59:52.242000+00:00,0,1,0
li_1NEJ1JFCPJnn9IgIRje9NXfF,cs_live_a119k8bOVZ9nHjGhnFwJbjjNpXaEYJjrdEDJuXrILoR4pdrvqHpfwe0AB3,price_1N48iCFCPJnn9IgIEPGPy9Un,item,45800.0,49464.0,usd,Slim 5 Pack w/ Cellular (Green),2024-08-14 00:55:50.020000+00:00,3664,1,0
li_1ORe7CFCPJnn9IgID6Nfqwh4,cs_live_a119py0oB73Z9244Jv42oQJ7KA3b79CjEUAenfZT9JNAQmnq2piuJQGHD7,price_1OEig3FCPJnn9IgIrrE3enyb,item,42900.0,46073.0,usd,Plus 3 Pack,2024-08-14 00:48:07.339000+00:00,3173,1,0
li_1Ov44mFCPJnn9IgITi0S7Esp,cs_live_a11ALC849JdbYzy3ZnbPuuBBymwDsvJcM7jdjYrLYETLjlEJz7P0J4cXtv,price_1N5BWWFCPJnn9IgIl1raW03P,item,48900.0,48900.0,usd,Plus 3 Pack,2024-08-14 00:46:20.980000+00:00,0,1,0
li_1NbAzZFCPJnn9IgI7xW0Hckd,cs_live_a11FgY8IlVmOMWcQtzgqvTkdcbS4ZozNXxOMbTVbydZNybvk54XEaICMfF,price_1N5BWbFCPJnn9IgIwFct16xz,item,37900.0,37900.0,usd,Plus 3 Pack (Additional Kids),2024-08-14 00:53:42.114000+00:00,0,1,0
li_1MFBzbFCPJnn9IgIbHK4K1cX,cs_live_a11I3ByfAXXlKkAcsJrbNcCmQzgXq63aZfy1LRsi3ZMbs5vJlW0BZ7i68v,price_1M9zUmFCPJnn9IgIQjkF8ZS2,item,52900.0,52900.0,usd,Plus 2 Pack w/ Cellular,2024-08-14 00:59:35.688000+00:00,0,1,0
li_1MAcMyFCPJnn9IgIKliJgFvf,cs_live_a11MPLXpvX9cKf2hBETeYoUEsEBQMNI0zmx8pUFTS1Gwcp5i5HQjAbY37J,price_1M9zV1FCPJnn9IgIllcNVyri,item,42900.0,46225.0,usd,Plus 2 Pack,2024-08-14 01:00:12.347000+00:00,3325,1,0
li_1M846VFCPJnn9IgIValMbHRq,cs_live_a11NuPG7JxqjuhHc2i7i0rD3ahes40E7ThA0pBacM2kKpIYUW9lNMhnAUS,price_1M70z2FCPJnn9IgIjA1air0Y,item,42900.0,46010.0,usd,Plus 2 Pack,2024-08-14 01:00:50.077000+00:00,3110,1,0
li_1NgFLeFCPJnn9IgIayBNXtWE,cs_live_a11SP5FYMVHOnw5xtXNOKPU9cDWpeohClT0EOoI9JSlXOwU06KryKRRRJQ,price_1MFfjuFCPJnn9IgImxBbskc1,item,45900.0,48746.0,usd,Slim 5 Pack w/ Cellular,2024-08-14 00:53:01.682000+00:00,2846,1,0
li_1PHWnkFCPJnn9IgISGBfEmqs,cs_live_a11Vp1VQ7SoKcnQEneN114Ivf4lPwvpUrpgObHclkQpnlbHWdHRPBKSU7W,price_1N5BWbFCPJnn9IgIwFct16xz,item,37900.0,37900.0,usd,Plus 3 Pack (Additional Kids),2024-08-14 00:44:33.387000+00:00,0,1,0
li_1M8aaIFCPJnn9IgIAg9VlBRW,cs_live_a11YC0qEk09kCizlI6YAZyPuvmexpLE0DHTPqS4bLZcome8Y3SoPzAUaKs,price_1M71X8FCPJnn9IgILyfQA6S9,item,20900.0,22697.0,usd,Slim 5 Pack (Additional Kids),2024-08-14 01:00:36.504000+00:00,1797,1,0
li_1MulrkFCPJnn9IgIAb5SlDL0,cs_live_a11dxZ24GSrdGzk6DjERPPcaVwILkMFbMoHiVfIOaMJtClNtHdMguIfgFt,price_1MFflbFCPJnn9IgILcR6GhJP,item,48900.0,52323.0,usd,Plus 2 Pack,2024-08-14 00:57:18.973000+00:00,3423,1,0
li_1OF33BFCPJnn9IgIQLj8kYjx,cs_live_a11e8RoYcJSMkfPjxHgPw9Pbi0J5mPdW38V8NCm1eMwbzZJuVJKfytS4hR,price_1OEig3FCPJnn9IgIrrE3enyb,item,42900.0,46332.0,usd,Plus 3 Pack,2024-08-14 00:50:00.313000+00:00,3432,1,0
li_1NAbbBFCPJnn9IgIKqhvcNgf,cs_live_a11hLHTKe6e61jiv13ddVrhfM5mWYMwKaMpQNbX92m7RC5eSo7yxghq2uc,price_1N5BWYFCPJnn9IgILQZTUvME,item,58800.0,63680.0,usd,Plus 3 Pack w/ Cellular,2024-08-14 00:56:11.341000+00:00,4880,1,0
li_1MEFvlFCPJnn9IgIwF73VweD,cs_live_a11iim7Lv0kFN8Tl3g29oRVhGoshLtY4WgvXEvdhbcF0wDpGgeUdKgt7gf,price_1M9zV1FCPJnn9IgIllcNVyri,item,42900.0,42900.0,usd,Plus 2 Pack,2024-08-14 00:59:44.162000+00:00,0,1,0
li_1OFHpBFCPJnn9IgI5fzJMdbs,cs_live_a11j4HgzwkfRElxI1KMdihvuBqpmewU3rWw1L0nRZJ7MclyKkepEa11mPe,price_1M9zVJFCPJnn9IgIOSLdKGN8,item,31900.0,33655.0,usd,Slim 5 Pack (Blue),2024-08-14 00:50:00.310000+00:00,1755,1,0
li_1OOiyBFCPJnn9IgIy8lW0Jid,cs_live_a11jLn2jZFremuFeJxMGGfGnHJygSZT2G60XxFxUjn6ZaUFTFH6N2o6m2Q,price_1OEidBFCPJnn9IgIf2yIG62B,item,52900.0,56735.0,usd,Plus 3 Pack w/ Cellular,2024-08-14 00:48:20.684000+00:00,3835,1,0
li_1NBf7FFCPJnn9IgIMZ3MXVmU,cs_live_a11jffwLzu3dydl7n81knMrqVsxcU6igdtu7Tv3i6gZgkfRk8Zx7gyYA0a,price_1N5BWYFCPJnn9IgILQZTUvME,item,58800.0,63063.0,usd,Plus 3 Pack w/ Cellular,2024-08-14 00:56:05.091000+00:00,4263,1,0
li_1PNpWTFCPJnn9IgImzyWGZjZ,cs_live_a11kOhRJe6vfs8AOB4Do7VPpn3rhfjSbVgnFohilYyw5yt6KdMAaYFjbg9,price_1N5BWWFCPJnn9IgIl1raW03P,item,48900.0,52690.0,usd,Plus 3 Pack,2024-08-14 00:43:54.131000+00:00,3790,1,0
li_1MakSvFCPJnn9IgIoVoIDsYY,cs_live_a11mrdKKYSVPigQVxh5XKFyf8r0489J5JXHNRK5MXLLXNxH0JQPA5f7iRZ,price_1MFflbFCPJnn9IgILcR6GhJP,item,48900.0,48900.0,usd,Plus 2 Pack,2024-08-14 00:58:20.489000+00:00,0,1,0
