id,amount,currency,date,description,discountable,livemode,metadata,period_start,period_end,proration,quantity,unit_amount,is_deleted,plan_id,price_id,customer_id,invoice_id,subscription_id,subscription_item_id,_fivetran_synced,test_clock,unit_amount_decimal
ii_1LHxAAFCPJnn9IgIdyknncVp,-1344,usd,2022-07-04 21:50:38+00:00,Unused time on Subscription (Monthly) after 04 Jul 2022,False,True,{},1656971438,1659373200,True,1,-1344,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_IUeclREQfX746J,,sub_K69eRvtkCpgAOt,si_K69eVWWQETKjHa,2022-07-05 02:29:56.094000+00:00,,
ii_1LIGJtFCPJnn9IgI1437rZtF,-851,usd,2022-07-05 18:17:57+00:00,Unused time on Subscription (Monthly) after 05 Jul 2022,False,True,{},1657045076,1658517386,True,1,-851,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_K9eisvCsDtPfP0,,sub_K9eimacyFxFyBl,si_Lt0e6zNLBjj8SN,2022-07-05 20:30:00.080000+00:00,,
ii_1LIHpKFCPJnn9IgIWFKcFgBQ,-1300,usd,2022-07-05 19:54:30+00:00,Unused time on Subscription (Monthly) after 05 Jul 2022,False,True,{},1657050869,1659373200,True,1,-1300,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_JyJfPJUmhVetTH,,sub_K6B1mtQ6gGpkdm,si_K6B1PylkSKpgvH,2022-07-05 20:30:06.341000+00:00,,
ii_1LIIGZFCPJnn9IgIKNoAFwZu,-1731,usd,2022-07-05 20:22:39+00:00,Unused time on 2 × Subscription (Monthly) after 05 Jul 2022,False,True,{},1657052558,1659373200,True,2,-1731,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_JwVyEHkYOhx0Lh,,sub_K6AxiqLAWmYVQh,si_K6Ax7w6WJ4y9FK,2022-07-06 02:29:58.437000+00:00,,
ii_1LIME0FCPJnn9IgItsFF6zv0,24900,usd,2022-07-06 00:36:16+00:00,Rugged (X8) (Yellow),True,True,{},1657067776,1657067776,False,1,24900,True,,price_1J8rnxFCPJnn9IgIvj59LAcC,cus_K0givYI54mnhPp,in_1LIMDlFCPJnn9IgIOMpCPF0a,,,2022-07-06 02:30:28.284000+00:00,,
ii_1LIY8kFCPJnn9IgIZFiATUlT,-422,usd,2022-07-06 13:19:38+00:00,Unused time on Bark (Monthly) after 06 Jul 2022,False,True,{},1657113577,1659373200,True,1,-422,True,price_1J8rYYFCPJnn9IgI7ezmCKAP,price_1J8rYYFCPJnn9IgI7ezmCKAP,cus_JR0xh4SYf7WZT7,,sub_K6AFzl8RnYZnzN,si_K6AF2SMu1r9UMe,2022-07-06 14:29:58.144000+00:00,,
ii_1LIeEjFCPJnn9IgIpmr7030D,-1484,usd,2022-07-06 19:50:13+00:00,Unused time on 2 × Subscription (Monthly) after 06 Jul 2022,False,True,{},1657137012,1659062525,True,2,-1484,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_KYs1IfjnHsuwZ5,,sub_1JtkHhFCPJnn9IgI0HjMJLD3,si_KYs19X6m8J2yGB,2022-07-06 20:30:15.126000+00:00,,
ii_1LIe9PFCPJnn9IgIS7zzcMp5,32900,usd,2022-07-06 19:44:43+00:00,Plus (A13 5G),True,True,{},1657136683,1657136683,False,1,32900,True,,price_1KzrwPFCPJnn9IgI50g9rO52,cus_LxIf80nVtQXXZi,in_1LIe77FCPJnn9IgIWFgBRESX,,,2022-07-06 20:30:15.114000+00:00,,
ii_1LIrlXFCPJnn9IgI0gggCdOB,-1222,usd,2022-07-07 10:16:59+00:00,Unused time on Subscription (Monthly) after 07 Jul 2022,False,True,{},1657189018,1659373200,True,1,-1222,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_IoTMX1iVaJQD8I,,sub_K69vPPQx1wxQf0,si_K69vGoitsEBFK9,2022-07-07 14:29:54.821000+00:00,,
ii_1LIzJfFCPJnn9IgI1ksoPQK5,-1206,usd,2022-07-07 18:20:43+00:00,Unused time on Subscription (Monthly) after 07 Jul 2022,False,True,{},1657218042,1659373200,True,1,-1206,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_JxG5ggv63hbG12,,sub_K6AyK83knfWBxg,si_K6AyTyeGLr2QKP,2022-07-07 20:30:19.599000+00:00,,
ii_1LJ6MiFCPJnn9IgIB753kdfE,-546,usd,2022-07-08 01:52:20+00:00,Unused time on Subscription (Monthly) after 08 Jul 2022,False,True,{},1657245139,1658188800,True,1,-546,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_LhWKZjvsXh0jo8,,sub_1L07IIFCPJnn9IgITvstskoA,si_LhWK6mThirqMIU,2022-07-08 02:30:10.689000+00:00,,
ii_1LJ2neFCPJnn9IgIF4AgpJSn,-4,usd,2022-07-07 22:03:54+00:00,Unused time on Subscription (Monthly) after 07 Jul 2022,False,True,{},1657231433,1657238400,True,1,-4,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_KnHa8laOL5MHs3,,sub_1K7h1SFCPJnn9IgI7s2Nbc4w,si_KnHaEf5OWTKNMM,2022-07-08 02:29:56.582000+00:00,,
ii_1LJN4CFCPJnn9IgIjCyacLfw,-320,usd,2022-07-08 19:42:20+00:00,Unused time on Subscription (Monthly) after 08 Jul 2022,False,True,{},1657309339,1657863474,True,1,-320,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_LOEnZ6lq7DzS3n,,sub_1KhSJyFCPJnn9IgIpvktJUSN,si_LOEnJ6Tb8Tfwub,2022-07-08 20:30:08.427000+00:00,,
ii_1LJp9FFCPJnn9IgIXnr44snp,-357,usd,2022-07-10 01:41:25+00:00,Unused time on Bark (Monthly) after 10 Jul 2022,False,True,{},1657417284,1659330000,True,1,-357,True,price_1J8rYYFCPJnn9IgI7ezmCKAP,price_1J8rYYFCPJnn9IgI7ezmCKAP,cus_JjCNo1XIRiadhh,,sub_1Jfdt5FCPJnn9IgILwAA6hpF,si_Lt0xMK4gWZG8tL,2022-07-10 02:30:13.150000+00:00,,
ii_1LGr7vFCPJnn9IgIKXOBa5LB,-1184,usd,2022-07-01 21:11:47+00:00,Unused time on Subscription (Monthly) after 01 Jul 2022,False,True,{},1656709907,1658757357,True,1,-1184,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_LGV55O7K4nBYbL,,sub_1KZy5RFCPJnn9IgICOlsiOh2,si_LGV5LMnJlQFlBW,2022-07-02 02:29:55.060000+00:00,,
ii_1LGwwCFCPJnn9IgIjOlyPqpc,-1478,usd,2022-07-02 03:24:04+00:00,Unused time on Subscription (Monthly) after 02 Jul 2022,False,True,{},1656732244,1659373200,True,1,-1478,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_IxbcopoMTDInKa,,sub_K69yW8eCJCcCQM,si_K69y48wY5bAsnI,2022-07-02 08:30:01.889000+00:00,,
ii_1LHCRGFCPJnn9IgIvDA97FIu,-1445,usd,2022-07-02 19:57:10+00:00,Unused time on Subscription (Monthly) after 02 Jul 2022,False,True,{},1656791829,1659373200,True,1,-1445,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_JjoUPLm0Vajv2b,,sub_K6AdaIzqL1lGEJ,si_K6AdkVpnBzByGp,2022-07-02 20:30:03.236000+00:00,,
ii_1LHMuTFCPJnn9IgIYmpIxZ5F,-1422,usd,2022-07-03 07:08:01+00:00,Unused time on Subscription (Monthly) after 03 Jul 2022,False,True,{},1656832080,1659373200,True,1,-1422,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_IwSuvZ0hS7pvGf,,sub_K69SOSlkWEMacQ,si_K69S4DJDHpaCPm,2022-07-03 08:29:58.288000+00:00,,
ii_1LHL6LFCPJnn9IgIyLfVTWef,-381,usd,2022-07-03 05:12:09+00:00,Unused time on Bark (Monthly) after 03 Jul 2022,False,True,{},1656825128,1658801399,True,1,-381,True,price_1J8rYYFCPJnn9IgI7ezmCKAP,price_1J8rYYFCPJnn9IgI7ezmCKAP,cus_KM7pHffCCaZmgz,,sub_1JhPZzFCPJnn9IgIlYNgcdVY,si_Lt0Lq73gxpcXrs,2022-07-03 08:29:55.307000+00:00,,
ii_1LHWGkFCPJnn9IgIXdmky2ln,-1869,usd,2022-07-03 17:07:38+00:00,Unused time on 2 × Subscription (Monthly) after 03 Jul 2022,False,True,{},1656868057,1659373200,True,2,-1869,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_IdhQVc3rSC4U0a,,sub_K69qX8CK1wrtA1,si_K69qOJVigvkyVt,2022-07-03 20:29:57.377000+00:00,,
ii_1LI0teFCPJnn9IgIRd6lhb1f,-46,usd,2022-07-05 01:49:50+00:00,Unused time on Subscription (Monthly) after 05 Jul 2022,False,True,{},1656985790,1657065600,True,1,-46,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_KkoJqSGzOALgjD,,sub_1K5IghFCPJnn9IgIB3gpnmFd,si_KkoJmu9IvtGRYp,2022-07-05 08:29:53.725000+00:00,,
ii_1LILPSFCPJnn9IgI6XMVaFBu,-201,usd,2022-07-05 23:44:02+00:00,Unused time on Subscription (Monthly) after 05 Jul 2022,False,True,{},1657064641,1657411553,True,1,-201,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_KG6DSZqItpcP9L,,sub_1Jba17FCPJnn9IgIyTFoddc9,si_Lt0U3p4FHvslDz,2022-07-06 02:30:09.106000+00:00,,
ii_1LIME5FCPJnn9IgIkBIcCKlZ,1000,usd,2022-07-06 00:36:21+00:00,Three Business Days,True,True,{},1657067781,1657067781,False,1,1000,True,,price_1JmO0JFCPJnn9IgIyXChYvMf,cus_K0givYI54mnhPp,in_1LIMDlFCPJnn9IgIOMpCPF0a,,,2022-07-06 02:30:28.283000+00:00,,
ii_1LIUuaFCPJnn9IgINv5O0zdY,-1479,usd,2022-07-06 09:52:48+00:00,Unused time on Subscription (Monthly) after 06 Jul 2022,False,True,{},1657101167,1659744000,True,1,-1479,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_Kkf013EKBBPWF6,,sub_1K59gdFCPJnn9IgIeejWXdzk,si_Kkf0gO52cSG32X,2022-07-06 14:29:53.465000+00:00,,
ii_1LIaDEFCPJnn9IgIxm7DRqe3,-841,usd,2022-07-06 15:32:24+00:00,Unused time on 2 × Bark (Monthly) after 06 Jul 2022,False,True,{},1657121543,1659373200,True,2,-841,True,price_1J8rYYFCPJnn9IgI7ezmCKAP,price_1J8rYYFCPJnn9IgI7ezmCKAP,cus_JjZszvaYhmN6WO,,sub_K6AcEhfaEVr6pr,si_K6Acl4oGWA64Kq,2022-07-06 20:29:57.846000+00:00,,
ii_1LIcNuFCPJnn9IgIrMALQh1W,-320,usd,2022-07-06 17:51:34+00:00,Unused time on Bark (Monthly) after 06 Jul 2022,False,True,{},1657129893,1658787526,True,1,-320,True,price_1J8rYYFCPJnn9IgI7ezmCKAP,price_1J8rYYFCPJnn9IgI7ezmCKAP,cus_LGdCy0wAqK3l3n,,sub_1Ka5w2FCPJnn9IgIvqQwv2Xt,si_LGdC0OorOuwJIW,2022-07-06 20:30:04.343000+00:00,,
ii_1LIwDwFCPJnn9IgIXmSgVORU,-278,usd,2022-07-07 15:02:36+00:00,Unused time on Bark (Monthly) after 07 Jul 2022,False,True,{},1657206155,1658648559,True,1,-278,True,price_1J8rYYFCPJnn9IgI7ezmCKAP,price_1J8rYYFCPJnn9IgI7ezmCKAP,cus_KX4k0AakMn6fhT,,sub_1Js0apFCPJnn9IgIRoqHLRkT,si_KX4kL5J5qLid7d,2022-07-07 20:30:07.806000+00:00,,
ii_1LIwDyFCPJnn9IgIXgAfl4dA,-834,usd,2022-07-07 15:02:38+00:00,Unused time on Subscription (Monthly) after 07 Jul 2022,False,True,{},1657206157,1658648559,True,1,-834,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_KX4k0AakMn6fhT,,sub_1Js0apFCPJnn9IgIRoqHLRkT,si_KX4k5F5imYqitd,2022-07-07 20:30:07.806000+00:00,,
ii_1LJq7wFCPJnn9IgIek3O5nUA,-1093,usd,2022-07-10 02:44:08+00:00,Unused time on Subscription (Monthly) after 10 Jul 2022,False,True,{},1657421047,1659373200,True,1,-1093,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_IZ8A6eSeHkz8J6,,sub_K69nLJZfMjHkh6,si_K69nu4mEjY7Kkl,2022-07-10 08:29:55.887000+00:00,,
ii_1LK5wCFCPJnn9IgIb1mPmhbf,-1064,usd,2022-07-10 19:37:04+00:00,Unused time on Subscription (Monthly) after 10 Jul 2022,False,True,{},1657481823,1659382456,True,1,-1064,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_LJD77vQnk5ATMK,,sub_1KcahgFCPJnn9IgImOR6kq5D,si_LJD7ZWA3jA5QuL,2022-07-10 20:30:04.488000+00:00,,
ii_1LK2ivFCPJnn9IgIYM49hHN1,-355,usd,2022-07-10 16:11:09+00:00,Unused time on Bark (Monthly) after 10 Jul 2022,False,True,{},1657469468,1659373200,True,1,-355,True,price_1J8rYYFCPJnn9IgI7ezmCKAP,price_1J8rYYFCPJnn9IgI7ezmCKAP,cus_Jk9jhhIlZeQyHQ,,sub_K6AeWGiqUGYMcD,si_K6Ae5mmQ4Nvmun,2022-07-10 20:29:53.081000+00:00,,
ii_1LK2PEFCPJnn9IgI5dTmcOQY,-356,usd,2022-07-10 15:50:48+00:00,Unused time on Bark (Monthly) after 10 Jul 2022,False,True,{},1657468248,1659373200,True,1,-356,True,price_1J8rYYFCPJnn9IgI7ezmCKAP,price_1J8rYYFCPJnn9IgI7ezmCKAP,cus_K6Io4hli4c4cjo,,sub_K7XZKwvlOofz2a,si_K7XZX0Vky79wbA,2022-07-10 20:29:53.073000+00:00,,
ii_1LK8jkFCPJnn9IgICtuSdETN,-786,usd,2022-07-10 22:36:24+00:00,Unused time on Subscription (Monthly) after 10 Jul 2022,False,True,{},1657492584,1658852164,True,1,-786,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_LSWZVQe3pcON5s,,sub_1KlbWaFCPJnn9IgIgnHK7opo,si_LSWZWrBkCn1yxB,2022-07-11 02:30:00.875000+00:00,,
ii_1LK8iQFCPJnn9IgI0oqSTnDf,-1260,usd,2022-07-10 22:35:02+00:00,Unused time on Subscription (Monthly) after 10 Jul 2022,False,True,{},1657492501,1659744000,True,1,-1260,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_Kl6DImTL6uA64f,,sub_1K5a0oFCPJnn9IgIzB8e4lsk,si_Kl6DUuZwwm52zW,2022-07-11 02:30:00.874000+00:00,,
ii_1LKPkFFCPJnn9IgI05QHq9hY,-1172,usd,2022-07-11 16:46:03+00:00,Unused time on Subscription (Monthly) after 11 Jul 2022,False,True,{},1657557962,1659651479,True,1,-1172,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_LsSzeZBvsb6IR6,,sub_1LAi3fFCPJnn9IgIeAkMSMdA,si_LsSzVKSo42tLs3,2022-07-11 20:30:02.059000+00:00,,
ii_1LKTiwFCPJnn9IgId2cqm1LY,-1007,usd,2022-07-11 21:00:58+00:00,Unused time on Subscription (Monthly) after 11 Jul 2022,False,True,{},1657573258,1659373200,True,1,-1007,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_JcQq046UIkfSSp,,sub_K6AUY6T1KltKnx,si_K6AUwFWPmZkLpZ,2022-07-12 02:29:58.654000+00:00,,
ii_1LKXUFFCPJnn9IgIPtqjnAn1,-1303,usd,2022-07-12 01:02:03+00:00,Unused time on Subscription (Monthly) after 12 Jul 2022,False,True,{},1657587723,1659915135,True,1,-1303,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_L9uJ98ZEiftKhA,,sub_1KTaVHFCPJnn9IgIW0S2o6qm,si_L9uJWxs76ZFlOj,2022-07-12 02:30:34.544000+00:00,,
ii_1LKYBsFCPJnn9IgITDKTGFOJ,-1251,usd,2022-07-12 01:47:08+00:00,Unused time on Subscription (Monthly) after 12 Jul 2022,False,True,{},1657590427,1659825997,True,1,-1251,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_KnQ27f7PfttwsY,,sub_1K7pCDFCPJnn9IgIFVEP0GR5,si_KnQ2SVrsPNKmi7,2022-07-12 02:31:19.227000+00:00,,
ii_1LKWQ6FCPJnn9IgIfJQ8wdWp,-92,usd,2022-07-11 23:53:42+00:00,Unused time on Subscription (Monthly) after 11 Jul 2022,False,True,{},1657583621,1657743099,True,1,-92,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_LkZDq0dO2nGFR1,,sub_1L344tFCPJnn9IgIwM68h9XW,si_LkZDYNS85up1QQ,2022-07-12 02:30:05.938000+00:00,,
ii_1LL52QFCPJnn9IgIh9YDBb5I,-1138,usd,2022-07-13 12:51:34+00:00,Unused time on Subscription (Monthly) after 13 Jul 2022,False,True,{},1657716694,1659750685,True,1,-1138,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_Kn5nX4178GoCvO,,sub_1K7VbVFCPJnn9IgI4Hn7Td1J,si_Kn5nBNPpHIWLlM,2022-07-13 14:30:00.525000+00:00,,
ii_1LLBiBFCPJnn9IgI5Oc1EoHD,32900,usd,2022-07-13 19:59:07+00:00,Plus (A13 5G),True,True,{},1657738318,1657738318,False,1,32900,True,,price_1KzrwPFCPJnn9IgI50g9rO52,cus_Ku3yqtUHKsQo3Z,in_1LLBiBFCPJnn9IgITSVDFAHX,,,2022-07-13 20:30:20.854000+00:00,,
ii_1LLFXeFCPJnn9IgIl6poheA0,1499,usd,2022-07-14 00:04:30+00:00,Dual Layer Case (A13 5G) (Lavender),True,True,{},1657757070,1657757070,False,1,1499,True,,price_1LJkoDFCPJnn9IgIy6Yr0CNg,cus_LxQ0HfpBqiLZM5,in_1LLFW9FCPJnn9IgIOoSN4Pik,,,2022-07-14 02:30:13.595000+00:00,,
ii_1LLIErFCPJnn9IgIpOIeWgla,-954,usd,2022-07-14 02:57:17+00:00,Unused time on Subscription (Monthly) after 14 Jul 2022,False,True,{},1657767436,1659472637,True,1,-954,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_KaH2UEdx5rYglN,,sub_1Jv6UrFCPJnn9IgI5YGiQNO8,si_KaH226RL7yNlwn,2022-07-14 08:29:56.377000+00:00,,
ii_1LLa0bFCPJnn9IgI1PJEQf9h,-1455,usd,2022-07-14 21:55:45+00:00,Unused time on Subscription (Monthly) after 14 Jul 2022,False,True,{},1657835745,1660435200,True,1,-1455,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_Kz0FieKCf4tYQY,,sub_1KJ2FKFCPJnn9IgIIXfhHMgT,si_Kz0FRwareaNKNx,2022-07-15 02:29:55.791000+00:00,,
ii_1LLoObFCPJnn9IgI9o5PBLiZ,-830,usd,2022-07-15 13:17:29+00:00,Unused time on Subscription (Monthly) after 15 Jul 2022,False,True,{},1657891049,1659373200,True,1,-830,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_IZT8hCJW7FN7Le,,sub_K69nVcehybU0IV,si_K69nOgbuSAonF1,2022-07-15 14:29:59.708000+00:00,,
ii_1LLpFZFCPJnn9IgIsq28MCZL,-123,usd,2022-07-15 14:12:13+00:00,Unused time on Subscription (Monthly) after 15 Jul 2022,False,True,{},1657894332,1658106960,True,1,-123,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_Li1XEVrlc4UF9f,,sub_1L0bUaFCPJnn9IgIPNNfT5a5,si_Li1X7Ne7dgYpri,2022-07-15 20:29:57.482000+00:00,,
ii_1LLvTAFCPJnn9IgIW6cDJ3Tu,-814,usd,2022-07-15 20:50:40+00:00,Unused time on Subscription (Monthly) after 15 Jul 2022,False,True,{},1657918239,1659373200,True,1,-814,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_JjQ0LKng2XFAQe,,sub_K6Acyx2ezkscmV,si_K6AcB8Z8kKaEQ7,2022-07-16 02:29:58.723000+00:00,,
ii_1LLxhvFCPJnn9IgIjVwV1sG0,-809,usd,2022-07-15 23:14:03+00:00,Unused time on Subscription (Monthly) after 15 Jul 2022,False,True,{},1657926843,1659373200,True,1,-809,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_JZgoUzBtvVWZEk,,sub_K6AQvaarkS5o1c,si_K6AQWrtIeIb48A,2022-07-16 02:30:07.651000+00:00,,
ii_1LMGkbFCPJnn9IgIUpm7qEKW,-769,usd,2022-07-16 19:34:05+00:00,Unused time on Subscription (Monthly) after 16 Jul 2022,False,True,{},1658000044,1659373200,True,1,-769,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_JxknSm30Tn4rJQ,,sub_K6B0k6RFN6sPWK,si_K6B0h0daOaynEL,2022-07-16 20:30:15.956000+00:00,,
