device_id,manufcaturer,model,carrier
9fc2b47e1c634ea8,Ulefone,Armor X8,
36d2720119656bed,Ulefone,Armor X8,
ebaa14d6a6c6a514,Ulefone,Armor X8,
bbe2c72e5f4a8221,Ulefone,Armor X8,
3feb74b883b7dbce,Ulefone,Armor X8,
453bd174f71b44da,samsung,SM-A015V,
33f3d5e2d07e5994,Ulefone,Armor X8,
c78b26de3654cceb,samsung,SM-A015A,at&t
42ec0f8d4a9f4523,samsung,SM-A015A,t-mobile
36d57100a3549805,samsung,SM-A015A,
187948a35ce26218,samsung,SM-A015A,
49f87ed2b950620f,Ulefone,Armor X8,
e4238a58011fe893,Ulefone,Armor X8,
b7176800c567273e,Ulefone,Armor X8,
4d40f0dbb4ab401d,samsung,SM-A015A,
1164c7f4600dd491,samsung,SM-A015A,cricket
c74f75e5008724bd,samsung,SM-A015A,
199b431537dc1ce5,samsung,SM-A015V,
6c6e2f182647e540,samsung,SM-A015V,verizon 
907d7d533e7c2480,samsung,SM-A015V,verizon 
be443e63ae36b91a,BLU,G50,t-mobile
23852bd6bccf035f,BLU,G50,
7ea7a024f2cc9d5e,samsung,SM-A015A,
edde4874d072125b,BLU,G50,
5bcdeab135634d34,BLU,G50,
43a11979bd14dc76,BLU,G50,metro by t-mobile
a1f049764f4a003d,BLU,G50,t-mobile
1cf81cee9893e582,BLU,G50,mint
dd569c9213b48de4,samsung,SM-A015V,
cbfd0c9012c19b98,samsung,SM-A015V,verizon 
13c5e940fa3bd989,samsung,SM-A015V,verizon 
8a3b14121cfee49d,samsung,SM-A015V,
de4375a0bfee6d25,samsung,SM-A015V,verizon 
5350dd9b6f65acb6,BLU,G50,t-mobile
7f5c964006f2b6ea,BLU,G50,
b3029735d7cad78f,samsung,SM-A015V,verizon 
cf773012a863ddd0,samsung,SM-A015V,verizon 
8c142b2fd221dc8b,samsung,SM-A015V,
759bbbc50dce03f1,samsung,SM-A015V,
65e227ac558b5594,samsung,SM-A015V,
cb5f5330421bef43,Ulefone,Armor X8,
152ba086bdd2a044,Ulefone,Armor X8,mint
96903d92fce9a1ad,BLU,G50,ting
b08784f0b529ab34,Ulefone,Armor X8,t-mobile
9b777af18f0d6514,Ulefone,Armor X8,
16bfe82c1f14e49f,samsung,SM-A015V,
baca0c619b963a45,BLU,G50,
ff0cb265f4599d6a,Ulefone,Armor X8,
65057c0d48f7fb26,Ulefone,Armor X8,
3108cb2a706ce235,Ulefone,Armor X7,
0822ef0b3c15e0c3,Ulefone,Armor X7 Pro,
816582904970ba5a,Ulefone,Armor X7 Pro,
59cded7cd28468c1,samsung,SM-A015M,
f9a0dacaf548fcda,samsung,SM-A015M,
e19072ccaee0e049,samsung,SM-A015M,
f2696160e1f4eb12,samsung,SM-A015V,verizon 
d9f4deceb8f67e3d,samsung,SM-A015V,verizon wireless
e926c6fed74d8bf0,samsung,SM-A015V,
ff34b87ca9646631,samsung,SM-A015V,
27a8121cc13416fe,Ulefone,Armor X7 Pro,
8020c2e5fc8a352b,Ulefone,Armor X7 Pro,
dcedf2da6ba3983e,samsung,SM-A015M,
86fcdb6d56188a8a,samsung,SM-A015M,
2b477fb04a2904b5,samsung,SM-A015M,
340285d23f43f480,samsung,SM-A015M,
a766de744eeb27d1,samsung,SM-A015M,t-mobile
8d366cfda681232a,samsung,SM-A015M,airvoice
a4374c4529e26ca2,samsung,SM-A015M,
e15e3ba18c082f17,samsung,SM-A015M,
f3652d8f5ea4a211,samsung,SM-A015M,
cb2136cd22f1d100,samsung,SM-A015M,t-mobile
e23d1f018c10f977,samsung,SM-A015M,t-mobile
671503332a93f751,samsung,SM-A015M,t-mobile
4786127f2544ad19,samsung,SM-A015M,
442b92fd5cc3fd91,samsung,SM-A015M,
eb108dbc14e80b05,samsung,SM-A015M,
e1b9f911a6e91ffb,samsung,SM-A015M,mint
5a7573363a3572b0,samsung,SM-A015M,
25be17f55498f531,samsung,SM-A015M,
220bc33f2496d099,Ulefone,Armor X7 Pro,
70b0f3498d5e11e5,Ulefone,Armor X7 Pro,
baeb0140bc544318,samsung,SM-A015M,
5633a78744e94646,samsung,SM-A015M,
b60a68302d663730,samsung,SM-A015M,
89090f857cfea0a4,samsung,SM-A015M,
660a51af845647e6,samsung,SM-A015M,
c66696e19d5652f0,samsung,SM-A015M,
3dd730dcffecf6dc,samsung,SM-A015M,
4058c9688639db5a,samsung,SM-A015V,verizon 
3e89ccb379ab3dea,samsung,SM-A015V,verizon 
51d6e4483f0a6660,Ulefone,Armor X7 Pro,mint
a11e26c345c0909c,Ulefone,Armor X7 Pro,
6ded0fd68246add1,samsung,SM-A015V,
0f8de336058d7c72,samsung,SM-A015V,
bd02348ae6b191fd,samsung,SM-A015M,
5ef249c0e335a4ba,samsung,SM-A015M,
a1318fdf12367a58,samsung,SM-A015M,t-mobile
9b12f77a46a32faf,samsung,SM-A015V,
a361220ebe3f5d48,samsung,SM-A015M,t-mobile
2d3fb7d445af7c82,samsung,SM-A015M,
b7af4062c3e76291,samsung,SM-A015M,
0f5aebb34683cbe7,samsung,SM-A015M,t-mobile
880eba7ade203ac8,samsung,SM-A015M,
7c82da1e79a17220,samsung,SM-A015M,
9c802ba0da34b835,Ulefone,Armor X7 Pro,t-mobile
1f53ca2f6258dc64,samsung,SM-A015M,
d63131001322c318,samsung,SM-A015M,t-mobile
cbef115a0142d600,samsung,SM-A015M,
dcef1d9b2effce67,samsung,SM-A015M,
cffd44c9fae049f0,samsung,SM-A015M,red pocket
9db2d4e0a68bf5f7,samsung,SM-A015M,
d448d39513604ef3,samsung,SM-A015M,
32dbc42a3236f7c4,samsung,SM-A015V,
ee2d891229a91efd,samsung,SM-A015M,
483a53666842f484,samsung,SM-A015V,verizon 
6400d83e9e032197,samsung,SM-A015M,
532ff64d966e3a34,samsung,SM-A015M,
3d9338a487ea0602,samsung,SM-A015M,mint
6e9eef43c0407506,samsung,SM-A015M,
6855c1d40ec079a7,Ulefone,Armor X8,mint
d9a393976f69e9fc,Ulefone,Armor X8,t-mobile
14b26c16c0be1ac4,samsung,SM-A015V,
76612fcd96ebef5b,samsung,SM-A015V,
58c554e6872f11eb,Ulefone,Armor X8,t-mobile
b790336940caa054,Ulefone,Armor X8,
e1b107742a8346b0,Ulefone,Armor X8,t-mobile
2ea293f8347ceb68,Ulefone,Armor X8,mint
213b1de9dd85c822,Ulefone,Armor X8,mint
40d185f2ee7e8160,Ulefone,Armor X8,
2d07cb3d970d622b,Ulefone,Armor X8,mint
d925a612e68faa77,Ulefone,Armor X8,
4f53e531a3cb4570,samsung,SM-A015A,
4e2bee45d4e82626,samsung,SM-A015A,
69d5c8d1e8d53df2,samsung,SM-A015A,
5b2091b9eadf89c0,samsung,SM-A015A,t-mobile
883518857fcd4dd7,samsung,SM-A015A,at&t
b51d328a90973281,Ulefone,Armor X8,
e173ba219dad9e0b,Ulefone,Armor X8,
aa187bc7359a7d46,Ulefone,Armor X8,
dbdb1007d4c08b8c,Ulefone,Armor X8,
cf9e6d6601e90f6d,samsung,SM-A015M,
b8d802039a3039e4,samsung,SM-A015A,
ac0f431eaf70ef03,samsung,SM-A015V,
bfacb903ac8ba329,samsung,SM-A015V,bell
ac24a97ec27a8cff,samsung,SM-A015V,verizon 
0ea0f5da5b551e9c,BLU,G50,at&t
f4a44c00045c206c,BLU,G50,
679a1d0f2827d632,samsung,SM-A015A,t-mobile
9bec2f3e74f1d541,BLU,G50,
f73031ec6cdb2fcf,BLU,G50,
8cad342c4fbb3f71,BLU,G50,mint
5f8894d9bd628931,BLU,G50,
a5dd6b50701c014d,BLU,G50,
a7ff9e72454a8ffc,BLU,G50,mint
f331e4d82ca326c0,samsung,SM-A015V,
a1a3134b722e5840,samsung,SM-A015V,
e6c9110213bcbdad,samsung,SM-A015V,
aaf0858ad23198f7,samsung,SM-A015V,verizon 
d63457c64f78db6d,BLU,G50,
fb771add48bb823b,BLU,G50,
149e4119262c99bb,samsung,SM-A015V,
c54c555b249ac105,samsung,SM-A015V,verizon 
fb96d7180899a005,samsung,SM-A015V,
deac46aee7c3f6c6,samsung,SM-A015V,verizon 
2d2134990929ee01,samsung,SM-A015V,verizon 
58afa27e2a48b155,Ulefone,Armor X8,
cff31bd3ca186923,Ulefone,Armor X8,red pocket
5332decb1c966fec,BLU,G50,mint
f43bc61443c423b4,BLU,G50,mint
6ab7e37c80a90c7a,Ulefone,Armor X8,
003ad1e7ce0ddeec,samsung,SM-A015V,
c201c984bf2ba7d8,Ulefone,Armor X8,smart
7596ee8676b9a370,Ulefone,Armor X8,
491c2b821fa9184f,Ulefone,Armor X8,
01a9210b765b2bbb,Ulefone,Armor X8,
a3d6a1b3fe26a768,BLU,G50,
08d64db68302b9f2,BLU,G50,
d32ef7dabec6a087,samsung,SM-A015V,
0411a095a463e1b6,samsung,SM-A015V,verizon 
d08a05efd72901fa,BLU,G50,
3f5655b3a94c67e1,BLU,G50,
ec920a05d2dbfb1b,Ulefone,Armor X8,
aeb4984f80b87d9e,samsung,SM-A015V,
5a18df54846e27c1,samsung,SM-A015V,verizon 
ecb510528865adc4,samsung,SM-A015V,verizon 
105fd248a65578b7,samsung,SM-A015V,
12b6c3c3f9bd880e,BLU,G50,airtel
107200ad87979fc6,Ulefone,Armor X8,
b60c49844ddf3e83,BLU,G50,
1df23669294c02da,BLU,G50,
8436dad2bc521297,samsung,SM-A015V,
165360460b86af80,samsung,SM-A015V,verizon 
c595a82f1e5efa11,BLU,G50,mint
bed46131dc00fd88,Ulefone,Armor X8,
3a769e880748663b,Ulefone,Armor X8,mint
8ad40f5169014a9b,Ulefone,Armor X8,t-mobile
022b5c582de65e4f,BLU,G50,t-mobile
7109ae6f6e206f19,Ulefone,Armor X8,
51ea5d8bf574799c,Ulefone,Armor X8,
af4dddfaf50b2ce8,Ulefone,Armor X8,
eba3b14a7c484f11,samsung,SM-A015V,verizon 
fae5de457b6d57f9,samsung,SM-A015V,
7311187907462d31,Ulefone,Armor X7 Pro,
805e73b10705a85c,samsung,SM-A015G,
572c82a7ec466b8b,samsung,SM-A015V,
c4b1c44b4c8e8a95,samsung,SM-A015V,verizon 
d7c5fe3cf6400fe2,samsung,SM-A015V,
4057c21f2777a747,samsung,SM-A015V,
7ad31d267fd2f580,BLU,G50,
68c627b481b51dd8,BLU,G50,
e71b99340e2c1368,samsung,SM-A015V,
3087d4492b62c370,samsung,SM-A015V,verizon 
d0179af1938117ca,samsung,SM-A015V,
bfcccd11000b87d8,samsung,SM-A015V,verizon 
9275fe7466d6c192,Ulefone,Armor X8,
7155c6453ea6e256,Ulefone,Armor X8,t-mobile
357e1565e7f54067,BLU,G50,ting
cf19ee84993ce420,Ulefone,Armor X8,
dba393bbefbd3682,samsung,SM-A015V,
bd085ecc93151048,samsung,SM-A015V,
32c7ed72624ecea0,Ulefone,Armor X8,
6b2d82feb05fef5e,Ulefone,Armor X8,
873b3f9ed8b43a61,BLU,G50,
fa3798eb5b7668f6,BLU,G50,
592d9ce8404911d7,BLU,G50,
43bb6cffc8200813,BLU,G50,
fe2eb864618e7846,Ulefone,Armor X8,t-mobile
de09cc9971c5c471,Ulefone,Armor X8,mint
d7c07fee3f872463,Ulefone,Armor X8,
6784265c8dc871f8,Ulefone,Armor X8,mint
cdc5d52fc2359944,BLU,G50,t-mobile
8aa0160313b38bad,Ulefone,Armor X8,
42bc2bd5905aeb3e,BLU,G50,
df278b84069b874d,BLU,G50,
0af1bbdf63ac089a,BLU,G50,
2205af0c1e60ca6d,BLU,G50,mint
2fadabe068092266,BLU,G50,
82a1bcd29803d63d,samsung,SM-A015V,verizon 
ae6bc633185ed5c5,samsung,SM-A015V,
70e3a70f9429cb12,BLU,G50,mint
227c6e245b618fd5,Ulefone,Armor X8,
27e3754737516867,Ulefone,Armor X8,t-mobile
01297abd3aedf74d,Ulefone,Armor X8,mint
0dbbb8fc247cb28e,BLU,G50,t-mobile
bf97d9b9197ecee6,BLU,G50,mint
365c30b8d7274ad9,BLU,G50,mint
752eab573eb25e84,BLU,G50,t-mobile
e5bfbe540f6880a6,samsung,SM-A015V,
05cd95624d61ff24,BLU,G50,mint
3223863267533306,BLU,G50,
e8a969b044ec9b5b,BLU,G50,
86f5114ed4462c4c,BLU,G50,mint
112c420bc33bd404,BLU,G50,mint
3ceeaa94ce3eac02,BLU,G50,mint
a06497cf7a3abeff,BLU,G50,t-mobile
ae83417d2aa3b688,BLU,G50,mint
8adfebb9ebbb54ce,BLU,G50,
93af8f70243122be,BLU,G50,t-mobile
bb276c19badc91d0,BLU,G50,
1f938ffb779deb1e,BLU,G50,mint
dfd35605172fc28d,BLU,G50,
ad9afc375581f854,BLU,G50,
7bf8b223f10de9c0,BLU,G50,
4eab2515061b367b,BLU,G50,t-mobile
97ba19609f0e5ee5,BLU,G50,verizon
865cb19593cbd457,BLU,G50,
80ce0a21097ded6c,BLU,G50,
7f50ccb2ed817e34,BLU,G50,
bb756dcc92415339,BLU,G50,
73ee43ee826a4a03,BLU,G50,
895d456131863193,BLU,G50,mint
dc33957c816de228,BLU,G50,mint
cc301cee090f0bb6,BLU,G50,mint
478a974e3a94db02,BLU,G50,mint
46ed6f6f9ef0b5f0,BLU,G50,
d115c3d246ab5de9,BLU,G50,
7babb112e574c176,BLU,G50,at&t
29aaad32fbff77bc,BLU,G50,mint
98b4c0721fa5193d,BLU,G50,t-mobile
041537d3b0b6fb84,BLU,G50,
2a849a95530a9469,BLU,G50,
7e1da2f2ac3e7c20,BLU,G50,
83bd6cc3bf83ebb9,BLU,G50,mint
d3133aacd75f7b9b,BLU,G50,
39c7b4b7aea53478,BLU,G50,
222d8ca084da42b5,BLU,G50,verizon
aedc3eb21a7b6439,BLU,G50,
4d6a71b6be8f628b,BLU,G50,mint
fe2433b794930506,BLU,G50,
a904533ac14ad076,BLU,G50,mint
1980fa179973f7e7,BLU,G50,mint
8b98defaabed34b4,BLU,G50,mint
d1250f17399a3f2b,BLU,G50,ultra
3f26010d2cd3e14e,BLU,G50,
3d82f84becf6b4ea,BLU,G50,
d09bb3ab58239b21,Ulefone,Armor X8,
1c8d6dcd8f7af6aa,Ulefone,Armor X8,
92da5f5c9441d359,BLU,G50,google fi
3315c5acd4b07d42,BLU,G50,
173b4094b14b6e8f,BLU,G50,
36e108fc67063772,BLU,G50,mint
ad84ad042224136b,BLU,G50,
ee22c43481b25c6a,BLU,G50,
366ae546d215f55d,BLU,G50,t-mobile
15d29ac9e36ddc71,BLU,G50,
a3ff2e2f9a75352e,BLU,G50,
2e04e95aae26b2b3,BLU,G50,mint
5d6a02ab1e814d27,BLU,G50,
3bc58286ae465320,BLU,G50,
240bea290b197656,BLU,G50,
cb7f9acf493c07b9,BLU,G50,
d8f0760b5b8a47a3,BLU,G50,mint
00735569e95e9ba0,BLU,G50,mint
cf9f8e90aacee587,BLU,G50,mint
6534e87d63514143,BLU,G50,mint
a306f06763eed885,BLU,G50,mint
e750d1c4c7258b71,BLU,G50,mint
ae69a2323f9c9499,BLU,G50,mint
9981275b592dc124,BLU,G50,
f64413d9bb879d06,BLU,G50,mint
87fe5cffe6467bff,BLU,G50,t-mobile
caebc1ea4b5bea85,BLU,G50,
2dbbce70686c905a,BLU,G50,mint
47812c4e859390af,BLU,G50,
dda027125fecb4a4,BLU,G50,mint
50b70eb8318d7eac,BLU,G50,t-mobile
31f00ab462a5a06a,BLU,G50,t-mobile
c0fbf447d9332b89,BLU,G50,
9fbaad14ac892ea4,BLU,G50,
f638de237f1563da,BLU,G50,t-mobile
07e393bd31826055,BLU,G50,t-mobile
6487c8b9d210b9d0,BLU,G50,mint
eeaf71b12dacabd3,BLU,G50,ting
384ce1254220806a,BLU,G50,mint
a56f2b4fceb6dbac,BLU,G50,mint
077988e165099351,BLU,G50,mint
04ccbca11f7943e2,BLU,G50,mint
20672c031dc78ec0,BLU,G50,
2c8e0490853c65bb,BLU,G50,mint
17531bf449edb569,BLU,G50,
23d9b72b24248f71,BLU,G50,t-mobile
65dee172d36f03af,BLU,G50,t-mobile
18560a6c3fbc629a,Ulefone,Armor X8,mint
7029b9ac8a3ad55a,Ulefone,Armor X8,t-mobile
ef746b62545fc396,Ulefone,Armor X8,
8b01371a0ddbcb45,Ulefone,Armor X8,tello
d08a913902e6abf4,Ulefone,Armor X8,
9922751b4da9fa68,Ulefone,Armor X8,
75944515691e3717,Ulefone,Armor X8,
63ebcc7eda51ef94,Ulefone,Armor X8,
0c9ca6fba11e0614,Ulefone,Armor X8,mint
cb401406551962cd,Ulefone,Armor X8,mint
2ee5aba601ec2827,Ulefone,Armor X8,
688d05be8458bc75,Ulefone,Armor X8,mint
d814647f49be631a,Ulefone,Armor X8,
deb3d5d78bfe7b65,Ulefone,Armor X8,mint
e0a61742b435d99c,Ulefone,Armor X8,
558360d42f24282e,Ulefone,Armor X8,
1555e2bc2da1130b,Ulefone,Armor X8,mint
ee5754921b47be40,Ulefone,Armor X8,
fb8ae447715f940e,Ulefone,Armor X8,mint
492a369d832f6b59,Ulefone,Armor X8,
38e9e93e36a5cd5a,Ulefone,Armor X8,
0c20c1b928128bdf,Ulefone,Armor X8,mint
558cd4df40a51c43,Ulefone,Armor X8,mint
5f36017206fde988,Ulefone,Armor X8,
c35139ad0ab17416,Ulefone,Armor X8,
7d2635db7b6bdcac,Ulefone,Armor X8,mint
6271bb5f803b676f,Ulefone,Armor X8,
4b58e2a2a244730e,Ulefone,Armor X8,
557e24ea8d05b97b,Ulefone,Armor X8,verizon 
2598e03141e48c9f,Ulefone,Armor X8,mint
136c3d0a0edda695,Ulefone,Armor X8,t-mobile
f22557acbbb6a9d6,Ulefone,Armor X8,mint
ff7c274edb753a00,Ulefone,Armor X8,t-mobile
a544d21f08d6d01f,Ulefone,Armor X8,
ce12ff7ef1bab755,Ulefone,Armor X8,ting
5370359839ded606,Ulefone,Armor X8,mint
4b87559b1f145425,Ulefone,Armor X8,
a907dd93b25792b2,Ulefone,Armor X8,
6545bfe43a3e2459,Ulefone,Armor X8,mint
dfb0c283a6cacdbe,Ulefone,Armor X8,
8f33ff5796eb8b0b,Ulefone,Armor X8,mint
55df0655ae5e3f00,Ulefone,Armor X8,t-mobile
372f8298dba80492,Ulefone,Armor X8,
87260df888100c59,Ulefone,Armor X8,
5f363628787416d5,Ulefone,Armor X8,mint
7ee01fec1c283cdd,Ulefone,Armor X8,mint
030715e78c4bf175,Ulefone,Armor X8,
d02d28d886b6084b,BLU,G50,mint
da5e23115eec9a40,samsung,SM-A326U1,verizon 
7250bcf487c8125d,samsung,SM-A326U1,
98f41710398f878f,samsung,SM-A326U1,verizon 
0ecaff67912aca6a,samsung,SM-A326U1,verizon 
084c9f1fbac76424,samsung,SM-A326U1,
fe9d94286f28c8ae,samsung,SM-A326U1,mint
a60f1b18beb3cdb0,samsung,SM-A326U1,
8e15658918b52cd3,samsung,SM-A326U1,verizon 
719115d8669b21f3,samsung,SM-A326U1,at&t
5473c45bab0c2d18,samsung,SM-A326U1,verizon 
7fbe519cc6ab31ef,samsung,SM-A326U1,
66a9ec7a3adc5352,samsung,SM-A326U1,verizon 
c0c1c983a90bd265,samsung,SM-A326U1,at&t
b324f3fb2c16af7d,samsung,SM-A326U1,
6bb65ef784db6cfd,samsung,SM-A326U1,
ded4d72094aed58e,samsung,SM-A326U1,verizon 
be3248aa6c478962,samsung,SM-A326U1,verizon 
0c72ba4096b403ca,samsung,SM-A326U1,
df996f1bc1a53d42,samsung,SM-A326U1,
1ca94ac758cd9645,samsung,SM-A326U1,
59beb0b4bd922f04,samsung,SM-A326U1,verizon 
4015013795106455,samsung,SM-A326U1,
a52dff2b7a6da007,samsung,SM-A326U1,verizon 
6cdfa7c181c70647,samsung,SM-A326U1,t-mobile
4ee8af3dddb3dd89,samsung,SM-A326U1,
d6b0c8bd1aec2a6a,samsung,SM-A326U1,verizon 
d325aab7a9787b82,samsung,SM-A326U1,verizon 
539d363bc8e2373a,samsung,SM-A326U1,verizon 
b58cc8f1d4977644,samsung,SM-A326U1,
b7830dcf19bb1cdf,samsung,SM-A326U1,
eb4be4194229bf45,samsung,SM-A326U1,
e6bca7658439a92c,samsung,SM-A326U1,
af07489b03f5dbcf,samsung,SM-A326U1,verizon 
2dcea10bc99c4648,samsung,SM-A326U1,
0242c70eaff1a20f,samsung,SM-A326U1,
c9c5e074787a2ac4,samsung,SM-A326U1,verizon 
5658931b8fb6016f,samsung,SM-A326U1,verizon 
0214f9204be50856,BLU,G50,mint
cfde30cc3b83fa02,BLU,G50,mint
cd8c1b5529b24319,BLU,G50,mint
1caff9b7612abb38,BLU,G50,
a97b59a8c799b9fa,BLU,G50,mint
e887ed83b4c31a34,BLU,G50,t-mobile
3b07a7f50a9426a9,BLU,G50,t-mobile
ce591cbfc10490f9,BLU,G50,mint
6db0de93d4a6bc2d,BLU,G50,
97e073c4a97ed8f6,BLU,G50,mint
e410711111c06cf8,BLU,G50,at&t
896f2c28342cb263,BLU,G50,mint
bffcb8da94d4a395,BLU,G50,at&t
357d556e9ce9a7c2,BLU,G50,mint
4cea21582dc8c3a1,BLU,G50,
0dea74e42e239fae,BLU,G50,
3da7397a700fb21d,Ulefone,Armor X8,
221444250631a855,BLU,G50,
13f8f32581e9ba8f,BLU,G50,mint
8e8c163856f42bec,samsung,SM-A015V,
1064b0cb96bf5bf8,BLU,G50,t-mobile
1aacee3f4d0ce691,BLU,G50,
0249ba6639509a05,BLU,G50,
2def89ddb28928fb,BLU,G50,
dad8cd7ba153ee26,samsung,SM-A015V,verizon 
e5140a2cc453f17f,samsung,SM-A015V,verizon 
74fe058abc0bb2fd,samsung,SM-A015V,
c9e9297c3e49880d,samsung,SM-A015V,
191f7c14be01e803,BLU,G50,t-mobile
968c0f5fefd30406,Ulefone,Armor X8,
b3c3d66247f5fc60,BLU,G50,mint
d71ead6203fcd17c,BLU,G50,
a6def015cbc450ee,samsung,SM-A015V,
cb111ea688eb9f42,samsung,SM-A015V,
0e1cbba19bda6227,Ulefone,Armor X8,mint
dcd4d44e3338f174,Ulefone,Armor X8,mint
020c602ff111a880,Ulefone,Armor X8,
7edc4e3edc6126ff,Ulefone,Armor X8,mint
504a906d889f5bdd,BLU,G50,mint
c6f2612de6b2d04f,Ulefone,Armor X8,
db3869287c4df135,Ulefone,Armor X8,mint
2eb5f5956313cf0d,Ulefone,Armor X8,
fb080e93750f99d7,samsung,SM-A015V,
ee0f60306d5c8c71,samsung,SM-A015V,
833e4ca374cf4298,BLU,G50,
21ec9d49b3a8f6e9,samsung,SM-A015V,
c2b3daad764bc70d,samsung,SM-A015V,
7d21cfa6d92eee51,samsung,SM-A015V,verizon 
3a6fd54aeba4c5d0,samsung,SM-A015V,verizon 
bcb58c7f37fb222f,samsung,SM-A015V,verizon 
5cc605ed53b1bce8,BLU,G50,mint
a4ccf3b7c83b7ec1,BLU,G50,mint
20edd633409997e6,samsung,SM-A015V,verizon 
11d019843786300e,samsung,SM-A015V,
fe03b1d83dc7bd50,samsung,SM-A015V,
6d0b10ead00cf713,Ulefone,Armor X8,mint
ab8b64ae2e4ff3f2,Ulefone,Armor X8,
873faca0332cb9e0,BLU,G50,mint
9e48caf20bc85893,BLU,G50,t-mobile
d6ec7130edd4b38b,Ulefone,Armor X8,t-mobile
c50210261630c377,samsung,SM-A015V,verizon 
47470f91f38bdecc,BLU,G50,
edc757cf507a2b26,Ulefone,Armor X8,
5e27f7074445cd50,BLU,G50,mint
9953a5c92a80cfdc,BLU,G50,
57b51c6da936e258,BLU,G50,t-mobile
cfa62766f7675640,BLU,G50,
ee559930a798a6e7,BLU,G50,mint
72f375e003a6e6ca,Ulefone,Armor X8,
e25832a18b7112b7,Ulefone,Armor X8,
21d576638429564c,Ulefone,Armor X8,mint
