balance_transaction_id,index,connected_account_id,amount,application,currency,description,type,_fivetran_synced
txn_3PcsJIFCPJnn9IgI1vWWRn4o,0,,66,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.836000+00:00
txn_3PcsL7FCPJnn9IgI0ssXaN7W,0,,69,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.836000+00:00
txn_3PcsMcFCPJnn9IgI1euiC6lN,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.836000+00:00
txn_3PcsfyFCPJnn9IgI0vqX6Ztv,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.836000+00:00
txn_3PcslkFCPJnn9IgI1x3384HE,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.836000+00:00
txn_3Pct7fFCPJnn9IgI0uNvUFhM,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.064000+00:00
txn_3PctCIFCPJnn9IgI10gqJcYq,0,,83,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.064000+00:00
txn_3Pcth8FCPJnn9IgI1Zwj0JrX,0,,56,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.063000+00:00
txn_3PcthmFCPJnn9IgI1rUA64ji,0,,33,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.063000+00:00
txn_3Pctm1FCPJnn9IgI1z7gG9ev,0,,58,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.063000+00:00
txn_3PctwOFCPJnn9IgI1hoCvMFF,0,,57,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.130000+00:00
txn_3PctywFCPJnn9IgI16tyzaL7,0,,374,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.130000+00:00
txn_3Pcu97FCPJnn9IgI0CHlrET2,0,,412,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.130000+00:00
txn_3PcuL7FCPJnn9IgI1yTOVyGD,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.129000+00:00
txn_3PcuN4FCPJnn9IgI1v3Uh93h,0,,58,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.129000+00:00
txn_3PcuQwFCPJnn9IgI13O14QWz,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.129000+00:00
txn_3PcuewFCPJnn9IgI0ViiNY5z,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.129000+00:00
txn_3PcuhxFCPJnn9IgI1CmDeceA,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.129000+00:00
txn_3PcujZFCPJnn9IgI1BSZqrzP,0,,58,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.129000+00:00
txn_3Pcv0HFCPJnn9IgI1uCXDiaP,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.146000+00:00
txn_3PcvIjFCPJnn9IgI1FjwDygf,0,,77,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.146000+00:00
txn_3PcvSaFCPJnn9IgI0KXXT8Tp,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.146000+00:00
txn_3PcvTUFCPJnn9IgI09sO6oyv,0,,70,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.146000+00:00
txn_3PcvZuFCPJnn9IgI0zy3PTWI,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.146000+00:00
txn_3PcvaSFCPJnn9IgI17Xc1flg,0,,70,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.146000+00:00
txn_3PcvcPFCPJnn9IgI14RyODdT,0,,69,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.146000+00:00
txn_3Pcvl4FCPJnn9IgI1GWAxhqW,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.146000+00:00
txn_3PcvupFCPJnn9IgI15YtHwvB,0,,30,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.095000+00:00
txn_3Pcw9aFCPJnn9IgI1lTOLPpT,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.095000+00:00
txn_3Pcw9qFCPJnn9IgI1A6qVEec,0,,69,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.095000+00:00
txn_3PcwFMFCPJnn9IgI0TYImREZ,0,,94,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.095000+00:00
txn_3PcwKLFCPJnn9IgI1Xre5gHj,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.095000+00:00
txn_3PcwuWFCPJnn9IgI0NsZ156G,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.169000+00:00
txn_3PcwvhFCPJnn9IgI0S0rCmjr,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.168000+00:00
txn_3Pcx9CFCPJnn9IgI1W9RrcqT,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.168000+00:00
txn_3PcxE4FCPJnn9IgI1dVvDOqW,0,,66,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.168000+00:00
txn_3PcxHwFCPJnn9IgI1rxEolEf,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.168000+00:00
txn_3PcxIiFCPJnn9IgI1ZcSpObt,0,,57,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.168000+00:00
txn_3PcxKJFCPJnn9IgI18mUcAlI,0,,70,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.168000+00:00
txn_3PcxMUFCPJnn9IgI1ESsQLDB,0,,69,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:53:01.305000+00:00
txn_3PcxRHFCPJnn9IgI0D1FW54T,0,,57,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.168000+00:00
txn_3PcxSbFCPJnn9IgI0yGYtBNJ,0,,58,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.168000+00:00
txn_3PcxWWFCPJnn9IgI1i9I9g4K,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.168000+00:00
txn_3PcxXPFCPJnn9IgI1pIi0bQX,0,,58,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.168000+00:00
txn_3Pcxq9FCPJnn9IgI1v0dYtjT,0,,57,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.128000+00:00
txn_3PcxwyFCPJnn9IgI1SEayFRV,0,,57,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.128000+00:00
txn_3Pcy4XFCPJnn9IgI0xhJgccH,0,,57,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.128000+00:00
txn_3PcyBIFCPJnn9IgI0VhoX8aq,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.128000+00:00
txn_3PcyE6FCPJnn9IgI0tjbCGIw,0,,58,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.128000+00:00
txn_3PcyJyFCPJnn9IgI1OS75gzH,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.128000+00:00
txn_3PcyMoFCPJnn9IgI0Ahh2gN0,0,,58,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.128000+00:00
txn_3PcyS4FCPJnn9IgI1OUPzWlb,0,,58,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.128000+00:00
txn_3PcySCFCPJnn9IgI1G29JvWT,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.128000+00:00
txn_3PcyT0FCPJnn9IgI1VJlADJg,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.128000+00:00
txn_3Pcz3yFCPJnn9IgI1gJTtCMm,0,,57,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.407000+00:00
txn_3Pcz6oFCPJnn9IgI0tPKQdl4,0,,286,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.407000+00:00
txn_3Pcz8YFCPJnn9IgI13NdbrPO,0,,61,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.407000+00:00
txn_3Pcz8kFCPJnn9IgI1GSeHEJS,0,,58,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.407000+00:00
txn_3Pcz8lFCPJnn9IgI1nH19ag7,0,,57,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.407000+00:00
txn_3PczJsFCPJnn9IgI1y7OnWTe,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.407000+00:00
txn_3PczwYFCPJnn9IgI1VuGNofD,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.471000+00:00
txn_3Pd0CWFCPJnn9IgI1rg8ZySj,0,,66,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.471000+00:00
txn_3Pd0JVFCPJnn9IgI1WarONMP,0,,57,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.471000+00:00
txn_3Pd0mGFCPJnn9IgI0HHwguDY,0,,57,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.397000+00:00
txn_3Pd0oeFCPJnn9IgI1PnlTSB7,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.397000+00:00
txn_3Pd0uTFCPJnn9IgI0TiAIKU2,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.397000+00:00
txn_3Pd14CFCPJnn9IgI0wfIABfz,0,,29,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.397000+00:00
txn_3Pd1VAFCPJnn9IgI1LTSLk2A,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.447000+00:00
txn_3Pd2AaFCPJnn9IgI0NOKQMfv,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.447000+00:00
txn_3Pd2SMFCPJnn9IgI11zyzQ5t,0,,824,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.449000+00:00
txn_3Pd2dfFCPJnn9IgI1V2iaQen,0,,69,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.449000+00:00
txn_3Pd2x0FCPJnn9IgI0mV1hoQF,0,,2088,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.449000+00:00
txn_3Pd3mBFCPJnn9IgI1fQF4HLw,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.371000+00:00
txn_3Pd3myFCPJnn9IgI0M9w5h2k,0,,66,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.371000+00:00
txn_3Pd4LxFCPJnn9IgI1vIOYopV,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.701000+00:00
txn_3Pd4ToFCPJnn9IgI1lD9ENCZ,0,,920,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.701000+00:00
txn_3Pd4UGFCPJnn9IgI0Ceh35Mv,0,,415,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.701000+00:00
txn_3Pd4ajFCPJnn9IgI0fUJKEAj,0,,908,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.701000+00:00
txn_3Pd6oqFCPJnn9IgI11V7YnoJ,0,,70,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.634000+00:00
txn_3Pd7JuFCPJnn9IgI0LWh69Oi,0,,57,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.641000+00:00
txn_3PdAhAFCPJnn9IgI1DeLup3d,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.893000+00:00
txn_3PdCAyFCPJnn9IgI1RkJ1y2A,0,,317,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.875000+00:00
txn_3PdCaTFCPJnn9IgI0UPf1rOX,0,,34,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.875000+00:00
txn_3PdD3xFCPJnn9IgI1HXGLIPq,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.990000+00:00
txn_3PdDMLFCPJnn9IgI0tmUPgQr,0,,66,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.990000+00:00
txn_3PdDQQFCPJnn9IgI0tXdNEqb,0,,486,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.990000+00:00
txn_3PdEEfFCPJnn9IgI0o1ECeNl,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.958000+00:00
txn_3PdEGHFCPJnn9IgI1jyMmOtB,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.958000+00:00
txn_3PdELQFCPJnn9IgI1DR2np6c,0,,57,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.958000+00:00
txn_3PdEXYFCPJnn9IgI1ShByS4x,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.977000+00:00
txn_3PdEeaFCPJnn9IgI1EjQ9dbk,0,,57,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.977000+00:00
txn_3PdEo5FCPJnn9IgI1D46E0uH,0,,77,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.977000+00:00
txn_3PdEvVFCPJnn9IgI0WR9iLJD,0,,57,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.977000+00:00
txn_3PdFCSFCPJnn9IgI1rBQ0Jq5,0,,916,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.977000+00:00
txn_3PdFOXFCPJnn9IgI15FE23rm,0,,57,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.977000+00:00
txn_3PdFirFCPJnn9IgI0rvMYpkh,0,,57,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:59.287000+00:00
