id,connected_account_id,payment_method_types,amount,amount_capturable,amount_received,application,application_fee_amount,canceled_at,cancellation_reason,capture_method,confirmation_method,created,currency,description,last_payment_error_type,last_payment_error_code,last_payment_error_decline_code,last_payment_error_doc_url,last_payment_error_message,last_payment_error_param,last_payment_error_source_id,last_payment_error_charge_id,livemode,metadata,on_behalf_of,receipt_email,statement_descriptor,status,transfer_data_destination,transfer_group,payment_method_id,customer_id,source_id,_fivetran_synced
pi_3Pcf74FCPJnn9IgI1I2rDa1g,,"[""card"",""cashapp""]",1499,0,1499,,,,,automatic,automatic,2024-07-15 02:58:06+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1NJEgpFCPJnn9IgIsJMxI4v1,cus_L24t1jRXZSGg3F,,2024-08-14 01:39:22.304000+00:00
pi_3PcfJqFCPJnn9IgI0MXWy336,,"[""card"",""cashapp""]",1598,0,1598,,,,,automatic,automatic,2024-07-15 03:11:18+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,src_1LxJNMFCPJnn9IgImd0x78c3,cus_LOBQAt5drRPXCf,,2024-08-14 01:39:22.304000+00:00
pi_3PcfN8FCPJnn9IgI0tP0jPd0,,"[""card"",""cashapp""]",1499,0,1499,,,,,automatic,automatic,2024-07-15 03:14:42+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1PGXIzFCPJnn9IgI7u0nqqEh,cus_Q6koYgsC7oXH7R,,2024-08-14 01:39:22.304000+00:00
pi_3Pcfd5FCPJnn9IgI1m7STFJV,,"[""card"",""cashapp""]",1632,0,1632,,,,,automatic,automatic,2024-07-15 03:31:11+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,src_1O60SpFCPJnn9IgITzgTvI5f,cus_OWYaVUljjsjRlI,,2024-08-14 01:39:22.304000+00:00
pi_3Pcg3uFCPJnn9IgI1GLITq5m,,"[""card"",""cashapp""]",48196,0,0,,,2024-07-16 02:59:52+00:00,void_invoice,automatic,automatic,2024-07-15 03:58:54+00:00,usd,Subscription creation,,,,,,,,,True,{},,,,canceled,,,,cus_QTdKknAbz1oyrR,,2024-08-14 01:39:21.931000+00:00
pi_3PcgLVFCPJnn9IgI1rm4fBJH,,"[""card"",""cashapp""]",1641,0,1641,,,,,automatic,automatic,2024-07-15 04:17:05+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1PRn4iFCPJnn9IgIbf1ssx00,cus_QINmDEiidcImoB,,2024-08-14 01:39:21.931000+00:00
pi_3PcgOhFCPJnn9IgI0n8p9GCC,,"[""card"",""cashapp""]",1499,0,1499,,,,,automatic,automatic,2024-07-15 04:20:23+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,src_1PbmtpFCPJnn9IgIKpUnAIdw,cus_MrbcgshIQlgLfi,,2024-08-14 01:39:21.931000+00:00
pi_3PchslFCPJnn9IgI0F72F1TR,,"[""card"",""cashapp""]",1998,0,1998,,,,,automatic,automatic,2024-07-15 05:55:31+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1LlmqtFCPJnn9IgIoazSEuBs,cus_MUmPVrNHT0cmlN,,2024-08-14 01:39:23.132000+00:00
pi_3PchtSFCPJnn9IgI1cLhI2DY,,"[""card"",""cashapp""]",1499,0,1499,,,,,automatic,automatic,2024-07-15 05:56:14+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1OGDrGFCPJnn9IgIQCeRHulc,cus_P4MafkmNGr6UOk,,2024-08-14 01:39:23.132000+00:00
pi_3PciPaFCPJnn9IgI1okCEX62,,"[""card"",""cashapp""]",1499,0,1499,,,,,automatic,automatic,2024-07-15 06:29:26+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1MYN27FCPJnn9IgIWIpu6EGN,cus_NIyzOUt2Acvs7j,,2024-08-14 01:39:23.132000+00:00
pi_3Pcch2FCPJnn9IgI0cIT0Br2,,"[""card"",""cashapp""]",1637,0,0,,,2024-07-15 00:26:38+00:00,void_invoice,automatic,automatic,2024-07-15 00:23:04+00:00,usd,Subscription creation,,,,,,,,,True,{},,,,canceled,,,,cus_QTZq5485PmJVfq,,2024-08-14 01:39:22.180000+00:00
pi_3PccwOFCPJnn9IgI0uPMLwkD,,"[""card"",""cashapp""]",1998,0,1998,,,,,automatic,automatic,2024-07-15 00:38:56+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1PRjhCFCPJnn9IgIQFSTPDTr,cus_QIKLKWY9wFJMvS,,2024-08-14 01:39:22.180000+00:00
pi_3Pcd2UFCPJnn9IgI1oCy573Y,,"[""card"",""cashapp""]",1655,0,1655,,,,,automatic,automatic,2024-07-15 00:45:14+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1NqPByFCPJnn9IgIoeLHsdDE,cus_OWeRY4QscGx0sG,,2024-08-14 01:39:21.950000+00:00
pi_3PcdC0FCPJnn9IgI1FY3f4Nx,,"[""card"",""cashapp""]",1555,0,1555,,,,,automatic,automatic,2024-07-15 00:55:04+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1OjsHJFCPJnn9IgI7VPVM8AA,cus_PZ0HqrhC1mV1B2,,2024-08-14 01:39:21.950000+00:00
pi_3PcdtZFCPJnn9IgI06ezoRnD,,"[""card"",""cashapp""]",1499,0,1499,,,,,automatic,automatic,2024-07-15 01:40:05+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1OuOmdFCPJnn9IgISvnC4OpH,cus_PjsXdt4NQajLKb,,2024-08-14 01:39:21.950000+00:00
pi_3PceNxFCPJnn9IgI0kyZNhkB,,"[""card"",""cashapp""]",1589,0,1589,,,,,automatic,automatic,2024-07-15 02:11:29+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1KW9MRFCPJnn9IgIaxUjVvd4,cus_LCYTe2PweyfuCO,,2024-08-14 01:39:21.781000+00:00
pi_3PceakFCPJnn9IgI1eZuqREw,,"[""card"",""cashapp""]",1499,0,1499,,,,,automatic,automatic,2024-07-15 02:24:42+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,src_1OdmUPFCPJnn9IgI9LUUgvHX,cus_MgKzn5HxktmX1N,,2024-08-14 01:39:21.781000+00:00
pi_3Pceq3FCPJnn9IgI02oK4pEw,,"[""card"",""cashapp""]",1999,0,1999,,,,,automatic,automatic,2024-07-15 02:40:31+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1L3VdsFCPJnn9IgIwkhMu8Db,cus_Ll1haYScdlXIvQ,,2024-08-14 01:39:21.781000+00:00
pi_3PceqdFCPJnn9IgI1mppIQTm,,"[""card"",""cashapp""]",1629,0,1629,,,,,automatic,automatic,2024-07-15 02:41:07+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1OYf8RFCPJnn9IgIANVop2Ze,cus_PNPyU4XdQFItvz,,2024-08-14 01:39:21.781000+00:00
pi_3PcfGUFCPJnn9IgI075ZJC6J,,"[""card"",""cashapp""]",1499,0,1499,,,,,automatic,automatic,2024-07-15 03:07:50+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1Ojw7yFCPJnn9IgI9hD3CN9B,cus_MUjhVNVk1KIkXV,,2024-08-14 01:39:22.304000+00:00
pi_3PcfGlFCPJnn9IgI1d7ITpNv,,"[""card"",""cashapp""]",1632,0,1632,,,,,automatic,automatic,2024-07-15 03:08:07+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1N0bGEFCPJnn9IgITlaC3AUR,cus_Nm9ZJkiuCqFjXI,,2024-08-14 01:39:22.304000+00:00
pi_3PcfmPFCPJnn9IgI1KjOhoG1,,"[""card"",""cashapp""]",2069,0,2069,,,,,automatic,automatic,2024-07-15 03:40:49+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1Nu4gYFCPJnn9IgIgDpEDJGM,cus_OhTdSvYGfOGS6S,,2024-08-14 01:39:22.304000+00:00
pi_3PcfsZFCPJnn9IgI0U3r9BVf,,"[""card"",""cashapp""]",1499,0,1499,,,,,automatic,automatic,2024-07-15 03:47:11+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1OjuvjFCPJnn9IgIpYjRQZz0,cus_PZ31j98WsMFuxw,,2024-08-14 01:39:21.932000+00:00
pi_3PcfwiFCPJnn9IgI1JOucYkv,,"[""card"",""cashapp""]",1499,0,1499,,,,,automatic,automatic,2024-07-15 03:51:28+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1NjCZbFCPJnn9IgInqXZqNKN,cus_OWF3szxAFZ1vzH,,2024-08-14 01:39:21.932000+00:00
pi_3PcgBiFCPJnn9IgI1bnb40YP,,"[""card"",""cashapp""]",1499,0,1499,,,,,automatic,automatic,2024-07-15 04:06:58+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1LPe5cFCPJnn9IgIIMgOydS0,cus_M7ttviNR5sh1fC,,2024-08-14 01:39:21.931000+00:00
pi_3PcgEsFCPJnn9IgI1vbXYxIS,,"[""card"",""cashapp""]",1499,0,1499,,,,,automatic,automatic,2024-07-15 04:10:14+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1PRmviFCPJnn9IgIElXkWVND,cus_QINh6YWZIeuN9m,,2024-08-14 01:39:21.931000+00:00
pi_3PcgHeFCPJnn9IgI1qc7Z1dA,,"[""card"",""cashapp""]",1499,0,1499,,,,,automatic,automatic,2024-07-15 04:13:06+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,src_1OR95SFCPJnn9IgIoobt7JgD,cus_Mz5xP4yhe8pLkI,,2024-08-14 01:39:21.931000+00:00
pi_3PcgXcFCPJnn9IgI1m7XokAE,,"[""card"",""cashapp""]",1645,0,1645,,,,,automatic,automatic,2024-07-15 04:29:36+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1OuROQFCPJnn9IgIHsfjfAUv,cus_PjvEhT31OI0qms,,2024-08-14 01:39:21.931000+00:00
pi_3PcgvxFCPJnn9IgI1uQXMBVa,,"[""card"",""cashapp""]",1499,0,1499,,,,,automatic,automatic,2024-07-15 04:54:45+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1OYhCsFCPJnn9IgIhWkopoeU,cus_PNS7d2mc4ujpIU,,2024-08-14 01:39:21.673000+00:00
pi_3PchHBFCPJnn9IgI0tZ4nM1N,,"[""card"",""cashapp""]",1499,0,1499,,,,,automatic,automatic,2024-07-15 05:16:41+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1LlmEAFCPJnn9IgIRKIlC1uJ,cus_MUllzRjzKTV36k,,2024-08-14 01:39:21.673000+00:00
pi_3PchKoFCPJnn9IgI0KtQ37Aw,,"[""card"",""cashapp""]",1998,0,1998,,,,,automatic,automatic,2024-07-15 05:20:26+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1M7tM7FCPJnn9IgIWiyTVRBC,cus_Mrcb8w5NfKZoCn,,2024-08-14 01:39:21.673000+00:00
pi_3PchXUFCPJnn9IgI0dgEv1Tu,,"[""card"",""cashapp""]",1999,0,1999,,,,,automatic,automatic,2024-07-15 05:33:32+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1NQwuIFCPJnn9IgIDAsxej99,cus_KTecCcat95TWjB,,2024-08-14 01:39:21.673000+00:00
pi_3PchgZFCPJnn9IgI0Rhl4KsN,,"[""card"",""cashapp""]",1998,0,1998,,,,,automatic,automatic,2024-07-15 05:42:55+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1MUNHsFCPJnn9IgIDMFGbVX4,cus_NEqzFhkNOIa2ZF,,2024-08-14 01:39:21.673000+00:00
pi_3PchgjFCPJnn9IgI0vAY1dNY,,"[""card"",""cashapp""]",2148,0,2148,,,,,automatic,automatic,2024-07-15 05:43:05+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1JohTzFCPJnn9IgIOy42bPkV,cus_KTenkTg7JYADAo,,2024-08-14 01:39:21.673000+00:00
pi_3Pci3lFCPJnn9IgI1XtNynlv,,"[""card"",""cashapp""]",1499,0,1499,,,,,automatic,automatic,2024-07-15 06:06:53+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1OGE2CFCPJnn9IgIyiUd3IQ1,cus_P4MlRdaifgIzkI,,2024-08-14 01:39:23.132000+00:00
pi_3Pci73FCPJnn9IgI0C5XTBSx,,"[""card"",""cashapp""]",1998,0,1998,,,,,automatic,automatic,2024-07-15 06:10:17+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1OGE6JFCPJnn9IgIR9MwTnaK,cus_P4MprK8uSYi2J5,,2024-08-14 01:39:23.132000+00:00
pi_3Pcii8FCPJnn9IgI1aQYdUAi,,"[""card"",""cashapp""]",1647,0,1647,,,,,automatic,automatic,2024-07-15 06:48:36+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1LPgazFCPJnn9IgIClAjZIBB,cus_M7wTIAF1qWvDQh,,2024-08-14 01:39:22.749000+00:00
pi_3Pclj3FCPJnn9IgI1J9JlPxW,,"[""card"",""cashapp""]",1499,0,1499,,,,,automatic,automatic,2024-07-15 10:01:45+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1OuWaXFCPJnn9IgIdZlpB6BJ,cus_Pk0bTepQyfbY51,,2024-08-14 01:39:22.608000+00:00
pi_3Pcn8dFCPJnn9IgI0vqIpVFN,,"[""card"",""cashapp""]",1499,0,1499,,,,,automatic,automatic,2024-07-15 11:32:15+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1NignCFCPJnn9IgISH5m0QnI,cus_LlAIxabKTfTwHU,,2024-08-14 01:39:22.686000+00:00
pi_3PcnLOFCPJnn9IgI1lbMEx4h,,"[""card"",""cashapp""]",2497,0,2497,,,,,automatic,automatic,2024-07-15 11:45:26+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1JzfRDFCPJnn9IgIEB2HYRCA,cus_KezQsZbuvCsRnT,,2024-08-14 01:39:23.566000+00:00
pi_3PcoOwFCPJnn9IgI1QEsfqN6,,"[""card"",""cashapp""]",1998,0,1998,,,,,automatic,automatic,2024-07-15 12:53:10+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1MedKxFCPJnn9IgIS6dvyHVy,cus_NPSFYB991j88RG,,2024-08-14 01:39:23.653000+00:00
pi_3PcpPcFCPJnn9IgI1XIlPIYW,,"[""card"",""cashapp""]",2119,0,2119,,,,,automatic,automatic,2024-07-15 13:57:56+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1OYriuFCPJnn9IgIJYekSqe6,cus_Kf1ZOUmFVxJr1U,,2024-08-14 01:39:23.909000+00:00
pi_3PcqCHFCPJnn9IgI0j5Gr4CQ,,"[""card"",""cashapp""]",1499,0,1499,,,,,automatic,automatic,2024-07-15 14:48:13+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1L3h1ZFCPJnn9IgIuLcDNFAo,cus_LlDSBJyv34fK5S,,2024-08-14 01:39:24.814000+00:00
pi_3PcqGWFCPJnn9IgI0nYutS5A,,"[""card"",""cashapp""]",1499,0,1499,,,,,automatic,automatic,2024-07-15 14:52:36+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1MUWZsFCPJnn9IgIkYuZkHEO,cus_KTnfGNUQqsjN1p,,2024-08-14 01:39:24.814000+00:00
pi_3PcqR9FCPJnn9IgI04y4IsnM,,"[""card"",""cashapp""]",1590,0,1590,,,,,automatic,automatic,2024-07-15 15:03:35+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1N81yyFCPJnn9IgIrastHPhi,cus_KTuxJiM8kJgxpt,,2024-08-14 01:39:24.814000+00:00
pi_3PcqT9FCPJnn9IgI1g2KHOg6,,"[""card""]",32815,0,32815,,,,,automatic_async,automatic,2024-07-15 15:05:39+00:00,usd,,,,,,,,,,True,{},,,,succeeded,,,pm_1PcqT7FCPJnn9IgIvnMVSbLH,cus_QTo5XG614NMApT,,2024-08-14 01:39:24.814000+00:00
pi_3PcrDkFCPJnn9IgI1R98hIOu,,"[""card"",""cashapp""]",1604,0,1604,,,,,automatic,automatic,2024-07-15 15:53:48+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,,cus_Kf3PzR6Pfh8dTR,card_1KTtsEFCPJnn9IgI21PMfoNd,2024-08-14 01:39:24.176000+00:00
pi_3PcrbAFCPJnn9IgI1pqsikbZ,,"[""card"",""cashapp""]",1499,0,1499,,,,,automatic,automatic,2024-07-15 16:18:00+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1LEajVFCPJnn9IgIStfK32TZ,cus_LwTg2kmQpgXCie,,2024-08-14 01:39:24.176000+00:00
pi_3PcrjWFCPJnn9IgI1FryQ3XN,,"[""card"",""cashapp""]",1499,0,1499,,,,,automatic,automatic,2024-07-15 16:26:38+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,src_1LLqo6FCPJnn9IgIb2mKL4Bo,cus_M3yKpqDm6OLzvM,,2024-08-14 01:39:24.176000+00:00
pi_3Pcrl7FCPJnn9IgI0GXDVJpC,,"[""card"",""cashapp""]",1499,0,1499,,,,,automatic,automatic,2024-07-15 16:28:17+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1PRyVJFCPJnn9IgIAawjzEf5,cus_QIZehdIzjnT47n,,2024-08-14 01:39:24.176000+00:00
pi_3PcsCVFCPJnn9IgI15l3D7FR,,"[""card"",""cashapp""]",1593,0,1593,,,,,automatic,automatic,2024-07-15 16:56:35+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1MxBRqFCPJnn9IgIB9zSfgqP,cus_Nhs3SNzdNZJYdg,,2024-08-14 01:39:24.788000+00:00
pi_3PcsJIFCPJnn9IgI1Xlcy4aa,,"[""card"",""cashapp""]",1999,0,1999,,,,,automatic,automatic,2024-07-15 17:03:36+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1L3j9AFCPJnn9IgIO9l5kOV9,cus_LlFeO5o3VNbwA5,,2024-08-14 01:39:24.788000+00:00
pi_3PcsL7FCPJnn9IgI0FIUfSnF,,"[""card"",""cashapp""]",2131,0,2131,,,,,automatic,automatic,2024-07-15 17:05:29+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1MimneFCPJnn9IgI9tVPq47o,cus_M86SM2rnpZStEc,,2024-08-14 01:39:24.788000+00:00
pi_3Pct1bFCPJnn9IgI07kpHZ2P,,"[""card"",""cashapp""]",1632,0,1632,,,,,automatic,automatic,2024-07-15 17:49:23+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1NYArsFCPJnn9IgI0B2pmP4n,cus_OKqZvDQ83dEya5,,2024-08-14 01:39:26.168000+00:00
pi_3Pct54FCPJnn9IgI0RPZENRK,,"[""card""]",52323,0,52323,,,,,automatic_async,automatic,2024-07-15 17:52:58+00:00,usd,,,,,,,,,,True,{},,,,succeeded,,,pm_1Pct53FCPJnn9IgITZnoIOu1,cus_QTqmEzTJ7cF1nx,,2024-08-14 01:39:26.168000+00:00
pi_3Pct7fFCPJnn9IgI0BFKnoYl,,"[""card"",""cashapp""]",1499,0,1499,,,,,automatic,automatic,2024-07-15 17:55:39+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1PGl5uFCPJnn9IgIs7200I5D,cus_Q6z4rw5nzQD8MM,,2024-08-14 01:39:26.168000+00:00
pi_3Pct7zFCPJnn9IgI0qoHUKtz,,"[""card"",""cashapp""]",1593,0,1593,,,,,automatic,automatic,2024-07-15 17:55:59+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1NUBkFFCPJnn9IgIpDGEVdmK,cus_OA21BMTo1sTZt3,,2024-08-14 01:39:26.168000+00:00
pi_3Pct8QFCPJnn9IgI1gzwkcbo,,"[""card"",""cashapp""]",1598,0,1598,,,,,automatic,automatic,2024-07-15 17:56:26+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1M85AAFCPJnn9IgIdaXtREL0,cus_MronFWkCn5rkrT,,2024-08-14 01:39:26.168000+00:00
pi_3PctHGFCPJnn9IgI1Z1u3wbo,,"[""card"",""cashapp""]",2497,0,2497,,,,,automatic,automatic,2024-07-15 18:05:34+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1PGlFkFCPJnn9IgIyhSlsihu,cus_Q6zEHyMQXuhQaV,,2024-08-14 01:39:26.168000+00:00
pi_3Pcu6BFCPJnn9IgI05uDPE98,,"[""card"",""cashapp""]",63169,0,63169,,,,,automatic,automatic,2024-07-15 18:58:11+00:00,usd,Subscription creation,,,,,,,,,True,{},,,,succeeded,,,pm_1Pcu69FCPJnn9IgIhX57NS73,cus_QTrpAE9xuPx2Fu,,2024-08-14 01:39:26.725000+00:00
pi_3Pcu6HFCPJnn9IgI1Ne2ZxJd,,"[""card"",""cashapp""]",1611,0,1611,,,,,automatic,automatic,2024-07-15 18:58:17+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1ODx7SFCPJnn9IgIpuAcjpWg,cus_M88Gqu9B0k99hS,,2024-08-14 01:39:26.725000+00:00
pi_3PcuM7FCPJnn9IgI0i6wBLNA,,"[""card"",""cashapp""]",1589,0,1589,,,,,automatic,automatic,2024-07-15 19:14:39+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1PS15cFCPJnn9IgIdorfHu9W,cus_QIcKisa1Rj9jWC,,2024-08-14 01:39:26.725000+00:00
pi_3PcuaeFCPJnn9IgI0PGYkeW6,,"[""card"",""cashapp""]",1619,0,0,,,2024-07-15 19:31:11+00:00,void_invoice,automatic,automatic,2024-07-15 19:29:40+00:00,usd,Subscription creation,,,,,,,,,True,{},,,,canceled,,,,cus_QTsLn9OiPwmAAE,,2024-08-14 01:39:26.725000+00:00
pi_3PcucjFCPJnn9IgI1trOsWQC,,"[""card"",""cashapp""]",1581,0,1581,,,,,automatic,automatic,2024-07-15 19:31:49+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1OB4KHFCPJnn9IgI32ITSvcw,cus_Oz2PE64jwunjeK,,2024-08-14 01:39:26.725000+00:00
pi_3PcurkFCPJnn9IgI0MdtVyxV,,"[""card"",""cashapp""]",309,0,309,,,,,automatic,automatic,2024-07-15 19:47:20+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1Pcr7TFCPJnn9IgItAYt5ggQ,cus_L7rngqQqso2aWM,,2024-08-14 01:39:27.022000+00:00
pi_3PcvKYFCPJnn9IgI19fO1yps,,"[""card"",""cashapp""]",1598,0,1598,,,,,automatic,automatic,2024-07-15 20:17:06+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1P5uzJFCPJnn9IgIrHqB0bWm,cus_PvmYKWaoYjkR0v,,2024-08-14 01:39:27.022000+00:00
pi_3PcvSaFCPJnn9IgI0ZHj4wiA,,"[""card"",""cashapp""]",1499,0,1499,,,,,automatic,automatic,2024-07-15 20:25:24+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1NjS5WFCPJnn9IgIInJroOLd,cus_OWV550D8rfKCVe,,2024-08-14 01:39:27.022000+00:00
