form_id,redirect_after_submit_url,google_analytics,facebook_pixel,google_tag_manager,progress_bar,is_public,show_progress_bar,show_typeform_branding,show_time_to_complete,hide_navigation,is_trial,are_uploads_public,meta_title,meta_description,meta_allow_indexing,meta_image_href,_fivetran_deleted,_language,_fivetran_synced
CQhkbPLU,,,,,proportion,True,True,True,False,False,False,False,,,False,,False,en,2024-05-11 00:02:43.350000+00:00
Xq3iQG7A,,,,,proportion,False,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:21.659000+00:00
Q12HmWXK,,,,,proportion,False,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:34.065000+00:00
lO3sHn,,,,,percentage,True,True,True,False,False,False,False,,,False,,False,en,2024-05-11 00:02:49.106000+00:00
sqRpzIS3,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:14.268000+00:00
prVoxNf9,,,,,proportion,True,True,True,True,False,False,False,,,True,,False,en,2024-05-11 00:02:36.988000+00:00
Jr3UXdoc,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:23.026000+00:00
F8jt6tYB,,,,,percentage,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:45.465000+00:00
YnkJ1YbE,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:18.358000+00:00
I4ZQHmc7,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:18.988000+00:00
dVIV14sF,,,,,proportion,True,True,True,True,True,False,False,,,False,,False,en,2024-05-11 00:02:18.989000+00:00
pmP1rTmc,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:34.175000+00:00
wLX8nqVN,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:18.356000+00:00
PibwM1Mb,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:39.256000+00:00
vDskpIgg,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:40.464000+00:00
k7dJaQ0d,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:30.129000+00:00
qqmMBabq,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:19.998000+00:00
fhmGtCBS,,,,,percentage,False,True,True,False,False,False,False,,,True,,False,en,2024-05-11 00:02:40.201000+00:00
CeKmJj5Q,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:22.987000+00:00
xaHb3xw2,,,,,percentage,True,True,True,True,False,False,False,,,True,,False,en,2024-05-11 00:02:33.307000+00:00
rqXardP6,,,,,percentage,False,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:33+00:00
fVpJAWb6,,,,,proportion,False,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:21.659000+00:00
Wc0VU0TL,,,,,proportion,True,False,True,True,False,False,False,,,True,,False,en,2024-05-11 00:02:12.708000+00:00
Txo4Ri0C,,,,,proportion,True,True,True,False,False,False,False,,,True,,False,en,2024-05-11 00:02:39.088000+00:00
vQg4oCT0,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-12 00:02:26.014000+00:00
LzxHvwVm,,,,,proportion,True,True,True,False,False,False,False,,,False,,False,en,2024-05-12 00:02:26.745000+00:00
sGqsMGlv,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-12 00:02:26.115000+00:00
