calendar_date,children_id,outgoing,answered,missed,blocked,rejected,total_calls,total_outgoing_minutes,total_answered_minutes,total_call_minutes,total_users
2023-11-24,0504ab67-95a7-43e7-85c9-06fd256d5c66,6,0,0,0,0,6,1.31,0.0,1.31,1
2023-11-24,05349591-7d3c-4b83-9d60-82b06521492c,2,2,0,0,0,4,0.4,1.08,1.48,1
2023-11-24,057e49d2-0662-44b8-96ab-bdbfc93538f7,2,0,0,0,0,2,4.88,0.0,4.88,1
2023-11-24,059f51a0-1ee9-4ad9-a54e-62763964a18f,3,0,1,3,0,7,0.25,0.0,0.25,1
2023-11-24,05cc6be0-703f-4a27-9a26-e259d7cd356c,1,0,0,0,0,1,0.25,0.0,0.25,1
2023-11-24,05ee5d28-817a-46a7-ae62-f0d10e535fb0,2,1,0,0,0,3,2.36,0.16,2.53,1
2023-11-24,06074138-1758-48cf-8e8b-b0702c4d112e,0,0,1,0,0,1,0.0,0.0,0.0,1
2023-11-24,0633cc09-3e3d-4e9b-acdc-24949525e51b,11,3,2,0,0,16,4.26,1.18,5.45,1
2023-11-24,065a52f3-9fc3-4e82-b3f8-ab5ef9aa8c09,1,0,0,0,0,1,0.2,0.0,0.2,1
2023-11-24,0667a67c-9971-434f-8634-ac88213200de,3,1,1,0,0,5,3.08,0.6,3.68,1
2023-11-24,0670b5b9-9e26-463b-a7c0-2bfc91b9a75e,1,0,0,0,0,1,0.46,0.0,0.46,1
2023-11-24,069aa3fc-0261-4dbb-95b8-95f6c2c285b4,1,0,0,0,0,1,0.26,0.0,0.26,1
2023-11-24,06d8b63d-7688-4c26-8469-6bcc137bf3b9,0,0,1,0,0,1,0.0,0.0,0.0,1
2023-11-24,06ded011-5b99-47b5-bea9-e879fd76f151,0,1,0,0,0,1,0.0,0.25,0.25,1
2023-11-24,0725351c-2604-416e-8cd0-3133a18f4170,0,0,2,0,0,2,0.0,0.0,0.0,1
2023-11-24,07590d9a-e583-42eb-b2dd-83301539801b,0,2,0,0,0,2,0.0,5.0,5.0,1
2023-11-24,0766aa79-9abc-4222-ac47-7707249f14bd,0,1,0,0,0,1,0.0,2.78,2.78,1
2023-11-24,078890bc-dd6b-46e7-aa11-1b557822183f,1,0,0,1,0,2,0.11,0.0,0.11,1
2023-11-24,07cec9b3-c412-41ef-9047-107d8556bf05,0,1,0,0,0,1,0.0,0.16,0.16,1
2023-11-24,07efee6e-e59e-40e2-adc0-12b72ca070c6,7,4,0,0,0,11,48.7,108.08,156.78,1
2023-11-24,081e4951-d895-4482-9b4d-9dec567927e6,7,1,0,0,0,8,0.25,1.0,1.25,1
2023-11-24,084d14c0-8a81-4abc-ba45-f0e3ae22120a,0,1,0,0,0,1,0.0,0.41,0.41,1
2023-11-24,089b4660-97e0-4467-a4e0-b4b49bef8740,3,2,0,0,0,5,71.31,15.9,87.21,1
2023-11-24,08bc25ec-fdb0-4ed4-b388-fcf3254dd8f0,1,0,0,0,0,1,0.03,0.0,0.03,1
2023-11-24,08c7165c-e08a-4928-acb8-33ed1d848e37,2,0,0,0,0,2,1.26,0.0,1.26,1
2023-11-24,08dd00ad-5745-4903-bfcd-4f94d739de8a,2,0,1,0,0,3,1.23,0.0,1.23,1
2023-11-24,08f7422a-4772-4af8-bcf6-651a3bfaafb1,10,2,1,0,0,13,0.0,2.85,2.85,1
2023-11-24,09085e29-bdd1-4553-b58d-16f97c9462c7,1,0,0,0,0,1,0.56,0.0,0.56,1
2023-11-24,091c0c42-0603-4de5-9fe8-e92bf3a38a4a,5,1,1,0,1,8,3.21,0.68,3.9,1
2023-11-24,09401d91-67ad-4be3-8da4-06dd5c5be378,0,1,0,0,0,1,0.0,0.13,0.13,1
2023-11-24,0982c398-78a8-477f-b722-f00375b90cb3,0,0,2,0,0,2,0.0,0.0,0.0,1
2023-11-24,09a4e2ad-27b9-4c3e-a94f-8644f0ab2c4f,0,3,3,0,0,6,0.0,32.78,32.78,1
2023-11-24,09de4c57-e147-49d3-8352-0989d16cbac2,1,0,0,0,0,1,0.6,0.0,0.6,1
2023-11-24,0a091213-e0e1-4fa3-b2ca-dca7d851fae9,1,0,0,0,0,1,4.51,0.0,4.51,1
2023-11-24,0a5149a3-c397-48d7-a853-eb18b732cf69,0,0,1,0,0,1,0.0,0.0,0.0,1
2023-11-24,0a950e69-472c-4c05-9e92-3f381f4c066b,6,0,0,0,0,6,0.28,0.0,0.28,1
2023-11-24,0ab5f241-ff46-4dd6-95a9-8bdf1da67a51,0,0,0,0,1,1,0.0,0.0,0.0,1
2023-11-24,0ad5b7a7-b323-4eff-8c00-32b0258b8f2f,0,1,0,0,0,1,0.0,19.28,19.28,1
2023-11-24,0af17e27-f912-407d-b0b2-33b98ceee507,2,1,3,0,0,6,0.06,0.46,0.53,1
2023-11-24,0b0f4b4f-cdd7-4bc5-af1e-a667b5fe9a84,3,0,0,0,0,3,0.15,0.0,0.15,1
2023-11-24,0b5c1a75-1a04-4172-b52c-75b0e4c9ecbf,0,0,0,1,0,1,0.0,0.0,0.0,1
2023-11-24,0b732679-ab77-4ac9-a537-c1f97bade494,2,1,0,0,0,3,1.15,1.36,2.51,1
2023-11-24,0b944816-ccad-47ea-9555-d29136ad9a0c,2,1,0,0,0,3,10.61,1.2,11.81,1
2023-11-24,0bbc5d19-1c40-4c78-a986-f8eb73f27d46,1,3,1,0,1,6,0.0,1.16,1.16,1
2023-11-24,0bdc2924-f8ad-431f-b8f0-cf9f296be393,3,0,0,0,0,3,3.66,0.0,3.66,1
2023-11-24,0bff9946-8c5c-4318-a1a7-1be1bb174cc3,0,1,0,3,0,4,0.0,27.01,27.01,1
2023-11-24,0c0c7bfa-6988-40ad-8f31-61ace38f9f10,12,2,1,0,0,15,4.41,1.06,5.48,1
2023-11-24,0c295559-7d7e-4f1e-9ccd-cecf5eaca4ce,7,3,0,1,1,12,59.83,117.78,177.61,1
2023-11-24,0c4e281b-32b9-452f-a2b9-511dd0fadba0,0,0,0,1,0,1,0.0,0.0,0.0,1
2023-11-24,0c5d9f5c-d3ed-4e64-83b7-2c0982ecf952,5,0,2,0,0,7,11.96,0.0,11.96,1
2023-11-24,0c92f77e-8d14-4081-8011-62e7894f986a,1,1,0,0,0,2,0.0,4.28,4.28,1
2023-11-24,0cba65c2-5dcd-4442-a6dc-fbef1f5d4d3d,0,0,0,1,0,1,0.0,0.0,0.0,1
2023-11-24,0cc8eec9-f399-49f0-bbdd-4810e3995d5f,2,0,0,0,0,2,0.16,0.0,0.16,1
2023-11-24,0d0bde2c-ee8b-4654-93ca-17245d561bc8,1,1,0,0,0,2,27.85,0.2,28.05,1
2023-11-24,0d2677bf-e458-4096-a0d6-567b27646541,6,2,3,0,0,11,18.25,6.45,24.7,1
2023-11-24,0d4ac9e7-91e8-4a52-9296-f8c643972176,0,1,0,0,0,1,0.0,0.31,0.31,1
2023-11-24,0d9db99c-76d6-4a76-b5f6-c3019e67e15c,0,0,3,0,0,3,0.0,0.0,0.0,1
2023-11-24,0dbcb875-3368-4d2e-ad93-72e133c1749f,1,0,0,0,0,1,6.8,0.0,6.8,1
2023-11-24,0ddbcaeb-a7f0-44f7-a120-670dc69164ee,3,1,4,0,0,8,0.45,0.33,0.78,1
2023-11-24,0df2067e-917c-4615-962d-14e115b030b7,1,0,0,1,1,3,2.0,0.0,2.0,1
2023-11-24,0e1a01a2-6bd1-4959-adcd-a4f40794f210,1,2,0,0,0,3,1.0,0.73,1.73,1
2023-11-24,0e51e440-8460-4ad4-b23e-4a91ba8b3b80,1,0,0,0,0,1,0.16,0.0,0.16,1
2023-11-24,0e738476-625f-4ba7-8f2c-18d1b9514b59,1,0,1,0,0,2,0.51,0.0,0.51,1
2023-11-24,0e898149-8a6e-4c18-b014-ed2e007e9e34,2,0,0,0,0,2,0.03,0.0,0.03,1
2023-11-24,0ebccba8-6178-4ba3-835e-bdb12804c657,4,0,0,0,0,4,9.66,0.0,9.66,1
2023-11-24,0ecb3a11-1f29-46e4-8b8a-276bc4abc65b,10,1,0,0,0,11,3.01,1.0,4.01,1
2023-11-24,0eef08f4-7fc4-48c7-b0a7-0acff4cfd1c2,7,2,9,0,0,18,1.73,3.86,5.6,1
2023-11-24,0f00813f-d0a8-4c63-800c-cadab18553cb,0,0,0,0,1,1,0.0,0.0,0.0,1
2023-11-24,0f2be2a1-0318-49bd-adf5-3a20866e97a9,1,0,0,0,0,1,0.21,0.0,0.21,1
2023-11-24,0f62a67d-6f25-4276-808f-160728966356,2,0,1,0,0,3,0.05,0.0,0.05,1
2023-11-24,0f934b2f-5e5e-4828-9498-cb11f2eb9780,1,0,0,0,0,1,0.56,0.0,0.56,1
2023-11-24,0fb5cf57-63a7-488e-aa9e-85da297090a0,1,0,0,0,0,1,0.45,0.0,0.45,1
2023-11-24,0fd5a643-c03b-468c-87d8-42796bf5a639,1,1,0,0,0,2,2.43,1.96,4.4,1
2023-11-24,1000d312-bc93-446c-9183-aa303f262d6f,1,0,0,0,0,1,0.03,0.0,0.03,1
2023-11-24,101a94c1-5a68-4929-aaf5-a43dde0fceac,1,0,2,0,0,3,0.15,0.0,0.15,1
2023-11-24,1051dfb8-42ba-4ef3-8b06-a1a2bebf51a3,0,0,0,2,0,2,0.0,0.0,0.0,1
2023-11-24,106c1f61-166b-4694-a011-a799e2c977fa,0,0,0,1,0,1,0.0,0.0,0.0,1
2023-11-24,1097e47f-7aaf-4b2a-b672-b09e424703d2,2,0,5,0,0,7,3.3,0.0,3.3,1
2023-11-24,10c6951d-fd6c-4e6b-8f58-06429b1a7d0d,0,0,1,0,0,1,0.0,0.0,0.0,1
2023-11-24,10e2dd29-85a7-4ab0-992f-3e682f7ac3c5,0,0,1,3,0,4,0.0,0.0,0.0,1
2023-11-24,1134ef26-f728-42ff-9b44-21d4b03b29d0,2,0,0,0,0,2,0.0,0.0,0.0,1
2023-11-24,1177b852-812b-42ae-9bca-c700d4fea2e0,2,0,1,0,0,3,0.25,0.0,0.25,1
2023-11-24,119accaf-955f-4464-b487-04ab66cee088,0,0,0,1,0,1,0.0,0.0,0.0,1
2023-11-24,11d3b796-6c49-48e2-b3da-97cdc1ec5432,0,0,1,0,0,1,0.0,0.0,0.0,1
2023-11-24,1215166a-d594-4c34-a410-b17383049134,0,0,0,2,0,2,0.0,0.0,0.0,1
2023-11-24,1225baa1-84f0-4167-bc20-b79ae9d1db0e,0,0,3,0,0,3,0.0,0.0,0.0,1
2023-11-24,123fa67e-831c-4a26-9b83-efd0fb58f0d5,3,0,0,0,0,3,0.23,0.0,0.23,1
2023-11-24,1257c79d-6790-470b-81fd-7e704c7cb446,11,8,11,0,1,31,42.96,5.41,48.38,1
2023-11-24,1270920a-69b1-4290-bfde-531c72a1bdd1,2,2,1,0,0,5,0.26,1.03,1.29,1
2023-11-24,12be87fa-cdff-4c67-98c2-cd71ed2246ae,3,0,0,0,0,3,0.1,0.0,0.1,1
2023-11-24,12da2529-b244-4bef-92d8-f2380a6c32d5,0,0,1,0,0,1,0.0,0.0,0.0,1
2023-11-24,13097ac6-234a-4a7f-9a46-d6047d8edd6e,21,3,10,1,0,35,47.21,5.88,53.1,1
2023-11-24,13201908-5161-4a0b-86e0-f103396d1a3d,1,2,0,0,0,3,0.06,0.91,0.98,1
2023-11-24,1343a3e7-383b-499f-9c15-2fec213f29f5,0,1,0,0,0,1,0.0,3.3,3.3,1
2023-11-24,1383266e-ff76-4dcd-9ca8-915e82bc24f6,1,1,0,0,0,2,0.0,0.15,0.15,1
2023-11-24,13cf3cd9-c0ef-468d-8311-f4e0b53fc630,0,0,0,1,0,1,0.0,0.0,0.0,1
2023-11-24,13ef8439-9795-4348-8e20-c6cdd82e6c6b,48,3,0,0,0,51,0.13,3.25,3.38,1
2023-11-24,140da177-c9e2-4fde-ac38-7814b17cff63,1,2,3,0,2,8,0.53,0.21,0.75,1
2023-11-24,143123cf-d87e-4878-8790-94241e2a4e90,0,0,0,2,0,2,0.0,0.0,0.0,1
2023-11-24,1463c521-eb7a-4228-9f9d-57c1a8e1bc6a,1,0,0,0,0,1,0.68,0.0,0.68,1
2023-11-24,147fc4b2-a5e9-4104-83ed-96c2fce28bc8,4,2,0,0,0,6,15.16,11.98,27.15,1
2023-11-24,14bf3e6c-a50e-4647-97d5-560ed100e2c4,3,1,0,0,0,4,0.08,6.03,6.11,1
2023-11-24,14e9e7cb-1bbf-4ffb-a6f0-6afa7b0f27cf,0,0,0,1,0,1,0.0,0.0,0.0,1
2023-11-24,1539f1f2-d4aa-470b-97f1-e90883612237,10,8,1,0,1,20,9.38,7.06,16.45,1
2023-11-24,1560e867-b505-4b7d-a785-bd83060ff025,24,0,0,0,0,24,8.71,0.0,8.71,1
2023-11-24,15888e2a-25f8-4e32-a496-57538d4f3d48,0,0,0,1,0,1,0.0,0.0,0.0,1
2023-11-24,15ad5d9a-e9ab-438b-a18c-09937a084107,3,0,1,0,0,4,20.46,0.0,20.46,1
2023-11-24,15d388de-cce1-47e8-9645-292c9fc0473e,8,7,0,0,0,15,28.56,64.45,93.01,1
2023-11-24,15e76b78-cae2-4e0f-a349-1b270c3bd7aa,11,1,1,0,0,13,103.85,1.66,105.51,1
2023-11-24,161aca67-a768-4b8b-8859-4d46e785a052,1,1,0,0,0,2,0.25,0.85,1.1,1
2023-11-24,1636bf71-630a-4470-8908-609cd833612e,2,1,1,1,0,5,1.16,0.93,2.1,1
2023-11-24,165be958-a9df-4918-9e1b-9a57a7b49cbe,0,2,1,0,0,3,0.0,0.41,0.41,1
2023-11-24,1680c02b-081b-4313-92f6-6def6d6c2dcc,1,0,0,0,0,1,0.88,0.0,0.88,1
2023-11-24,16a8b1d8-9d32-475a-9e57-91266035e68d,2,0,1,0,1,4,59.33,0.0,59.33,1
2023-11-24,16bde2f9-d3fb-49b0-b7cf-b0a563806663,2,0,0,0,0,2,102.93,0.0,102.93,1
2023-11-24,16f640ed-9e91-4922-b71d-91c99976243a,2,0,0,0,0,2,0.26,0.0,0.26,1
2023-11-24,173ea381-5d6c-47e9-8ff9-39532a498464,0,0,0,1,0,1,0.0,0.0,0.0,1
2023-11-24,177c3dba-7864-409d-b17b-53588173be5e,1,1,0,0,0,2,0.1,17.26,17.36,1
2023-11-24,1797bd25-33de-412b-909e-34e2936ac286,18,2,0,1,1,22,307.08,15.48,322.56,1
2023-11-24,17cecfeb-1449-4156-86e7-95108037bdba,0,1,0,0,0,1,0.0,0.43,0.43,1
2023-11-24,17e19320-3f8c-4118-a039-409e3015ef67,0,2,0,0,0,2,0.0,1.1,1.1,1
2023-11-24,17f7e368-0218-4a3c-bcff-031fb22bda40,12,1,1,0,0,14,8.05,0.4,8.45,1
2023-11-24,18004220-a7b5-42f5-a75b-7e88783f2e9f,0,0,0,3,0,3,0.0,0.0,0.0,1
2023-11-24,181f4769-15c6-41d7-91cf-e544ec9fdd16,2,1,0,0,0,3,0.11,0.81,0.93,1
2023-11-24,1837e2a2-b1c3-45b8-90b3-2236af53fd55,7,0,0,0,0,7,6.75,0.0,6.75,1
2023-11-24,183e0225-7781-4344-b407-cfadd7d715ad,11,4,5,0,0,20,4.06,3.2,7.26,1
2023-11-24,186e88ef-422c-4ce4-83c7-3138515df635,0,0,0,1,0,1,0.0,0.0,0.0,1
2023-11-24,1886f7da-b530-4a0d-86b4-46a03930e108,6,0,0,0,0,6,0.38,0.0,0.38,1
2023-11-24,189dcc43-4255-40d4-8943-bf5916857b70,0,0,0,1,0,1,0.0,0.0,0.0,1
2023-11-24,18d38fe7-5ea8-4de6-ab83-dc59b480bf41,1,1,0,0,0,2,0.08,0.45,0.53,1
2023-11-24,18e09c3d-9d76-4ee8-92c8-02ab2a66fe1c,1,0,0,0,0,1,12.38,0.0,12.38,1
2023-11-24,190db888-4729-46cf-bdd7-b434e0e7cf91,1,0,1,0,0,2,0.03,0.0,0.03,1
2023-11-24,194f74fd-3723-42b3-8c38-70e6579e2cad,0,0,2,0,0,2,0.0,0.0,0.0,1
2023-11-24,197c89e1-b2e8-4adc-bb69-688e08ffcf44,4,1,0,3,0,8,38.35,1.76,40.11,1
2023-11-24,198926f8-bb8d-471e-971d-8d47d6c74658,1,0,0,0,0,1,0.05,0.0,0.05,1
2023-11-24,199a5822-cfbf-4352-97c2-f02ca5dbe437,1,0,1,0,0,2,0.0,0.0,0.0,1
2023-11-24,19a4591f-60d5-4ab4-afb7-b9b93f831907,0,0,0,1,0,1,0.0,0.0,0.0,1
2023-11-24,19d4dc53-7db9-4460-a27e-a9c9398cdceb,24,7,0,7,0,38,484.73,162.28,647.01,1
2023-11-24,1a02384d-5fb6-45bd-8ab4-64ffc0ee082b,0,0,0,1,0,1,0.0,0.0,0.0,1
2023-11-24,1a14a537-4ab3-49e4-bfdb-bbc988094618,2,0,0,0,0,2,0.0,0.0,0.0,1
2023-11-24,1a1e7a75-14e2-45dc-94ef-4c197015cc0f,0,0,0,1,0,1,0.0,0.0,0.0,1
2023-11-24,1a62588c-773a-4a3e-9e54-7810be0f8934,3,5,0,0,0,8,1.88,3.21,5.1,1
2023-11-24,1aae3682-48a3-4ac2-a2e6-46378beb3094,0,0,3,0,0,3,0.0,0.0,0.0,1
2023-11-24,1ad2eb63-4f25-4c28-b838-3f2f92d1a53a,0,2,2,1,2,7,0.0,53.18,53.18,1
2023-11-24,1ae93e33-22d8-44d8-97d6-285621de37e1,4,1,0,0,0,5,1.7,1.06,2.76,1
2023-11-24,1b2c15f3-a258-455d-9394-cbbbb3e09418,0,1,0,0,0,1,0.0,0.48,0.48,1
2023-11-24,1b4fd2bf-d5b8-4cc7-a944-2363deb32f94,0,0,2,0,0,2,0.0,0.0,0.0,1
2023-11-24,1b65e53a-8f4d-4821-9138-7ac2bb186e74,0,3,2,0,0,5,0.0,54.96,54.96,1
2023-11-24,1b823b81-b49e-44cd-8412-f406bb083f23,2,0,0,0,0,2,2.1,0.0,2.1,1
2023-11-24,1bb7d1b6-8d24-4b2f-aa03-5e3f9e8598e1,2,1,0,0,0,3,2.55,1.68,4.23,1
2023-11-24,1bc5af3e-38fe-4c84-bd16-4ec57fd0b37c,0,2,0,0,0,2,0.0,1.43,1.43,1
2023-11-24,1bd5cd25-974e-4ef0-8f12-f86ab4055fa0,2,0,0,0,0,2,0.05,0.0,0.05,1
2023-11-24,1be4165e-5243-41b9-992d-9f4b99ca1a60,2,0,0,0,0,2,2.0,0.0,2.0,1
2023-11-24,1c0dde9d-9556-4140-830b-5e1a5181c7b9,0,1,0,22,0,23,0.0,63.7,63.7,1
2023-11-24,1c37e160-90f1-4373-9913-0c58d17eabfb,1,2,0,0,0,3,0.38,0.51,0.9,1
2023-11-24,1c7e4986-e068-46a3-b8a6-42ed476ac80f,2,0,0,0,0,2,2.31,0.0,2.31,1
2023-11-24,1cb6dcba-4c7c-4611-9dc2-027f246e365c,4,2,10,0,0,16,186.83,53.01,239.85,1
2023-11-24,1ce77af0-98c1-4373-b366-c588ebb9a858,6,3,0,0,0,9,10.35,51.23,61.58,1
2023-11-24,1d2ef556-e9c4-43d8-a235-afa05aaac277,7,0,0,0,0,7,0.21,0.0,0.21,1
2023-11-24,1d6377a4-f513-4f2f-aee2-3f39e6330a98,8,2,0,0,0,10,96.15,0.65,96.8,1
2023-11-24,1d96e0eb-8e4b-457a-b5d7-fe755ab4a125,12,3,1,2,0,18,1.28,15.78,17.06,1
2023-11-24,1db5e577-e084-449d-b629-d0e7dcf668ba,0,0,0,1,0,1,0.0,0.0,0.0,1
2023-11-24,1dbf2c34-b1cc-4afe-a12a-9c42f4d4a449,29,0,0,0,0,29,0.0,0.0,0.0,1
2023-11-24,1dc7fb5f-e529-44b0-a4b7-fab0ac834196,6,3,3,0,0,12,42.95,1.5,44.45,1
2023-11-24,1de736f4-8281-4c79-a91c-56be8e682c54,11,2,4,0,0,17,3.66,0.88,4.55,1
2023-11-24,1e118bc5-296f-4a13-9c98-ea06e21792a2,1,2,0,0,0,3,2.1,14.86,16.96,1
2023-11-24,1e343f66-bd58-4ad0-8706-b8c930fcabaa,0,0,0,2,0,2,0.0,0.0,0.0,1
2023-11-24,1e6fb8e4-d9a0-47a5-b6e5-57ad15b7207f,0,0,0,1,0,1,0.0,0.0,0.0,1
2023-11-24,1e97a1f5-0216-4a26-ab05-f63e8eda8823,1,0,1,0,0,2,0.03,0.0,0.03,1
2023-11-24,1ec6fdb7-55a7-462f-b731-3ad0a9887043,5,1,0,0,0,6,1.25,0.4,1.65,1
2023-11-24,1efafee6-3a3e-4e15-8316-b19bb9461805,10,0,0,0,0,10,12.73,0.0,12.73,1
2023-11-24,1f1a82b4-da20-424e-a93e-b1d402c83fc4,2,0,0,0,0,2,2.26,0.0,2.26,1
2023-11-24,1f2b5381-4ca7-4306-be2f-f5466a7f588a,0,0,1,0,0,1,0.0,0.0,0.0,1
2023-11-24,1f52c383-2392-4139-8f75-a76b2288f115,10,9,13,0,82,114,0.61,47.71,48.33,1
2023-11-24,1f652b08-b2a4-4885-9268-4df4d43623e2,7,1,0,0,0,8,1.5,0.56,2.06,1
2023-11-24,1f990d72-0593-452a-a34c-f5f32ea9fb94,4,0,0,0,0,4,0.63,0.0,0.63,1
2023-11-24,1ff088a7-c4da-4554-bcc3-873653310311,2,2,0,0,0,4,0.0,1.46,1.46,1
2023-11-24,205e6a3c-47a2-456c-a6cc-858f24044bc3,0,1,0,0,0,1,0.0,0.3,0.3,1
2023-11-24,209c3f62-6820-4d03-8a44-f7e7016427ca,3,6,0,0,0,9,3.45,19.76,23.21,1
2023-11-24,20c81f04-d06f-424e-9160-005174b6c114,2,0,0,0,0,2,0.76,0.0,0.76,1
2023-11-24,21070a8b-c652-480e-8331-709cd9c50a3d,1,0,1,0,0,2,0.03,0.0,0.03,1
2023-11-24,211db9ec-7b6a-4642-971b-ac1e5d8e22c0,0,0,1,0,0,1,0.0,0.0,0.0,1
2023-11-24,212d52d1-12d1-464a-ab23-4ef3854786a1,3,1,0,0,0,4,2.66,1.58,4.25,1
2023-11-24,21480541-b359-4d40-b838-0b042ff6decb,6,2,4,0,0,12,3.58,1.56,5.15,1
2023-11-24,2170e218-d03d-40af-93b2-83e5e290816f,2,0,0,0,0,2,0.43,0.0,0.43,1
2023-11-24,21927c56-08f7-4851-b006-35081dd20794,0,0,0,5,0,5,0.0,0.0,0.0,1
2023-11-24,21b02fbd-43e8-404b-b747-35fd1087d2c8,3,0,0,0,0,3,0.0,0.0,0.0,1
2023-11-24,21e7faca-96e2-44fb-9711-cabe5ac3ea70,1,1,0,0,0,2,0.0,0.28,0.28,1
2023-11-24,22083f61-5661-47c1-b62c-c38797459a5a,0,2,0,1,0,3,0.0,13.46,13.46,1
2023-11-24,22343405-b328-4faa-88ec-089c0cfce7fa,0,1,0,0,0,1,0.0,32.63,32.63,1
2023-11-24,226118bf-154f-4059-bb32-1fdd72788d8a,10,1,0,0,0,11,1.5,0.66,2.16,1
2023-11-24,228ec708-c33d-4437-9a9d-2718b33da9f4,0,0,1,0,0,1,0.0,0.0,0.0,1
2023-11-24,229a6733-4244-443c-a1f1-05a2c3e75c05,2,1,0,0,0,3,1.65,3.05,4.7,1
2023-11-24,22c6d399-c031-49f9-847f-c08535862b64,6,0,0,0,0,6,5.26,0.0,5.26,1
2023-11-24,22f3cf90-4bc6-434b-9726-c4fa9750e54a,0,3,1,1,0,5,0.0,2.91,2.91,1
2023-11-24,232dee19-e2c2-43b5-b81e-c250bf337db8,0,0,1,0,0,1,0.0,0.0,0.0,1
2023-11-24,234a40ac-904c-406b-a747-5cf7d79f6f02,0,0,0,1,0,1,0.0,0.0,0.0,1
2023-11-24,235c15ed-24f4-4997-a816-2dca649fe8fb,6,0,2,0,0,8,4.25,0.0,4.25,1
2023-11-24,23764908-2683-4f5f-90eb-f289c7e551e9,12,1,0,0,0,13,19.2,18.38,37.58,1
2023-11-24,23b32519-4cae-41e2-a42e-a0f2cf88680b,2,0,0,0,0,2,1.11,0.0,1.11,1
2023-11-24,23d05575-1fe4-4240-a29f-50d62ac9ca0e,19,2,0,0,0,21,84.61,4.1,88.71,1
2023-11-24,240264d4-357b-47da-b553-7384079374fb,2,0,0,2,0,4,0.0,0.0,0.0,1
2023-11-24,24103024-5bf6-4061-918f-8cc7bd8f5c66,0,0,2,0,0,2,0.0,0.0,0.0,1
2023-11-24,243b05ae-2491-4c4f-899d-6b85f3b58188,0,0,1,0,0,1,0.0,0.0,0.0,1
2023-11-24,245f73fe-a281-4207-a6de-ca5df78d1609,1,0,0,0,0,1,0.0,0.0,0.0,1
2023-11-24,249497ee-ce25-4492-87be-2a398c78c93a,1,0,0,0,0,1,0.0,0.0,0.0,1
2023-11-24,24c5a237-d4df-477f-abca-943c79764486,2,0,0,0,0,2,0.0,0.0,0.0,1
2023-11-24,24e8ff97-494d-4d79-bdd2-cce208d697ae,0,0,1,0,0,1,0.0,0.0,0.0,1
